Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Pam Dhanoa,Nao Fernando,Nina Grewal,Alex Joehl,Alan Saldanha,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
59009,"Fleetwood--Port Kells/Fleetwood--Port Kells"," 1","Surrey",24,63,112,1,4,0,204,501
59009,"Fleetwood--Port Kells/Fleetwood--Port Kells"," 2","Surrey",22,66,122,2,4,3,219,486
59009,"Fleetwood--Port Kells/Fleetwood--Port Kells"," 3","Surrey",16,41,55,4,4,0,120,341
59009,"Fleetwood--Port Kells/Fleetwood--Port Kells"," 3-1","Surrey",22,54,81,3,3,2,165,378
59009,"Fleetwood--Port Kells/Fleetwood--Port Kells"," 4","Surrey",26,37,111,1,7,1,183,412
59009,"Fleetwood--Port Kells/Fleetwood--Port Kells"," 5A","Surrey",26,49,91,2,1,3,172,448
59009,"Fleetwood--Port Kells/Fleetwood--Port Kells"," 5B","Surrey",23,56,93,2,4,1,179,419
59009,"Fleetwood--Port Kells/Fleetwood--Port Kells"," 5-1","Surrey",30,53,94,1,1,1,180,437
59009,"Fleetwood--Port Kells/Fleetwood--Port Kells"," 6","Surrey",18,25,102,1,5,0,151,337
59009,"Fleetwood--Port Kells/Fleetwood--Port Kells"," 7","Surrey",33,24,139,2,3,2,203,485
59009,"Fleetwood--Port Kells/Fleetwood--Port Kells"," 7-1A","Surrey",9,36,63,0,2,0,110,339
59009,"Fleetwood--Port Kells/Fleetwood--Port Kells"," 7-1B","Surrey",6,54,66,1,2,2,131,351
59009,"Fleetwood--Port Kells/Fleetwood--Port Kells"," 8","Surrey",34,73,140,0,5,2,254,552
59009,"Fleetwood--Port Kells/Fleetwood--Port Kells"," 9","Surrey",22,40,93,2,6,2,165,389
59009,"Fleetwood--Port Kells/Fleetwood--Port Kells"," 10","Surrey",15,33,118,2,4,2,174,370
59009,"Fleetwood--Port Kells/Fleetwood--Port Kells"," 11","Surrey",27,56,145,3,4,0,235,453
59009,"Fleetwood--Port Kells/Fleetwood--Port Kells"," 12","Surrey",11,44,94,0,2,0,151,315
59009,"Fleetwood--Port Kells/Fleetwood--Port Kells"," 12-1","Surrey",29,55,139,0,2,1,226,490
59009,"Fleetwood--Port Kells/Fleetwood--Port Kells"," 13","Surrey",20,45,130,0,8,0,203,442
59009,"Fleetwood--Port Kells/Fleetwood--Port Kells"," 13-1","Surrey",17,46,104,1,5,0,173,343
59009,"Fleetwood--Port Kells/Fleetwood--Port Kells"," 14","Surrey",50,34,114,3,8,0,209,598
59009,"Fleetwood--Port Kells/Fleetwood--Port Kells"," 14-1","Surrey",15,21,110,3,5,1,155,388
59009,"Fleetwood--Port Kells/Fleetwood--Port Kells"," 15","Surrey",Merged with No. 14-1/Fusionné avec le nº 14-1,,,,,,,2
59009,"Fleetwood--Port Kells/Fleetwood--Port Kells"," 15-1A","Surrey",14,46,126,3,6,2,197,375
59009,"Fleetwood--Port Kells/Fleetwood--Port Kells"," 15-1B","Surrey",22,30,123,1,7,1,184,362
59009,"Fleetwood--Port Kells/Fleetwood--Port Kells"," 16","Surrey",8,41,115,0,2,0,166,310
59009,"Fleetwood--Port Kells/Fleetwood--Port Kells"," 16-1","Surrey",23,22,91,2,2,0,140,302
