Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Paul Geddes,Mark Ireland,Kevin Kim,Stewart McGillivray,James Moore,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
59021,"Port Moody--Westwood--Port Coquitlam/Port Moody--Westwood--Port Coquitlam"," 1","Indian Arm",0,52,9,18,121,1,201,410
59021,"Port Moody--Westwood--Port Coquitlam/Port Moody--Westwood--Port Coquitlam"," 2","Anmore",0,71,15,21,144,0,251,504
59021,"Port Moody--Westwood--Port Coquitlam/Port Moody--Westwood--Port Coquitlam"," 3","Anmore",2,40,13,18,156,1,230,400
59021,"Port Moody--Westwood--Port Coquitlam/Port Moody--Westwood--Port Coquitlam"," 4","Belcarra",1,30,9,12,93,0,145,234
59021,"Port Moody--Westwood--Port Coquitlam/Port Moody--Westwood--Port Coquitlam"," 5","Port Moody",0,57,7,11,122,1,198,336
59021,"Port Moody--Westwood--Port Coquitlam/Port Moody--Westwood--Port Coquitlam"," 6","Port Moody",1,68,8,18,145,2,242,435
59021,"Port Moody--Westwood--Port Coquitlam/Port Moody--Westwood--Port Coquitlam"," 7","Port Moody",2,50,16,12,110,0,190,297
59021,"Port Moody--Westwood--Port Coquitlam/Port Moody--Westwood--Port Coquitlam"," 8","Port Moody",0,49,9,16,123,1,198,338
59021,"Port Moody--Westwood--Port Coquitlam/Port Moody--Westwood--Port Coquitlam"," 9","Port Moody",1,18,8,15,102,0,144,288
59021,"Port Moody--Westwood--Port Coquitlam/Port Moody--Westwood--Port Coquitlam"," 10","Port Moody",2,64,9,25,165,0,265,461
59021,"Port Moody--Westwood--Port Coquitlam/Port Moody--Westwood--Port Coquitlam"," 10-1","Port Moody",2,31,6,16,131,2,188,401
59021,"Port Moody--Westwood--Port Coquitlam/Port Moody--Westwood--Port Coquitlam"," 11","Port Moody",1,68,13,11,151,0,244,430
