Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Mohamed Alli,Jerome Dondo,Matthew Friesen,Candice Hoeppner,M.J. Willard,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
46007,Portage--Lisgar/Portage--Lisgar,1,Sidney,12,2,2,167,5,0,188,287
46007,Portage--Lisgar/Portage--Lisgar,2,Austin,7,5,4,203,4,1,224,382
46007,Portage--Lisgar/Portage--Lisgar,3,Austin,10,5,5,166,2,0,188,273
46007,Portage--Lisgar/Portage--Lisgar,4,MacGregor,12,2,8,197,4,0,223,378
46007,Portage--Lisgar/Portage--Lisgar,5,MacGregor,35,2,3,168,11,1,220,311
46007,Portage--Lisgar/Portage--Lisgar,6,MacGregor,13,1,3,152,7,1,177,305
46007,Portage--Lisgar/Portage--Lisgar,7,Bagot,6,4,11,133,6,0,160,241
46007,Portage--Lisgar/Portage--Lisgar,8,Arizona,1,2,6,78,4,0,91,229
46007,Portage--Lisgar/Portage--Lisgar,9,Lavenham,12,2,8,125,3,1,151,250
46007,Portage--Lisgar/Portage--Lisgar,10,Macdonald,8,2,7,81,3,1,102,284
46007,Portage--Lisgar/Portage--Lisgar,11,Oakland,7,3,2,50,7,0,69,203
46007,Portage--Lisgar/Portage--Lisgar, 11-1,Oakland,18,1,7,123,11,1,161,301
46007,Portage--Lisgar/Portage--Lisgar,12,High Bluff,7,0,7,94,1,0,109,254
46007,Portage--Lisgar/Portage--Lisgar,13,Poplar Point,16,0,3,71,7,2,99,160
46007,Portage--Lisgar/Portage--Lisgar,14,Edwin,13,4,1,60,3,0,81,123
46007,Portage--Lisgar/Portage--Lisgar,15,Edwin,56,0,6,20,7,1,90,320
46007,Portage--Lisgar/Portage--Lisgar, 15-1,Edwin,8,0,0,5,1,0,14,35
46007,Portage--Lisgar/Portage--Lisgar, 16A,Edwin,8,0,1,4,21,0,34,64
46007,Portage--Lisgar/Portage--Lisgar, 16B,Edwin,7,0,2,36,0,0,45,233
46007,Portage--Lisgar/Portage--Lisgar,17,Portage la Prairie,17,3,6,71,2,0,99,190
46007,Portage--Lisgar/Portage--Lisgar,18,Portage la Prairie,11,0,1,51,1,0,64,172
46007,Portage--Lisgar/Portage--Lisgar,19,High Bluff,30,1,7,140,12,0,190,425
46007,Portage--Lisgar/Portage--Lisgar,20,Portage la Prairie,23,3,4,105,10,0,145,275
46007,Portage--Lisgar/Portage--Lisgar,21,Southport,29,3,14,118,12,1,177,426
46007,Portage--Lisgar/Portage--Lisgar,22,Newton,25,2,3,142,6,1,179,265
46007,Portage--Lisgar/Portage--Lisgar,23,Oakville,27,2,12,150,7,0,198,339
46007,Portage--Lisgar/Portage--Lisgar,24,Oakville,10,2,6,111,9,0,138,232
46007,Portage--Lisgar/Portage--Lisgar,25,Layland,6,1,2,140,4,0,153,378
46007,Portage--Lisgar/Portage--Lisgar,26,Portage la Prairie,28,1,7,102,15,0,153,428
46007,Portage--Lisgar/Portage--Lisgar,27,Portage la Prairie,34,6,8,125,12,0,185,367
46007,Portage--Lisgar/Portage--Lisgar,28,Portage la Prairie,27,3,9,119,8,1,167,397
46007,Portage--Lisgar/Portage--Lisgar,29,Portage la Prairie,32,3,5,107,11,3,161,364
46007,Portage--Lisgar/Portage--Lisgar,30,Portage la Prairie,25,3,12,89,13,0,142,359
46007,Portage--Lisgar/Portage--Lisgar,31,Portage la Prairie,Void/Supprimé,,,,,,,
46007,Portage--Lisgar/Portage--Lisgar,32,Portage la Prairie,24,1,9,110,8,2,154,429
46007,Portage--Lisgar/Portage--Lisgar,33,Portage la Prairie,33,0,5,82,3,0,123,371
46007,Portage--Lisgar/Portage--Lisgar,34,Portage la Prairie,20,3,7,91,6,1,128,382
46007,Portage--Lisgar/Portage--Lisgar,35,Portage la Prairie,22,11,9,89,9,0,140,386
46007,Portage--Lisgar/Portage--Lisgar,36,Portage la Prairie,16,4,12,102,14,0,148,361
46007,Portage--Lisgar/Portage--Lisgar,37,Portage la Prairie,22,3,4,49,9,0,87,253
46007,Portage--Lisgar/Portage--Lisgar,38,Portage la Prairie,24,0,5,55,5,0,89,291
46007,Portage--Lisgar/Portage--Lisgar,39,Portage la Prairie,31,2,18,90,7,0,148,346
46007,Portage--Lisgar/Portage--Lisgar,40,Portage la Prairie,34,3,9,140,15,0,201,424
46007,Portage--Lisgar/Portage--Lisgar,41,Portage la Prairie,29,5,7,98,17,2,158,343
46007,Portage--Lisgar/Portage--Lisgar,42,Portage la Prairie,34,3,29,129,17,2,214,441
46007,Portage--Lisgar/Portage--Lisgar,43,Portage la Prairie,23,2,12,86,2,2,127,300
46007,Portage--Lisgar/Portage--Lisgar,44,Portage la Prairie,34,0,4,70,13,1,122,237
46007,Portage--Lisgar/Portage--Lisgar,45,Portage la Prairie,29,0,3,81,8,1,122,230
46007,Portage--Lisgar/Portage--Lisgar,46,Portage la Prairie,42,1,18,219,24,0,304,501
46007,Portage--Lisgar/Portage--Lisgar,47,Portage la Prairie,19,1,13,148,18,2,201,308
46007,Portage--Lisgar/Portage--Lisgar,48,Portage la Prairie,39,0,16,129,5,0,189,321
46007,Portage--Lisgar/Portage--Lisgar,49,Portage la Prairie,27,2,7,128,21,1,186,297
46007,Portage--Lisgar/Portage--Lisgar,50,Portage la Prairie,39,0,10,186,21,1,257,479
46007,Portage--Lisgar/Portage--Lisgar,51,St. Eustache,18,2,15,75,12,1,123,226
46007,Portage--Lisgar/Portage--Lisgar,52,Rosser,50,4,10,154,23,1,242,383
46007,Portage--Lisgar/Portage--Lisgar,53,St. François Xavier,28,2,14,121,13,0,178,279
46007,Portage--Lisgar/Portage--Lisgar,54,St. Eustache,45,1,7,169,9,1,232,447
46007,Portage--Lisgar/Portage--Lisgar,55,Elie,4,0,0,52,3,0,59,110
46007,Portage--Lisgar/Portage--Lisgar,56,Elie,37,1,6,202,15,2,263,477
46007,Portage--Lisgar/Portage--Lisgar,57,Lido Plage,20,2,13,115,9,1,160,367
46007,Portage--Lisgar/Portage--Lisgar,58,Dacotah,16,0,2,126,7,0,151,341
46007,Portage--Lisgar/Portage--Lisgar,59,Springstein,36,0,7,121,16,3,183,318
46007,Portage--Lisgar/Portage--Lisgar,60,Starbuck,34,3,23,224,20,1,305,472
46007,Portage--Lisgar/Portage--Lisgar,61,Ferndale,9,0,6,98,6,0,119,289
46007,Portage--Lisgar/Portage--Lisgar,62,Sanford,25,4,9,121,8,1,168,279
46007,Portage--Lisgar/Portage--Lisgar,63,Sanford,35,1,14,201,19,0,270,427
46007,Portage--Lisgar/Portage--Lisgar, 63-1,Sanford,24,3,12,101,6,0,146,219
46007,Portage--Lisgar/Portage--Lisgar,64,Oak Bluff,42,2,12,200,22,1,279,465
46007,Portage--Lisgar/Portage--Lisgar, 64-1,Oak Bluff,11,1,9,116,9,2,148,219
46007,Portage--Lisgar/Portage--Lisgar,65,La Salle,54,1,12,218,32,0,317,471
46007,Portage--Lisgar/Portage--Lisgar, 65-1,La Salle,30,2,10,123,8,0,173,257
46007,Portage--Lisgar/Portage--Lisgar,66,La Salle,24,1,5,133,26,1,190,305
46007,Portage--Lisgar/Portage--Lisgar, 66-1,La Salle,45,2,14,296,27,3,387,595
46007,Portage--Lisgar/Portage--Lisgar,67,Brunkild,13,3,7,116,9,0,148,188
46007,Portage--Lisgar/Portage--Lisgar,68,Domain,10,0,8,93,4,0,115,150
46007,Portage--Lisgar/Portage--Lisgar,69,Cypress River,10,3,10,96,2,0,121,222
46007,Portage--Lisgar/Portage--Lisgar,70,Holland,11,4,10,100,6,0,131,176
46007,Portage--Lisgar/Portage--Lisgar,71,Holland,27,1,7,148,10,0,193,327
46007,Portage--Lisgar/Portage--Lisgar,72,Treherne,6,3,2,134,6,0,151,316
46007,Portage--Lisgar/Portage--Lisgar,73,Treherne,10,8,9,106,11,1,145,307
46007,Portage--Lisgar/Portage--Lisgar,74,Treherne,8,1,6,74,4,0,93,177
46007,Portage--Lisgar/Portage--Lisgar,75,Rathwell,33,9,8,169,9,0,228,380
46007,Portage--Lisgar/Portage--Lisgar,76,Notre-Dame-de-Lourdes,27,3,10,104,36,1,181,286
46007,Portage--Lisgar/Portage--Lisgar,77,Notre-Dame-de-Lourdes,51,2,6,147,61,2,269,446
46007,Portage--Lisgar/Portage--Lisgar,78,Bruxelles,7,10,4,120,7,0,148,196
46007,Portage--Lisgar/Portage--Lisgar,79,Mariapolis,2,1,9,87,3,0,102,160
46007,Portage--Lisgar/Portage--Lisgar,80,Swan Lake,4,2,1,55,3,0,65,126
46007,Portage--Lisgar/Portage--Lisgar, 80-1,Swan Lake,45,3,4,15,5,0,72,131
46007,Portage--Lisgar/Portage--Lisgar,81,Swan Lake,12,6,4,112,11,1,146,273
46007,Portage--Lisgar/Portage--Lisgar,82,Somerset,14,8,7,65,8,0,102,269
46007,Portage--Lisgar/Portage--Lisgar,83,Somerset,37,8,10,93,36,3,187,298
46007,Portage--Lisgar/Portage--Lisgar,84,St. Leon,16,0,19,125,14,2,176,252
46007,Portage--Lisgar/Portage--Lisgar,85,Altamont,Void/Supprimé,,,,,,,
46007,Portage--Lisgar/Portage--Lisgar,86,St. Claude,12,10,4,80,21,1,128,201
46007,Portage--Lisgar/Portage--Lisgar,87,St. Claude,18,4,7,49,13,0,91,146
46007,Portage--Lisgar/Portage--Lisgar,88,St. Claude,35,14,9,90,34,0,182,316
46007,Portage--Lisgar/Portage--Lisgar,89,Haywood,8,13,6,109,15,0,151,266
46007,Portage--Lisgar/Portage--Lisgar,90,Elm Creek,10,10,5,148,8,1,182,308
46007,Portage--Lisgar/Portage--Lisgar,91,Elm Creek,26,14,18,227,8,2,295,430
46007,Portage--Lisgar/Portage--Lisgar,92,Fannystelle,13,0,5,88,9,0,115,181
46007,Portage--Lisgar/Portage--Lisgar,93,Roseisle,13,8,13,112,10,0,156,268
46007,Portage--Lisgar/Portage--Lisgar,94,Graysville,14,12,6,134,13,0,179,381
46007,Portage--Lisgar/Portage--Lisgar,95,Barnsley,11,24,6,122,8,0,171,268
46007,Portage--Lisgar/Portage--Lisgar,96,Carman,17,37,17,158,18,0,247,378
46007,Portage--Lisgar/Portage--Lisgar,97,Homewood,4,7,12,88,3,0,114,195
46007,Portage--Lisgar/Portage--Lisgar,98,Carman,17,10,14,138,9,0,188,310
46007,Portage--Lisgar/Portage--Lisgar,99,Carman,14,15,9,125,13,0,176,265
46007,Portage--Lisgar/Portage--Lisgar,100,Carman,15,15,7,101,12,0,150,250
