Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Johany Beaudoin-Bussières,Jean-Guy Dagenais,Marie-Claude Morin,Ève-Mary Thaï Thi Lac,Denis Vallée,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
24063,"Saint-Hyacinthe--Bagot/Saint-Hyacinthe--Bagot"," 1","Saint-Louis",5,23,80,58,9,5,180,306
24063,"Saint-Hyacinthe--Bagot/Saint-Hyacinthe--Bagot"," 1-1","Saint-Louis",7,25,92,61,5,1,191,329
24063,"Saint-Hyacinthe--Bagot/Saint-Hyacinthe--Bagot"," 2","Saint-Marcel-de-Richelieu",4,31,135,67,7,2,246,383
24063,"Saint-Hyacinthe--Bagot/Saint-Hyacinthe--Bagot"," 3","Saint-Hugues",4,15,89,40,4,5,157,248
24063,"Saint-Hyacinthe--Bagot/Saint-Hyacinthe--Bagot"," 4","Saint-Hugues",7,26,83,68,9,5,198,321
24063,"Saint-Hyacinthe--Bagot/Saint-Hyacinthe--Bagot"," 5","Saint-Hugues",5,50,191,45,8,1,300,445
24063,"Saint-Hyacinthe--Bagot/Saint-Hyacinthe--Bagot"," 6","Saint-Bernard-de-Michaudville",7,44,136,117,9,3,316,460
24063,"Saint-Hyacinthe--Bagot/Saint-Hyacinthe--Bagot"," 7","Saint-Jude",4,22,154,77,5,2,264,416
24063,"Saint-Hyacinthe--Bagot/Saint-Hyacinthe--Bagot"," 8","Saint-Jude",7,29,138,84,9,4,271,472
24063,"Saint-Hyacinthe--Bagot/Saint-Hyacinthe--Bagot"," 9","Saint-Barnabé-Sud",3,53,97,49,12,4,218,344
24063,"Saint-Hyacinthe--Bagot/Saint-Hyacinthe--Bagot"," 10","Saint-Barnabé-Sud",4,40,108,37,17,2,208,320
24063,"Saint-Hyacinthe--Bagot/Saint-Hyacinthe--Bagot"," 11","Sainte-Hélène-de-Bagot",5,45,136,48,5,2,241,449
24063,"Saint-Hyacinthe--Bagot/Saint-Hyacinthe--Bagot"," 12","Sainte-Hélène-de-Bagot",2,25,124,52,3,3,209,364
24063,"Saint-Hyacinthe--Bagot/Saint-Hyacinthe--Bagot"," 13","Sainte-Hélène-de-Bagot",5,44,152,63,5,4,273,473
