Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Allan Arthur,Gerald Borrowman,Bob Deptuck,Ed Komarnicki,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
47012,"Souris--Moose Mountain/Souris--Moose Mountain"," 57","White Bear 70",47,2,6,35,0,90,233
47012,"Souris--Moose Mountain/Souris--Moose Mountain"," 58","Arcola",43,9,16,219,0,287,511
47012,"Souris--Moose Mountain/Souris--Moose Mountain"," 59","Kisbey",25,9,8,114,0,156,241
47012,"Souris--Moose Mountain/Souris--Moose Mountain"," 60","Heward",57,6,7,162,0,232,310
47012,"Souris--Moose Mountain/Souris--Moose Mountain"," 61","Stoughton",71,2,5,179,0,257,525
47012,"Souris--Moose Mountain/Souris--Moose Mountain"," 62","Griffin",37,2,3,114,0,156,240
47012,"Souris--Moose Mountain/Souris--Moose Mountain"," 63","North Weyburn",39,12,9,209,2,271,438
47012,"Souris--Moose Mountain/Souris--Moose Mountain"," 64","Weyburn",50,17,3,275,0,345,561
47012,"Souris--Moose Mountain/Souris--Moose Mountain"," 65","Weyburn",30,3,6,140,0,179,351
47012,"Souris--Moose Mountain/Souris--Moose Mountain"," 66","Weyburn",30,7,2,104,1,144,268
47012,"Souris--Moose Mountain/Souris--Moose Mountain"," 67","Weyburn",33,5,6,90,0,134,252
47012,"Souris--Moose Mountain/Souris--Moose Mountain"," 68","Weyburn",28,4,8,70,0,110,277
47012,"Souris--Moose Mountain/Souris--Moose Mountain"," 69","Weyburn",23,2,8,97,1,131,240
47012,"Souris--Moose Mountain/Souris--Moose Mountain"," 70","Weyburn",47,9,5,110,1,172,323
47012,"Souris--Moose Mountain/Souris--Moose Mountain"," 71","Weyburn",87,19,10,157,1,274,545
47012,"Souris--Moose Mountain/Souris--Moose Mountain"," 72","Weyburn",31,3,6,54,1,95,185
47012,"Souris--Moose Mountain/Souris--Moose Mountain"," 73","Weyburn",33,11,6,123,1,174,293
47012,"Souris--Moose Mountain/Souris--Moose Mountain"," 74","Weyburn",26,6,4,89,0,125,211
47012,"Souris--Moose Mountain/Souris--Moose Mountain"," 75","Weyburn",68,9,9,117,0,203,430
47012,"Souris--Moose Mountain/Souris--Moose Mountain"," 76","Weyburn",30,9,1,62,0,102,200
47012,"Souris--Moose Mountain/Souris--Moose Mountain"," 77","Weyburn",81,7,8,227,1,324,536
47012,"Souris--Moose Mountain/Souris--Moose Mountain"," 78","Weyburn",57,12,7,182,0,258,459
47012,"Souris--Moose Mountain/Souris--Moose Mountain"," 79","Weyburn",40,3,5,85,0,133,261
47012,"Souris--Moose Mountain/Souris--Moose Mountain"," 80","Weyburn",62,7,14,145,0,228,421
47012,"Souris--Moose Mountain/Souris--Moose Mountain"," 81","Weyburn",46,4,2,108,0,160,309
