Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Barry Devolin,Lyn Edwards,Susanne Lauten,Laura Redman,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35029,"Haliburton--Kawartha Lakes--Brock/Haliburton--Kawartha Lakes--Brock"," 1","Oxtongue Lake",40,11,11,8,0,70,120
35029,"Haliburton--Kawartha Lakes--Brock/Haliburton--Kawartha Lakes--Brock"," 2","Sherborne",116,58,19,29,0,222,426
35029,"Haliburton--Kawartha Lakes--Brock/Haliburton--Kawartha Lakes--Brock"," 3","Stanhope",129,65,12,53,0,259,399
35029,"Haliburton--Kawartha Lakes--Brock/Haliburton--Kawartha Lakes--Brock"," 4","Maple Lake",133,74,13,39,0,259,411
35029,"Haliburton--Kawartha Lakes--Brock/Haliburton--Kawartha Lakes--Brock"," 5","Carnarvon",146,46,9,55,1,257,468
35029,"Haliburton--Kawartha Lakes--Brock/Haliburton--Kawartha Lakes--Brock"," 5-1","Minden Hills",41,22,6,14,0,83,203
35029,"Haliburton--Kawartha Lakes--Brock/Haliburton--Kawartha Lakes--Brock"," 6","Minden Hills",94,55,6,38,1,194,338
35029,"Haliburton--Kawartha Lakes--Brock/Haliburton--Kawartha Lakes--Brock"," 7","Minden Hills",128,58,7,39,0,232,508
35029,"Haliburton--Kawartha Lakes--Brock/Haliburton--Kawartha Lakes--Brock"," 8","Minden Hills",37,11,4,11,1,64,217
35029,"Haliburton--Kawartha Lakes--Brock/Haliburton--Kawartha Lakes--Brock"," 9","Minden Hills",34,34,3,13,2,86,255
35029,"Haliburton--Kawartha Lakes--Brock/Haliburton--Kawartha Lakes--Brock"," 9-1","Minden Hills",27,12,2,18,1,60,155
35029,"Haliburton--Kawartha Lakes--Brock/Haliburton--Kawartha Lakes--Brock"," 10","Minden Hills",86,34,7,32,0,159,328
35029,"Haliburton--Kawartha Lakes--Brock/Haliburton--Kawartha Lakes--Brock"," 10-1","Minden Hills",63,24,4,22,1,114,266
35029,"Haliburton--Kawartha Lakes--Brock/Haliburton--Kawartha Lakes--Brock"," 11","Minden Hills",126,55,10,39,1,231,542
35029,"Haliburton--Kawartha Lakes--Brock/Haliburton--Kawartha Lakes--Brock"," 12","Minden Hills",59,31,6,8,0,104,166
35029,"Haliburton--Kawartha Lakes--Brock/Haliburton--Kawartha Lakes--Brock"," 13","Snowdon",94,40,13,38,1,186,425
35029,"Haliburton--Kawartha Lakes--Brock/Haliburton--Kawartha Lakes--Brock"," 14","Lutterworth",98,46,16,24,0,184,428
35029,"Haliburton--Kawartha Lakes--Brock/Haliburton--Kawartha Lakes--Brock"," 15","Lutterworth",123,67,14,17,0,221,494
35029,"Haliburton--Kawartha Lakes--Brock/Haliburton--Kawartha Lakes--Brock"," 16","Irondale",69,41,3,13,0,126,275
35029,"Haliburton--Kawartha Lakes--Brock/Haliburton--Kawartha Lakes--Brock"," 17","Glamorgan",109,72,15,23,0,219,419
