Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,John Cowling,Irma N DeVries,Bob McTavish,Ellen Papenburg,Gary Schellenberger,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35070,"Perth--Wellington/Perth--Wellington"," 1","Minto",8,4,21,58,101,0,192,392
35070,"Perth--Wellington/Perth--Wellington"," 2","Minto",7,1,11,30,61,0,110,246
35070,"Perth--Wellington/Perth--Wellington"," 3","Minto",12,3,34,55,144,0,248,494
35070,"Perth--Wellington/Perth--Wellington"," 4","Minto",7,5,32,41,98,0,183,367
35070,"Perth--Wellington/Perth--Wellington"," 5","Minto",13,7,35,49,144,1,249,469
35070,"Perth--Wellington/Perth--Wellington"," 6","Minto",15,10,30,52,126,1,234,411
35070,"Perth--Wellington/Perth--Wellington"," 7","Minto",7,3,44,39,110,0,203,320
35070,"Perth--Wellington/Perth--Wellington"," 8","Minto",4,1,14,30,99,0,148,258
35070,"Perth--Wellington/Perth--Wellington"," 8-1","Minto",2,1,26,40,114,1,184,320
35070,"Perth--Wellington/Perth--Wellington"," 9","Minto",2,8,23,24,106,0,163,295
35070,"Perth--Wellington/Perth--Wellington"," 10","Minto",10,15,30,51,128,0,234,402
35070,"Perth--Wellington/Perth--Wellington"," 10-1","Minto",12,12,19,57,118,0,218,367
35070,"Perth--Wellington/Perth--Wellington"," 11","Minto",5,7,16,42,83,0,153,274
35070,"Perth--Wellington/Perth--Wellington"," 12","Minto",11,9,19,57,136,1,233,405
35070,"Perth--Wellington/Perth--Wellington"," 13","Minto",15,5,18,65,109,0,212,365
35070,"Perth--Wellington/Perth--Wellington"," 14","Minto",15,12,43,72,163,3,308,505
35070,"Perth--Wellington/Perth--Wellington"," 15","North Perth",12,10,35,45,195,0,297,458
35070,"Perth--Wellington/Perth--Wellington"," 16","North Perth",Void/Supprimé,,,,,,,
35070,"Perth--Wellington/Perth--Wellington"," 17","North Perth",7,6,20,51,166,0,250,398
