Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Dean Allison,Stephen Bieda,Sid Frere,David Heatley,Bryan Jongbloed,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35055,"Niagara West--Glanbrook/Niagara-Ouest--Glanbrook"," 1","Glanbrook",158,64,8,72,6,1,309,592
35055,"Niagara West--Glanbrook/Niagara-Ouest--Glanbrook"," 2A","Glanbrook",157,38,6,59,0,2,262,339
35055,"Niagara West--Glanbrook/Niagara-Ouest--Glanbrook"," 2B","Glanbrook",161,44,0,59,1,0,265,320
35055,"Niagara West--Glanbrook/Niagara-Ouest--Glanbrook"," 3A","Glanbrook",169,37,4,60,1,0,271,373
35055,"Niagara West--Glanbrook/Niagara-Ouest--Glanbrook"," 3B","Glanbrook",165,33,6,60,0,1,265,353
35055,"Niagara West--Glanbrook/Niagara-Ouest--Glanbrook"," 3C","Glanbrook",153,48,4,57,3,3,268,364
35055,"Niagara West--Glanbrook/Niagara-Ouest--Glanbrook"," 4","Glanbrook",64,24,5,30,3,0,126,231
35055,"Niagara West--Glanbrook/Niagara-Ouest--Glanbrook"," 5","Glanbrook",122,51,9,81,2,0,265,481
35055,"Niagara West--Glanbrook/Niagara-Ouest--Glanbrook"," 6","Glanbrook",112,47,4,72,4,1,240,449
35055,"Niagara West--Glanbrook/Niagara-Ouest--Glanbrook"," 6-1A","Glanbrook",140,70,8,61,2,1,282,360
35055,"Niagara West--Glanbrook/Niagara-Ouest--Glanbrook"," 6-1B","Glanbrook",115,45,7,53,0,1,221,304
35055,"Niagara West--Glanbrook/Niagara-Ouest--Glanbrook"," 7","Glanbrook",137,12,13,75,4,1,242,421
35055,"Niagara West--Glanbrook/Niagara-Ouest--Glanbrook"," 8","Glanbrook",102,13,5,44,3,1,168,359
35055,"Niagara West--Glanbrook/Niagara-Ouest--Glanbrook"," 9","Glanbrook",61,11,7,54,13,0,146,262
35055,"Niagara West--Glanbrook/Niagara-Ouest--Glanbrook"," 10","Glanbrook",72,18,7,23,4,2,126,240
35055,"Niagara West--Glanbrook/Niagara-Ouest--Glanbrook"," 11","Glanbrook",107,17,1,40,2,0,167,365
35055,"Niagara West--Glanbrook/Niagara-Ouest--Glanbrook"," 12","Glanbrook",115,23,10,53,2,1,204,360
35055,"Niagara West--Glanbrook/Niagara-Ouest--Glanbrook"," 13","Glanbrook",88,22,10,41,5,0,166,351
35055,"Niagara West--Glanbrook/Niagara-Ouest--Glanbrook"," 14","Glanbrook",90,16,6,41,5,0,158,363
35055,"Niagara West--Glanbrook/Niagara-Ouest--Glanbrook"," 15","Glanbrook",88,14,7,49,8,0,166,318
35055,"Niagara West--Glanbrook/Niagara-Ouest--Glanbrook"," 16","Glanbrook",122,21,11,48,4,3,209,374
35055,"Niagara West--Glanbrook/Niagara-Ouest--Glanbrook"," 16-1","Glanbrook",86,53,2,46,0,1,188,456
35055,"Niagara West--Glanbrook/Niagara-Ouest--Glanbrook"," 16-2","Glanbrook",68,28,8,58,0,0,162,343
35055,"Niagara West--Glanbrook/Niagara-Ouest--Glanbrook"," 16-3","Glanbrook",93,34,4,60,2,0,193,413
35055,"Niagara West--Glanbrook/Niagara-Ouest--Glanbrook"," 17","Glanbrook",158,30,12,69,4,0,273,527
35055,"Niagara West--Glanbrook/Niagara-Ouest--Glanbrook"," 17-1","Glanbrook",62,10,6,49,0,0,127,307
35055,"Niagara West--Glanbrook/Niagara-Ouest--Glanbrook"," 17-2","Glanbrook",88,15,6,61,2,0,172,349
35055,"Niagara West--Glanbrook/Niagara-Ouest--Glanbrook"," 18","Glanbrook",82,10,14,44,6,1,157,311
35055,"Niagara West--Glanbrook/Niagara-Ouest--Glanbrook"," 19","Glanbrook",136,21,6,59,2,0,224,409
35055,"Niagara West--Glanbrook/Niagara-Ouest--Glanbrook"," 19-1","Glanbrook",146,32,4,64,3,0,249,545
