Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Carolyn Bennett,Maureen Harquail,John Kittredge,Jim McGarva,William Molls,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35077,"St. Paul's/St. Paul's"," 69","Toronto",86,75,0,9,23,1,194,386
35077,"St. Paul's/St. Paul's"," 70","Toronto",104,89,1,10,22,0,226,390
35077,"St. Paul's/St. Paul's"," 71","Toronto",74,63,1,9,52,2,201,374
35077,"St. Paul's/St. Paul's"," 72","Toronto",63,44,1,10,41,1,160,278
35077,"St. Paul's/St. Paul's"," 73","Toronto",63,66,0,13,49,0,191,373
35077,"St. Paul's/St. Paul's"," 74","Toronto",112,73,2,20,56,1,264,425
35077,"St. Paul's/St. Paul's"," 75","Toronto",79,55,0,9,48,0,191,357
35077,"St. Paul's/St. Paul's"," 76","Toronto",80,89,0,12,17,1,199,345
35077,"St. Paul's/St. Paul's"," 77","Toronto",89,85,1,18,13,1,207,364
35077,"St. Paul's/St. Paul's"," 78","Toronto",82,79,0,8,16,0,185,333
35077,"St. Paul's/St. Paul's"," 79","Toronto",55,58,1,3,12,0,129,259
35077,"St. Paul's/St. Paul's"," 80","Toronto",82,75,1,11,36,0,205,407
35077,"St. Paul's/St. Paul's"," 81","Toronto",54,30,1,7,78,0,170,300
35077,"St. Paul's/St. Paul's"," 82","Toronto",Void/Supprimé,,,,,,,
35077,"St. Paul's/St. Paul's"," 83","Toronto",97,37,1,14,78,2,229,453
35077,"St. Paul's/St. Paul's"," 84","Toronto",100,51,1,18,70,1,241,493
35077,"St. Paul's/St. Paul's"," 85","Toronto",60,40,1,3,29,1,134,276
35077,"St. Paul's/St. Paul's"," 85-1","Toronto",55,61,0,9,47,0,172,321
35077,"St. Paul's/St. Paul's"," 86","Toronto",90,81,0,8,17,0,196,346
35077,"St. Paul's/St. Paul's"," 87","Toronto",109,60,0,10,17,0,196,335
35077,"St. Paul's/St. Paul's"," 88","Toronto",44,43,0,9,42,0,138,236
35077,"St. Paul's/St. Paul's"," 89","Toronto",87,72,0,16,29,0,204,314
35077,"St. Paul's/St. Paul's"," 90","Toronto",118,47,0,20,51,0,236,381
35077,"St. Paul's/St. Paul's"," 91","Toronto",55,71,0,4,15,0,145,330
35077,"St. Paul's/St. Paul's"," 92","Toronto",41,78,0,2,16,2,139,295
35077,"St. Paul's/St. Paul's"," 93","Toronto",80,53,0,13,36,1,183,379
35077,"St. Paul's/St. Paul's"," 94","Toronto",113,51,0,8,33,3,208,334
35077,"St. Paul's/St. Paul's"," 95","Toronto",61,43,0,7,30,2,143,289
35077,"St. Paul's/St. Paul's"," 96","Toronto",160,117,1,12,43,1,334,586
35077,"St. Paul's/St. Paul's"," 97","Toronto",148,151,0,7,42,1,349,570
35077,"St. Paul's/St. Paul's"," 97-1","Toronto",53,73,0,1,11,0,138,244
35077,"St. Paul's/St. Paul's"," 98","Toronto",106,107,1,12,76,1,303,593
35077,"St. Paul's/St. Paul's"," 99","Toronto",129,107,4,10,80,1,331,554
35077,"St. Paul's/St. Paul's"," 100","Toronto",66,76,1,4,50,1,198,408
35077,"St. Paul's/St. Paul's"," 101","Toronto",68,45,0,9,46,0,168,379
35077,"St. Paul's/St. Paul's"," 102","Toronto",46,47,0,5,30,0,128,275
35077,"St. Paul's/St. Paul's"," 103","Toronto",43,46,1,2,51,1,144,332
35077,"St. Paul's/St. Paul's"," 104","Toronto",96,75,1,12,38,0,222,369
35077,"St. Paul's/St. Paul's"," 104-1","Toronto",32,49,2,6,54,1,144,277
35077,"St. Paul's/St. Paul's"," 105","Toronto",35,31,3,4,29,2,104,297
35077,"St. Paul's/St. Paul's"," 106","Toronto",75,73,3,9,54,0,214,452
35077,"St. Paul's/St. Paul's"," 107","Toronto",Void/Supprimé,,,,,,,
35077,"St. Paul's/St. Paul's"," 108","Toronto",54,42,0,9,43,1,149,367
35077,"St. Paul's/St. Paul's"," 109","Toronto",53,43,1,7,27,1,132,261
35077,"St. Paul's/St. Paul's"," 110","Toronto",41,61,1,11,27,0,141,229
35077,"St. Paul's/St. Paul's"," 111","Toronto",55,38,1,8,33,0,135,281
35077,"St. Paul's/St. Paul's"," 112","Toronto",73,38,2,6,46,1,166,306
35077,"St. Paul's/St. Paul's"," 113","Toronto",119,99,3,7,78,3,309,526
35077,"St. Paul's/St. Paul's"," 114","Toronto",77,71,1,5,67,0,221,489
35077,"St. Paul's/St. Paul's"," 114-1","Toronto",88,105,1,8,42,0,244,466
35077,"St. Paul's/St. Paul's"," 115","Toronto",128,102,2,16,88,5,341,597
35077,"St. Paul's/St. Paul's"," 116","Toronto",107,84,0,10,85,2,288,544
35077,"St. Paul's/St. Paul's"," 117","Toronto",77,72,2,4,45,2,202,466
35077,"St. Paul's/St. Paul's"," 117-1A","Toronto",77,106,0,8,66,1,258,548
35077,"St. Paul's/St. Paul's"," 117-1B","Toronto",106,126,1,11,53,0,297,612
35077,"St. Paul's/St. Paul's"," 118","Toronto",59,47,2,8,29,1,146,335
35077,"St. Paul's/St. Paul's"," 119","Toronto",57,64,0,7,56,0,184,362
35077,"St. Paul's/St. Paul's"," 120","Toronto",60,41,1,6,36,0,144,281
35077,"St. Paul's/St. Paul's"," 121","Toronto",86,73,2,11,41,0,213,404
35077,"St. Paul's/St. Paul's"," 122","Toronto",115,81,2,19,29,2,248,435
35077,"St. Paul's/St. Paul's"," 123","Toronto",81,65,1,14,12,0,173,294
35077,"St. Paul's/St. Paul's"," 124A","Toronto",78,60,0,7,43,1,189,338
35077,"St. Paul's/St. Paul's"," 124B","Toronto",79,65,0,10,37,0,191,343
35077,"St. Paul's/St. Paul's"," 125","Toronto",32,21,1,6,12,0,72,145
35077,"St. Paul's/St. Paul's"," 126","Toronto",69,77,0,12,37,0,195,355
35077,"St. Paul's/St. Paul's"," 127","Toronto",76,56,0,18,20,0,170,285
35077,"St. Paul's/St. Paul's"," 128","Toronto",100,76,0,7,32,2,217,334
35077,"St. Paul's/St. Paul's"," 129","Toronto",89,48,0,18,39,1,195,330
35077,"St. Paul's/St. Paul's"," 130","Toronto",45,17,1,7,20,0,90,294
35077,"St. Paul's/St. Paul's"," 131","Toronto",65,44,0,16,22,2,149,293
35077,"St. Paul's/St. Paul's"," 132","Toronto",89,92,3,10,39,1,234,390
35077,"St. Paul's/St. Paul's"," 133","Toronto",74,46,0,8,38,0,166,263
35077,"St. Paul's/St. Paul's"," 134","Toronto",111,66,1,14,35,1,228,335
35077,"St. Paul's/St. Paul's"," 135","Toronto",93,49,1,3,39,0,185,302
35077,"St. Paul's/St. Paul's"," 136","Toronto",130,87,1,6,50,1,275,377
35077,"St. Paul's/St. Paul's"," 137","Toronto",108,66,0,11,38,0,223,371
35077,"St. Paul's/St. Paul's"," 138","Toronto",73,76,1,13,56,1,220,390
35077,"St. Paul's/St. Paul's"," 138-1","Toronto",61,54,1,9,53,1,179,356
35077,"St. Paul's/St. Paul's"," 139","Toronto",152,98,2,4,42,1,299,432
35077,"St. Paul's/St. Paul's"," 140","Toronto",123,81,1,19,50,0,274,495
35077,"St. Paul's/St. Paul's"," 141","Toronto",91,75,0,10,43,0,219,433
35077,"St. Paul's/St. Paul's"," 142","Toronto",54,26,1,11,14,0,106,210
35077,"St. Paul's/St. Paul's"," 143","Toronto",51,43,0,7,28,1,130,203
35077,"St. Paul's/St. Paul's"," 143-1","Toronto",28,32,6,5,29,3,103,167
35077,"St. Paul's/St. Paul's"," 144","Toronto",106,77,6,10,73,1,273,489
