Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Ginette Beaudry,Claude Brunelle,David J. Cox,Mathieu Drolet,Olivier L. Coulombe,Ève Péclet,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
24028,"La Pointe-de-l'Île/La Pointe-de-l'Île"," 1","Montréal",106,1,6,26,17,147,6,309,510
24028,"La Pointe-de-l'Île/La Pointe-de-l'Île"," 2","Montréal",95,0,6,13,11,120,4,249,495
24028,"La Pointe-de-l'Île/La Pointe-de-l'Île"," 3","Montréal",64,0,9,10,14,108,1,206,353
24028,"La Pointe-de-l'Île/La Pointe-de-l'Île"," 4","Montréal",76,1,5,17,11,153,4,267,440
24028,"La Pointe-de-l'Île/La Pointe-de-l'Île"," 5","Montréal",107,0,8,20,23,166,4,328,488
24028,"La Pointe-de-l'Île/La Pointe-de-l'Île"," 6","Montréal",54,0,5,19,8,74,1,161,236
24028,"La Pointe-de-l'Île/La Pointe-de-l'Île"," 7A","Montréal",39,0,0,12,9,98,1,159,340
24028,"La Pointe-de-l'Île/La Pointe-de-l'Île"," 7B","Montréal",49,1,2,12,16,103,1,184,369
24028,"La Pointe-de-l'Île/La Pointe-de-l'Île"," 8","Montréal",72,2,0,13,20,188,1,296,553
24028,"La Pointe-de-l'Île/La Pointe-de-l'Île"," 9","Montréal",124,1,8,17,23,173,6,352,561
24028,"La Pointe-de-l'Île/La Pointe-de-l'Île"," 10","Montréal",49,0,5,8,9,95,3,169,308
24028,"La Pointe-de-l'Île/La Pointe-de-l'Île"," 11","Montréal",78,1,11,27,25,138,3,283,534
24028,"La Pointe-de-l'Île/La Pointe-de-l'Île"," 12","Montréal",81,0,5,15,12,137,4,254,404
24028,"La Pointe-de-l'Île/La Pointe-de-l'Île"," 13","Montréal",59,2,10,17,35,143,5,271,416
24028,"La Pointe-de-l'Île/La Pointe-de-l'Île"," 13-1","Montréal",102,1,2,12,26,163,7,313,554
24028,"La Pointe-de-l'Île/La Pointe-de-l'Île"," 14","Montréal",110,1,6,16,14,146,3,296,429
24028,"La Pointe-de-l'Île/La Pointe-de-l'Île"," 15","Montréal",53,1,2,17,21,103,1,198,326
24028,"La Pointe-de-l'Île/La Pointe-de-l'Île"," 16","Montréal",94,2,3,15,17,132,8,271,455
24028,"La Pointe-de-l'Île/La Pointe-de-l'Île"," 17","Montréal",92,0,1,12,23,165,1,294,470
24028,"La Pointe-de-l'Île/La Pointe-de-l'Île"," 18","Montréal",54,1,4,18,13,66,4,160,454
24028,"La Pointe-de-l'Île/La Pointe-de-l'Île"," 19","Montréal",46,1,5,13,8,76,3,152,443
24028,"La Pointe-de-l'Île/La Pointe-de-l'Île"," 20","Montréal",98,0,8,25,17,129,7,284,494
24028,"La Pointe-de-l'Île/La Pointe-de-l'Île"," 21","Montréal",66,1,1,9,18,135,5,235,474
24028,"La Pointe-de-l'Île/La Pointe-de-l'Île"," 22","Montréal",75,0,2,2,14,85,7,185,424
24028,"La Pointe-de-l'Île/La Pointe-de-l'Île"," 23","Montréal",44,0,4,17,24,122,6,217,418
24028,"La Pointe-de-l'Île/La Pointe-de-l'Île"," 24","Montréal",59,1,4,19,16,82,4,185,328
24028,"La Pointe-de-l'Île/La Pointe-de-l'Île"," 25","Montréal",58,0,3,10,10,87,2,170,404
24028,"La Pointe-de-l'Île/La Pointe-de-l'Île"," 26","Montréal",61,3,1,23,15,91,6,200,510
24028,"La Pointe-de-l'Île/La Pointe-de-l'Île"," 27","Montréal",48,0,1,16,9,84,8,166,467
24028,"La Pointe-de-l'Île/La Pointe-de-l'Île"," 28","Montréal",76,0,1,11,11,103,2,204,322
24028,"La Pointe-de-l'Île/La Pointe-de-l'Île"," 29","Montréal",86,0,4,17,17,106,2,232,413
24028,"La Pointe-de-l'Île/La Pointe-de-l'Île"," 30","Montréal",53,0,3,5,13,88,3,165,346
24028,"La Pointe-de-l'Île/La Pointe-de-l'Île"," 31","Montréal",58,0,4,18,21,116,2,219,384
24028,"La Pointe-de-l'Île/La Pointe-de-l'Île"," 32","Montréal",73,1,3,12,15,114,0,218,341
24028,"La Pointe-de-l'Île/La Pointe-de-l'Île"," 33","Montréal",84,4,2,15,10,91,5,211,416
24028,"La Pointe-de-l'Île/La Pointe-de-l'Île"," 34","Montréal",35,0,6,10,22,84,3,160,354
24028,"La Pointe-de-l'Île/La Pointe-de-l'Île"," 35","Montréal",87,1,5,11,32,93,4,233,372
24028,"La Pointe-de-l'Île/La Pointe-de-l'Île"," 36","Montréal",70,0,7,18,16,152,5,268,426
24028,"La Pointe-de-l'Île/La Pointe-de-l'Île"," 37","Montréal",80,2,6,13,18,129,2,250,427
24028,"La Pointe-de-l'Île/La Pointe-de-l'Île"," 38","Montréal",69,2,2,22,23,152,2,272,437
24028,"La Pointe-de-l'Île/La Pointe-de-l'Île"," 39","Montréal",73,0,5,27,19,126,4,254,418
24028,"La Pointe-de-l'Île/La Pointe-de-l'Île"," 40","Montréal",38,0,3,2,11,34,6,94,203
24028,"La Pointe-de-l'Île/La Pointe-de-l'Île"," 41","Montréal",104,1,4,14,21,115,6,265,454
24028,"La Pointe-de-l'Île/La Pointe-de-l'Île"," 42","Montréal",55,1,6,8,10,88,0,168,280
24028,"La Pointe-de-l'Île/La Pointe-de-l'Île"," 43","Montréal",68,0,3,17,16,120,2,226,353
24028,"La Pointe-de-l'Île/La Pointe-de-l'Île"," 44","Montréal",84,0,3,13,23,136,6,265,406
24028,"La Pointe-de-l'Île/La Pointe-de-l'Île"," 45","Montréal",47,0,6,17,12,78,5,165,359
24028,"La Pointe-de-l'Île/La Pointe-de-l'Île"," 46","Montréal",88,0,3,13,13,135,1,253,455
24028,"La Pointe-de-l'Île/La Pointe-de-l'Île"," 47","Montréal",47,2,7,20,10,101,3,190,364
24028,"La Pointe-de-l'Île/La Pointe-de-l'Île"," 48","Montréal",55,0,0,12,10,96,0,173,384
24028,"La Pointe-de-l'Île/La Pointe-de-l'Île"," 49","Montréal",83,0,5,18,16,123,4,249,421
24028,"La Pointe-de-l'Île/La Pointe-de-l'Île"," 50","Montréal",62,2,4,22,15,132,6,243,414
