Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Yvan Dutil,Christiane Gagnon,Stefan Jetchick,Pierre Morasse,Annick Papillon,François Payeur,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
24052,"Québec/Québec"," 1","Québec",4,55,0,68,111,20,0,258,412
24052,"Québec/Québec"," 2","Québec",2,38,2,70,96,15,4,227,389
24052,"Québec/Québec"," 3","Québec",4,47,1,70,130,11,5,268,407
24052,"Québec/Québec"," 4","Québec",3,26,0,39,124,11,3,206,326
24052,"Québec/Québec"," 5","Québec",6,46,1,49,136,19,5,262,430
24052,"Québec/Québec"," 6","Québec",5,46,0,58,95,8,4,216,481
24052,"Québec/Québec"," 7","Québec",3,24,1,54,98,12,3,195,344
24052,"Québec/Québec"," 8","Québec",8,42,1,73,123,11,5,263,505
24052,"Québec/Québec"," 9","Québec",9,28,2,49,72,11,4,175,381
24052,"Québec/Québec"," 10","Québec",5,28,0,67,74,15,3,192,375
24052,"Québec/Québec"," 11","Québec",6,21,0,37,79,9,2,154,308
24052,"Québec/Québec"," 12","Québec",3,34,1,55,95,12,8,208,327
24052,"Québec/Québec"," 13","Québec",2,57,1,75,94,16,3,248,391
24052,"Québec/Québec"," 14","Québec",2,54,1,58,98,10,12,235,419
24052,"Québec/Québec"," 15","Québec",2,62,1,57,144,23,1,290,457
24052,"Québec/Québec"," 16","Québec",2,51,0,73,117,14,6,263,443
24052,"Québec/Québec"," 17","Québec",3,53,1,58,117,17,4,253,431
24052,"Québec/Québec"," 18","Québec",4,32,0,49,110,13,2,210,324
24052,"Québec/Québec"," 19","Québec",4,34,0,56,108,11,0,213,346
24052,"Québec/Québec"," 20","Québec",6,48,2,42,89,11,1,199,298
24052,"Québec/Québec"," 21","Québec",3,24,0,39,122,8,3,199,363
24052,"Québec/Québec"," 22","Québec",2,30,1,53,92,16,4,198,352
24052,"Québec/Québec"," 23","Québec",3,42,1,42,96,3,8,195,413
24052,"Québec/Québec"," 24A","Québec",Merged with No. 25/Fusionné avec le nº 25,,,,,,,,306
24052,"Québec/Québec"," 24B","Québec",4,29,1,59,54,39,3,189,254
24052,"Québec/Québec"," 25","Québec",5,91,2,83,145,19,2,347,312
24052,"Québec/Québec"," 26","Québec",4,59,3,66,135,11,9,287,551
24052,"Québec/Québec"," 26-1","Québec",0,25,0,70,108,17,6,226,384
24052,"Québec/Québec"," 26-2","Québec",5,40,0,99,105,25,5,279,498
24052,"Québec/Québec"," 26-3","Québec",4,40,1,69,128,18,5,265,489
24052,"Québec/Québec"," 27","Québec",4,36,1,45,89,6,2,183,341
24052,"Québec/Québec"," 28","Québec",3,38,0,31,81,5,1,159,334
24052,"Québec/Québec"," 29","Québec",3,40,2,42,144,13,4,248,504
24052,"Québec/Québec"," 30","Québec",2,22,1,27,68,7,0,127,268
24052,"Québec/Québec"," 31","Québec",2,30,1,52,75,14,6,180,410
24052,"Québec/Québec"," 32","Québec",3,25,0,47,99,13,3,190,412
24052,"Québec/Québec"," 33","Québec",2,37,0,61,49,10,8,167,349
24052,"Québec/Québec"," 34","Québec",4,29,0,69,89,11,1,203,412
24052,"Québec/Québec"," 35","Québec",6,37,2,80,114,18,3,260,403
24052,"Québec/Québec"," 35-1","Québec",2,34,0,61,88,19,3,207,391
24052,"Québec/Québec"," 35-2","Québec",6,33,0,46,94,13,4,196,400
24052,"Québec/Québec"," 36A","Québec",Merged with No. 37/Fusionné avec le nº 37,,,,,,,,165
24052,"Québec/Québec"," 36B","Québec",1,8,1,8,14,7,3,42,224
24052,"Québec/Québec"," 37","Québec",2,30,0,52,59,10,3,156,221
24052,"Québec/Québec"," 38","Québec",1,19,1,45,72,4,1,143,298
24052,"Québec/Québec"," 39","Vanier",3,30,1,83,103,7,4,231,368
24052,"Québec/Québec"," 40","Vanier",5,29,0,60,98,4,0,196,327
24052,"Québec/Québec"," 41","Vanier",2,30,2,49,86,6,6,181,330
24052,"Québec/Québec"," 42","Vanier",3,23,1,52,67,5,0,151,478
24052,"Québec/Québec"," 43","Vanier",2,19,2,52,78,2,1,156,397
24052,"Québec/Québec"," 44","Québec",4,96,0,64,135,33,0,332,620
24052,"Québec/Québec"," 45","Québec",7,85,2,54,147,32,4,331,568
24052,"Québec/Québec"," 45-1","Québec",Void/Supprimé,,,,,,,,
24052,"Québec/Québec"," 46","Vanier",2,26,2,43,62,8,3,146,370
24052,"Québec/Québec"," 47","Vanier",0,18,4,33,49,10,1,115,280
24052,"Québec/Québec"," 48","Vanier",0,8,1,43,46,8,0,106,258
24052,"Québec/Québec"," 49","Vanier",2,34,1,57,85,5,4,188,401
24052,"Québec/Québec"," 50","Vanier",0,23,0,34,59,5,3,124,345
24052,"Québec/Québec"," 51","Vanier",2,25,0,56,63,4,4,154,278
24052,"Québec/Québec"," 52","Vanier",2,30,0,45,81,4,0,162,289
24052,"Québec/Québec"," 53","Vanier",4,22,4,39,70,8,5,152,363
24052,"Québec/Québec"," 54","Vanier",3,14,1,24,64,11,0,117,311
24052,"Québec/Québec"," 55","Vanier",3,14,2,32,65,3,4,123,341
24052,"Québec/Québec"," 56","Vanier",5,25,1,23,44,6,2,106,277
24052,"Québec/Québec"," 57","Vanier",4,35,1,39,49,14,2,144,343
24052,"Québec/Québec"," 58","Vanier",4,26,1,15,47,3,2,98,196
24052,"Québec/Québec"," 59","Vanier",5,29,0,39,69,8,4,154,342
24052,"Québec/Québec"," 60","Vanier",0,39,6,47,121,15,4,232,537
24052,"Québec/Québec"," 61","Vanier",6,22,2,53,62,17,3,165,376
24052,"Québec/Québec"," 62","Vanier",3,21,0,35,68,3,1,131,319
24052,"Québec/Québec"," 63","Vanier",6,30,0,52,55,5,3,151,308
24052,"Québec/Québec"," 64","Vanier",1,20,0,28,48,6,4,107,252
24052,"Québec/Québec"," 65","Vanier",3,21,0,29,59,6,2,120,271
24052,"Québec/Québec"," 66","Vanier",6,42,1,57,87,24,8,225,556
24052,"Québec/Québec"," 67","Québec",2,33,1,33,49,4,3,125,190
24052,"Québec/Québec"," 68","Québec",6,61,2,64,204,17,9,363,611
24052,"Québec/Québec"," 69","Québec",3,68,1,11,74,9,0,166,328
24052,"Québec/Québec"," 70","Québec",9,86,1,24,98,13,5,236,443
24052,"Québec/Québec"," 71","Québec",8,48,3,22,66,8,0,155,342
24052,"Québec/Québec"," 72","Québec",3,64,1,13,78,3,2,164,323
24052,"Québec/Québec"," 73","Québec",7,59,5,28,86,14,1,200,445
24052,"Québec/Québec"," 74","Québec",6,31,0,15,56,5,1,114,286
24052,"Québec/Québec"," 75","Québec",6,74,0,17,107,7,4,215,409
24052,"Québec/Québec"," 76","Québec",6,73,0,23,96,6,1,205,435
24052,"Québec/Québec"," 77A","Québec",Merged with No. 78/Fusionné avec le nº 78,,,,,,,,190
24052,"Québec/Québec"," 77B","Mobile poll/Bureau itinérant",1,25,2,30,68,50,8,184,116
24052,"Québec/Québec"," 78","Québec",8,92,0,9,153,11,3,276,365
24052,"Québec/Québec"," 79","Québec",11,69,3,35,116,16,5,255,501
24052,"Québec/Québec"," 80","Québec",9,41,2,17,83,16,7,175,300
24052,"Québec/Québec"," 81","Québec",13,90,0,16,126,15,8,268,451
24052,"Québec/Québec"," 82","Québec",6,101,2,17,119,3,4,252,442
24052,"Québec/Québec"," 83","Québec",11,87,0,24,157,23,2,304,541
24052,"Québec/Québec"," 84","Québec",7,68,2,25,100,10,0,212,368
24052,"Québec/Québec"," 85","Québec",4,49,2,30,72,8,5,170,325
24052,"Québec/Québec"," 86","Québec",5,41,0,25,80,9,3,163,321
24052,"Québec/Québec"," 87","Québec",4,51,0,21,72,3,5,156,292
24052,"Québec/Québec"," 88","Québec",2,55,0,24,78,4,1,164,319
24052,"Québec/Québec"," 89","Québec",5,46,1,17,86,7,2,164,311
24052,"Québec/Québec"," 90","Québec",5,72,1,27,104,4,2,215,387
24052,"Québec/Québec"," 91","Québec",10,43,0,35,98,12,1,199,365
24052,"Québec/Québec"," 92","Québec",7,51,0,28,97,12,7,202,424
24052,"Québec/Québec"," 93","Québec",4,60,1,21,96,6,0,188,359
24052,"Québec/Québec"," 94","Québec",7,47,0,19,79,14,1,167,332
24052,"Québec/Québec"," 95","Québec",4,49,0,23,97,10,0,183,392
24052,"Québec/Québec"," 96","Québec",6,49,3,32,66,12,3,171,344
24052,"Québec/Québec"," 97","Québec",3,50,0,31,98,6,6,194,412
24052,"Québec/Québec"," 98A","Québec",Merged with No. 100/Fusionné avec le nº 100,,,,,,,,182
24052,"Québec/Québec"," 98B","Québec",0,20,2,9,10,10,4,55,225
24052,"Québec/Québec"," 99","Québec",6,59,0,27,103,9,4,208,419
24052,"Québec/Québec"," 100","Québec",11,107,0,34,166,15,5,338,386
24052,"Québec/Québec"," 101","Québec",5,76,1,30,153,18,4,287,458
24052,"Québec/Québec"," 102","Québec",6,44,3,24,76,5,3,161,390
24052,"Québec/Québec"," 103","Québec",3,50,0,17,84,6,5,165,364
24052,"Québec/Québec"," 104","Québec",3,45,1,27,81,8,4,169,399
24052,"Québec/Québec"," 105","Québec",6,51,0,21,93,7,2,180,393
24052,"Québec/Québec"," 106","Québec",5,66,1,20,72,4,6,174,374
24052,"Québec/Québec"," 107","Québec",10,52,2,16,86,12,5,183,396
24052,"Québec/Québec"," 108","Québec",2,33,0,24,86,5,4,154,340
24052,"Québec/Québec"," 109","Québec",4,62,2,35,69,5,4,181,418
24052,"Québec/Québec"," 110","Québec",3,43,1,58,97,13,4,219,442
24052,"Québec/Québec"," 111","Québec",10,49,0,31,86,9,3,188,345
24052,"Québec/Québec"," 112","Québec",6,59,1,27,124,16,11,244,465
24052,"Québec/Québec"," 113","Québec",5,50,2,37,105,11,1,211,363
24052,"Québec/Québec"," 114","Québec",1,29,0,23,67,10,2,132,318
24052,"Québec/Québec"," 115","Québec",3,19,1,12,33,13,0,81,251
24052,"Québec/Québec"," 116","Québec",7,25,0,35,78,6,5,156,303
24052,"Québec/Québec"," 117","Québec",3,42,1,33,104,10,4,197,427
24052,"Québec/Québec"," 118","Québec",6,61,1,45,115,20,9,257,514
24052,"Québec/Québec"," 119","Québec",3,62,0,14,87,11,1,178,322
24052,"Québec/Québec"," 120","Québec",10,68,0,12,105,14,4,213,367
24052,"Québec/Québec"," 121","Québec",2,19,1,11,36,5,0,74,170
24052,"Québec/Québec"," 122","Québec",11,72,0,23,91,21,2,220,375
24052,"Québec/Québec"," 123","Québec",4,59,1,30,98,30,3,225,419
24052,"Québec/Québec"," 124","Québec",4,67,1,17,83,13,2,187,319
24052,"Québec/Québec"," 125","Québec",0,67,2,54,83,80,5,291,402
