Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Natalie Arsenault,Evelyne Chapman,Dominic LeBlanc,Susan Levi-Peters,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
13002,"Beauséjour/Beauséjour"," 1","Saint-Louis",13,69,83,65,1,231,393
13002,"Beauséjour/Beauséjour"," 2","Saint-Louis",10,65,77,38,3,193,365
13002,"Beauséjour/Beauséjour"," 3","Saint-Louis",9,73,78,53,7,220,411
13002,"Beauséjour/Beauséjour"," 4A","Saint-Louis",11,43,56,33,7,150,219
13002,"Beauséjour/Beauséjour"," 4B","Saint-Louis",13,50,53,38,5,159,267
13002,"Beauséjour/Beauséjour"," 5","Saint-Ignace",7,36,53,48,3,147,209
13002,"Beauséjour/Beauséjour"," 6","Saint-Ignace",10,76,74,72,5,237,326
13002,"Beauséjour/Beauséjour"," 7","Petite-Aldouane",8,67,67,44,5,191,299
13002,"Beauséjour/Beauséjour"," 8","Aldouane",17,100,96,74,8,295,405
13002,"Beauséjour/Beauséjour"," 8-1","Aldouane",7,51,85,31,5,179,290
13002,"Beauséjour/Beauséjour"," 9","Saint-Charles",14,50,68,44,8,184,303
13002,"Beauséjour/Beauséjour"," 10","Saint-Charles",6,72,78,37,4,197,281
13002,"Beauséjour/Beauséjour"," 11","Richibucto-Village",9,60,92,44,3,208,313
13002,"Beauséjour/Beauséjour"," 12","Richibucto-Village",13,33,73,58,6,183,302
13002,"Beauséjour/Beauséjour"," 12-1","Richibucto-Village",13,48,86,42,9,198,279
13002,"Beauséjour/Beauséjour"," 13","Richibucto",12,74,83,56,0,225,450
13002,"Beauséjour/Beauséjour"," 13-1","Richibucto",1,1,31,15,1,49,86
13002,"Beauséjour/Beauséjour"," 14A","Richibucto",5,70,67,37,4,183,311
13002,"Beauséjour/Beauséjour"," 14B","Mobile poll/Bureau itinérant",Merged with No. 500/Fusionné avec le nº 500,,,,,,20
13002,"Beauséjour/Beauséjour"," 15","Richibucto",15,85,100,55,1,256,385
13002,"Beauséjour/Beauséjour"," 16","Richibucto",9,64,89,50,5,217,368
13002,"Beauséjour/Beauséjour"," 17","Rexton",7,56,66,30,2,161,305
13002,"Beauséjour/Beauséjour"," 18","Rexton",12,88,76,50,2,228,437
13002,"Beauséjour/Beauséjour"," 19A","Elsipogtog",0,6,10,193,2,211,435
13002,"Beauséjour/Beauséjour"," 19B","Elsipogtog",1,6,19,206,5,237,430
13002,"Beauséjour/Beauséjour"," 19C","Elsipogtog",1,8,21,172,2,204,411
13002,"Beauséjour/Beauséjour"," 20","South Branch--West Branch",19,117,59,47,3,245,425
13002,"Beauséjour/Beauséjour"," 21","Elsipogtog",Void/Supprimé,,,,,,
13002,"Beauséjour/Beauséjour"," 22","Bass River",8,50,43,36,3,140,246
13002,"Beauséjour/Beauséjour"," 23","Beersville",8,68,30,27,0,133,215
13002,"Beauséjour/Beauséjour"," 23-1","Adamsville",7,89,41,41,1,179,247
13002,"Beauséjour/Beauséjour"," 24","Harcourt",13,79,42,31,1,166,272
13002,"Beauséjour/Beauséjour"," 25","Saint-Édouard",11,71,146,51,9,288,422
13002,"Beauséjour/Beauséjour"," 26","Sainte-Anne",8,76,96,31,4,215,317
13002,"Beauséjour/Beauséjour"," 27","Saint-Pierre",7,52,72,26,1,158,302
13002,"Beauséjour/Beauséjour"," 28","Bouctouche",4,69,48,32,2,155,316
13002,"Beauséjour/Beauséjour"," 28-1","Bouctouche",10,27,66,33,3,139,247
13002,"Beauséjour/Beauséjour"," 29","Bouctouche",2,35,47,16,0,100,255
13002,"Beauséjour/Beauséjour"," 30","Bouctouche",4,29,30,17,4,84,245
13002,"Beauséjour/Beauséjour"," 31","Bouctouche",3,56,43,27,2,131,290
