Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Gérard Asselin,Gordon Ferguson,André Forbes,Jacques Gélineau,Jonathan Genest-Jourdain,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
24039,"Manicouagan/Manicouagan"," 1","Schefferville",14,4,3,8,11,0,40,310
24039,"Manicouagan/Manicouagan"," 2","Matimekosh--Lac-John",1,0,0,0,9,0,10,212
24039,"Manicouagan/Manicouagan"," 3","Kawawachikamach",2,0,41,1,20,0,64,360
24039,"Manicouagan/Manicouagan"," 4","Fermont",56,13,4,6,66,0,145,490
24039,"Manicouagan/Manicouagan"," 5","Fermont",50,17,5,5,63,1,141,345
24039,"Manicouagan/Manicouagan"," 6","Fermont",37,6,4,4,75,3,129,371
24039,"Manicouagan/Manicouagan"," 6-1","Fermont",36,21,8,0,81,2,148,442
24039,"Manicouagan/Manicouagan"," 7","Fermont",55,19,7,3,96,1,181,373
24039,"Manicouagan/Manicouagan"," 8","Franquelin",63,12,7,3,58,2,145,285
24039,"Manicouagan/Manicouagan"," 9","Rivière-Pentecôte",47,16,33,3,52,1,152,276
24039,"Manicouagan/Manicouagan"," 10","Pointe-aux-Anglais",18,11,20,0,26,0,75,156
24039,"Manicouagan/Manicouagan"," 11","Baie-Trinité",38,11,6,0,34,1,90,235
24039,"Manicouagan/Manicouagan"," 12","Baie-Trinité",37,7,1,2,23,0,70,195
24039,"Manicouagan/Manicouagan"," 13","Godbout",46,23,4,6,44,4,127,265
24039,"Manicouagan/Manicouagan"," 14","Baie-Comeau",53,26,4,2,119,1,205,455
24039,"Manicouagan/Manicouagan"," 15","Baie-Comeau",35,13,3,3,86,1,141,260
24039,"Manicouagan/Manicouagan"," 16","Baie-Comeau",26,17,6,2,104,4,159,272
24039,"Manicouagan/Manicouagan"," 17","Baie-Comeau",31,16,1,2,96,2,148,246
24039,"Manicouagan/Manicouagan"," 18","Baie-Comeau",69,28,6,5,130,3,241,550
24039,"Manicouagan/Manicouagan"," 19","Baie-Comeau",39,22,5,1,107,1,175,288
24039,"Manicouagan/Manicouagan"," 20","Baie-Comeau",24,31,2,2,98,2,159,286
24039,"Manicouagan/Manicouagan"," 21","Baie-Comeau",18,9,4,5,99,3,138,247
24039,"Manicouagan/Manicouagan"," 22","Baie-Comeau",29,7,4,5,99,1,145,249
