Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Dave Barnes,John Bouché,Wes Penner,Merv Tweed,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
46001,"Brandon--Souris/Brandon--Souris"," 1","Kirkella",8,18,3,82,0,111,180
46001,"Brandon--Souris/Brandon--Souris"," 2","Hargrave",14,27,12,153,0,206,446
46001,"Brandon--Souris/Brandon--Souris"," 3","Kola",3,9,2,137,0,151,289
46001,"Brandon--Souris/Brandon--Souris"," 4","Scarth",1,5,4,80,1,91,193
46001,"Brandon--Souris/Brandon--Souris"," 5","Virden",7,29,13,147,0,196,354
46001,"Brandon--Souris/Brandon--Souris"," 6","Elkhorn",3,30,11,140,0,184,309
46001,"Brandon--Souris/Brandon--Souris"," 7","Virden",7,24,11,164,0,206,399
46001,"Brandon--Souris/Brandon--Souris"," 8","Virden",8,22,2,119,0,151,270
46001,"Brandon--Souris/Brandon--Souris"," 9","Virden",7,27,8,108,0,150,297
46001,"Brandon--Souris/Brandon--Souris"," 10","Virden",11,48,7,135,1,202,368
46001,"Brandon--Souris/Brandon--Souris"," 11","Virden",7,34,6,97,0,144,262
46001,"Brandon--Souris/Brandon--Souris"," 12","Virden",17,41,18,184,0,260,467
46001,"Brandon--Souris/Brandon--Souris"," 13","Kenton",27,36,8,152,0,223,353
46001,"Brandon--Souris/Brandon--Souris"," 14","Maskawata",4,11,0,60,0,75,172
46001,"Brandon--Souris/Brandon--Souris"," 15","Cromer",6,14,3,43,0,66,154
46001,"Brandon--Souris/Brandon--Souris"," 16","Sinclair",5,5,3,62,0,75,187
46001,"Brandon--Souris/Brandon--Souris"," 17","Pipestone",6,17,12,81,0,116,218
46001,"Brandon--Souris/Brandon--Souris"," 18","Reston",10,56,20,158,0,244,397
46001,"Brandon--Souris/Brandon--Souris"," 19","Oak Lake Beach",6,40,9,172,0,227,433
46001,"Brandon--Souris/Brandon--Souris"," 20","Oak Lake",8,30,6,157,2,203,307
46001,"Brandon--Souris/Brandon--Souris"," 21","Oak Lake Reserve",3,31,1,16,1,52,194
46001,"Brandon--Souris/Brandon--Souris"," 22","Sioux Valley",7,64,5,12,0,88,486
46001,"Brandon--Souris/Brandon--Souris"," 23","Bradwardine",1,17,1,44,0,63,104
46001,"Brandon--Souris/Brandon--Souris"," 24","Rivers",6,30,5,86,1,128,262
46001,"Brandon--Souris/Brandon--Souris"," 25","Levine",15,43,20,128,0,206,385
46001,"Brandon--Souris/Brandon--Souris"," 26","Rivers",9,66,9,126,0,210,320
46001,"Brandon--Souris/Brandon--Souris"," 27","Rivers",8,45,12,109,0,174,315
46001,"Brandon--Souris/Brandon--Souris"," 28","Forrest",8,34,6,98,1,147,225
46001,"Brandon--Souris/Brandon--Souris"," 29","Justice",16,88,20,169,1,294,430
46001,"Brandon--Souris/Brandon--Souris"," 30","Douglas",6,34,3,81,0,124,253
46001,"Brandon--Souris/Brandon--Souris"," 31","Brookdale",1,23,7,96,0,127,291
46001,"Brandon--Souris/Brandon--Souris"," 32","Wellwood",4,26,3,112,1,146,212
46001,"Brandon--Souris/Brandon--Souris"," 33","Shilo",Merged with No. 46B/Fusionné avec le nº 46B,,,,,,35
46001,"Brandon--Souris/Brandon--Souris"," 34","Fairview",3,33,7,105,0,148,353
46001,"Brandon--Souris/Brandon--Souris"," 35","Melbourne",7,12,7,109,0,135,273
46001,"Brandon--Souris/Brandon--Souris"," 36","Carberry",9,37,8,153,0,207,403
46001,"Brandon--Souris/Brandon--Souris"," 37","Carberry",16,39,13,145,0,213,479
46001,"Brandon--Souris/Brandon--Souris"," 38","Carberry",7,53,4,139,0,203,360
46001,"Brandon--Souris/Brandon--Souris"," 39","Alexander",6,57,6,166,0,235,415
46001,"Brandon--Souris/Brandon--Souris"," 40","Kemnay",12,73,9,136,1,231,354
46001,"Brandon--Souris/Brandon--Souris"," 41","Brandon",24,76,15,203,1,319,556
46001,"Brandon--Souris/Brandon--Souris"," 42","Chater",7,49,5,150,0,211,425
46001,"Brandon--Souris/Brandon--Souris"," 43","Sprucewoods",9,66,13,178,0,266,409
46001,"Brandon--Souris/Brandon--Souris"," 44","Beresford",10,61,9,161,0,241,417
46001,"Brandon--Souris/Brandon--Souris"," 45","Brandon Hills",8,41,4,117,0,170,314
46001,"Brandon--Souris/Brandon--Souris"," 46A","Chater",8,35,6,93,0,142,321
46001,"Brandon--Souris/Brandon--Souris"," 46B","Chater",9,38,6,172,1,226,358
46001,"Brandon--Souris/Brandon--Souris"," 47","Brandon",8,55,16,269,3,351,484
46001,"Brandon--Souris/Brandon--Souris"," 48","Brandon",6,80,7,129,1,223,546
46001,"Brandon--Souris/Brandon--Souris"," 49","Brandon",8,62,7,140,0,217,413
46001,"Brandon--Souris/Brandon--Souris"," 50","Brandon",16,81,14,150,0,261,496
46001,"Brandon--Souris/Brandon--Souris"," 51","Brandon",8,49,4,72,0,133,335
46001,"Brandon--Souris/Brandon--Souris"," 52","Brandon",12,64,11,115,1,203,371
46001,"Brandon--Souris/Brandon--Souris"," 53","Brandon",8,62,20,101,1,192,323
46001,"Brandon--Souris/Brandon--Souris"," 54","Brandon",13,71,7,66,0,157,361
46001,"Brandon--Souris/Brandon--Souris"," 55","Brandon",6,81,15,47,1,150,403
46001,"Brandon--Souris/Brandon--Souris"," 56","Brandon",15,56,19,169,3,262,422
46001,"Brandon--Souris/Brandon--Souris"," 57","Brandon",11,45,19,106,0,181,299
46001,"Brandon--Souris/Brandon--Souris"," 58","Brandon",10,62,19,143,1,235,397
46001,"Brandon--Souris/Brandon--Souris"," 59","Brandon",14,69,4,79,1,167,336
46001,"Brandon--Souris/Brandon--Souris"," 60","Brandon",7,44,11,78,1,141,323
46001,"Brandon--Souris/Brandon--Souris"," 61","Brandon",8,35,6,87,0,136,276
46001,"Brandon--Souris/Brandon--Souris"," 62","Brandon",8,59,7,95,1,170,380
46001,"Brandon--Souris/Brandon--Souris"," 63","Brandon",19,81,13,100,1,214,366
46001,"Brandon--Souris/Brandon--Souris"," 64","Brandon",19,44,11,93,1,168,280
46001,"Brandon--Souris/Brandon--Souris"," 65","Brandon",18,59,15,111,0,203,364
46001,"Brandon--Souris/Brandon--Souris"," 66","Brandon",18,79,17,107,1,222,516
46001,"Brandon--Souris/Brandon--Souris"," 67","Brandon",27,71,12,88,1,199,337
46001,"Brandon--Souris/Brandon--Souris"," 68","Brandon",16,76,16,156,0,264,512
46001,"Brandon--Souris/Brandon--Souris"," 69","Brandon",10,53,17,157,0,237,399
46001,"Brandon--Souris/Brandon--Souris"," 70","Brandon",15,55,27,163,0,260,423
46001,"Brandon--Souris/Brandon--Souris"," 71","Brandon",9,65,12,149,1,236,383
46001,"Brandon--Souris/Brandon--Souris"," 72","Brandon",14,61,9,125,1,210,367
46001,"Brandon--Souris/Brandon--Souris"," 73","Brandon",3,28,5,54,0,90,208
46001,"Brandon--Souris/Brandon--Souris"," 74","Brandon",14,32,6,94,0,146,289
46001,"Brandon--Souris/Brandon--Souris"," 75","Brandon",12,57,5,66,0,140,328
46001,"Brandon--Souris/Brandon--Souris"," 76","Brandon",12,65,12,94,1,184,304
46001,"Brandon--Souris/Brandon--Souris"," 77","Brandon",4,36,5,47,0,92,214
46001,"Brandon--Souris/Brandon--Souris"," 78","Brandon",5,39,8,72,1,125,368
46001,"Brandon--Souris/Brandon--Souris"," 79","Brandon",11,52,17,94,1,175,328
46001,"Brandon--Souris/Brandon--Souris"," 80","Brandon",22,58,5,127,0,212,344
46001,"Brandon--Souris/Brandon--Souris"," 81","Brandon",12,72,5,119,0,208,349
46001,"Brandon--Souris/Brandon--Souris"," 82","Brandon",10,43,12,73,0,138,314
46001,"Brandon--Souris/Brandon--Souris"," 83","Brandon",10,57,15,109,1,192,327
46001,"Brandon--Souris/Brandon--Souris"," 84","Brandon",25,89,14,201,3,332,640
46001,"Brandon--Souris/Brandon--Souris"," 85","Brandon",7,74,12,144,0,237,397
46001,"Brandon--Souris/Brandon--Souris"," 86","Brandon",12,72,7,95,0,186,394
46001,"Brandon--Souris/Brandon--Souris"," 87","Brandon",2,35,6,53,0,96,268
46001,"Brandon--Souris/Brandon--Souris"," 88","Brandon",5,54,7,62,0,128,296
46001,"Brandon--Souris/Brandon--Souris"," 89","Brandon",21,106,19,182,0,328,602
46001,"Brandon--Souris/Brandon--Souris"," 90","Brandon",7,64,8,110,2,191,377
46001,"Brandon--Souris/Brandon--Souris"," 91","Brandon",16,50,10,49,0,125,275
46001,"Brandon--Souris/Brandon--Souris"," 92","Brandon",17,31,8,55,0,111,285
46001,"Brandon--Souris/Brandon--Souris"," 93","Brandon",9,50,7,45,0,111,275
46001,"Brandon--Souris/Brandon--Souris"," 94","Brandon",10,52,4,52,1,119,332
46001,"Brandon--Souris/Brandon--Souris"," 95","Brandon",9,35,6,44,0,94,287
46001,"Brandon--Souris/Brandon--Souris"," 96","Brandon",17,64,5,98,0,184,405
46001,"Brandon--Souris/Brandon--Souris"," 97","Brandon",6,60,9,98,0,173,436
46001,"Brandon--Souris/Brandon--Souris"," 98","Brandon",14,76,7,90,1,188,398
46001,"Brandon--Souris/Brandon--Souris"," 99","Brandon",8,68,8,106,0,190,400
46001,"Brandon--Souris/Brandon--Souris"," 100","Brandon",7,58,4,85,0,154,294
46001,"Brandon--Souris/Brandon--Souris"," 101","Brandon",9,58,10,100,0,177,347
46001,"Brandon--Souris/Brandon--Souris"," 102","Brandon",13,80,5,140,0,238,398
46001,"Brandon--Souris/Brandon--Souris"," 103","Brandon",11,74,9,104,1,199,347
46001,"Brandon--Souris/Brandon--Souris"," 104","Brandon",14,76,17,197,0,304,583
46001,"Brandon--Souris/Brandon--Souris"," 105","Brandon",12,89,13,119,0,233,437
46001,"Brandon--Souris/Brandon--Souris"," 106","Brandon",6,61,9,118,0,194,366
46001,"Brandon--Souris/Brandon--Souris"," 107","Brandon",3,73,5,83,0,164,403
46001,"Brandon--Souris/Brandon--Souris"," 108A","Brandon",11,70,6,90,0,177,482
46001,"Brandon--Souris/Brandon--Souris"," 108B","Brandon",5,36,2,66,1,110,176
46001,"Brandon--Souris/Brandon--Souris"," 108-1","Brandon",Merged with No. 108B/Fusionné avec le nº 108B,,,,,,80
46001,"Brandon--Souris/Brandon--Souris"," 109A","Brandon",4,68,17,158,1,248,477
46001,"Brandon--Souris/Brandon--Souris"," 109B","Brandon",8,60,7,131,0,206,401
46001,"Brandon--Souris/Brandon--Souris"," 110","Brandon",19,73,7,75,0,174,398
46001,"Brandon--Souris/Brandon--Souris"," 111","Brandon",19,57,12,37,1,126,337
46001,"Brandon--Souris/Brandon--Souris"," 112","Brandon",5,53,3,46,0,107,263
46001,"Brandon--Souris/Brandon--Souris"," 113","Brandon",18,59,8,61,2,148,381
46001,"Brandon--Souris/Brandon--Souris"," 114","Brandon",6,65,4,74,1,150,330
46001,"Brandon--Souris/Brandon--Souris"," 115","Brandon",16,74,4,73,2,169,396
46001,"Brandon--Souris/Brandon--Souris"," 116","Brandon",10,54,9,55,0,128,281
46001,"Brandon--Souris/Brandon--Souris"," 117","Brandon",4,32,7,40,0,83,277
46001,"Brandon--Souris/Brandon--Souris"," 118A","Brandon",Merged with No. 119/Fusionné avec le nº 119,,,,,,217
46001,"Brandon--Souris/Brandon--Souris"," 118B","Brandon",0,26,3,49,0,78,111
46001,"Brandon--Souris/Brandon--Souris"," 119","Brandon",35,99,16,57,0,207,312
46001,"Brandon--Souris/Brandon--Souris"," 120","Brandon",5,59,4,57,0,125,382
46001,"Brandon--Souris/Brandon--Souris"," 121","Brandon",16,51,10,63,0,140,289
46001,"Brandon--Souris/Brandon--Souris"," 122","Brandon",12,71,20,176,1,280,377
46001,"Brandon--Souris/Brandon--Souris"," 123A","Brandon",4,69,7,43,0,123,372
46001,"Brandon--Souris/Brandon--Souris"," 123B","Brandon",4,25,16,69,5,119,150
46001,"Brandon--Souris/Brandon--Souris"," 124","Brandon",10,77,10,80,0,177,345
46001,"Brandon--Souris/Brandon--Souris"," 125","Brandon",9,50,12,92,0,163,381
46001,"Brandon--Souris/Brandon--Souris"," 126","Deleau",19,40,11,170,5,245,482
46001,"Brandon--Souris/Brandon--Souris"," 127","Souris",8,28,2,97,3,138,264
46001,"Brandon--Souris/Brandon--Souris"," 128","Souris",15,53,9,140,1,218,375
46001,"Brandon--Souris/Brandon--Souris"," 129","Souris",7,24,5,60,0,96,201
46001,"Brandon--Souris/Brandon--Souris"," 130","Souris",19,51,13,127,0,210,317
46001,"Brandon--Souris/Brandon--Souris"," 131","Carroll",5,22,3,100,0,130,307
46001,"Brandon--Souris/Brandon--Souris"," 132","Nesbitt",18,39,7,143,3,210,392
46001,"Brandon--Souris/Brandon--Souris"," 133","Treesbank",4,18,2,108,0,132,291
46001,"Brandon--Souris/Brandon--Souris"," 134","Wawanesa",11,69,12,195,1,288,449
46001,"Brandon--Souris/Brandon--Souris"," 135","Stockton",12,37,8,173,0,230,447
46001,"Brandon--Souris/Brandon--Souris"," 136","Glenboro",13,47,4,201,1,266,505
46001,"Brandon--Souris/Brandon--Souris"," 137","Dunrea",1,32,8,97,2,140,271
46001,"Brandon--Souris/Brandon--Souris"," 138","Ninette",15,41,4,192,3,255,420
46001,"Brandon--Souris/Brandon--Souris"," 139","Belmont",5,27,5,94,0,131,228
46001,"Brandon--Souris/Brandon--Souris"," 140","Belmont",5,20,4,58,0,87,155
46001,"Brandon--Souris/Brandon--Souris"," 141","Baldur",Void/Supprimé,,,,,,
46001,"Brandon--Souris/Brandon--Souris"," 142","Greenway",3,19,6,100,0,128,219
46001,"Brandon--Souris/Brandon--Souris"," 143","Baldur",11,27,12,105,0,155,257
46001,"Brandon--Souris/Brandon--Souris"," 144","Broomhill",10,26,8,110,1,155,248
46001,"Brandon--Souris/Brandon--Souris"," 145","Grande-Clairière",9,19,0,102,0,130,280
46001,"Brandon--Souris/Brandon--Souris"," 146","Argue",4,8,1,64,0,77,110
46001,"Brandon--Souris/Brandon--Souris"," 147","Hartney",7,30,4,151,2,194,288
46001,"Brandon--Souris/Brandon--Souris"," 148","Pierson",6,21,7,145,0,179,315
46001,"Brandon--Souris/Brandon--Souris"," 149","Coulter",5,9,0,84,0,98,225
46001,"Brandon--Souris/Brandon--Souris"," 150","Elva",7,13,6,85,2,113,253
46001,"Brandon--Souris/Brandon--Souris"," 151","Melita",10,44,10,111,2,177,315
46001,"Brandon--Souris/Brandon--Souris"," 152","Melita",4,13,2,53,0,72,176
46001,"Brandon--Souris/Brandon--Souris"," 153","Melita",5,20,3,74,0,102,206
46001,"Brandon--Souris/Brandon--Souris"," 154","Medora",4,19,6,105,1,135,228
46001,"Brandon--Souris/Brandon--Souris"," 155","Waskada",7,14,12,101,0,134,188
46001,"Brandon--Souris/Brandon--Souris"," 156","Elgin",5,30,3,105,0,143,245
46001,"Brandon--Souris/Brandon--Souris"," 157","Minto",9,26,8,100,0,143,209
46001,"Brandon--Souris/Brandon--Souris"," 158","Deloraine",9,12,4,100,0,125,155
46001,"Brandon--Souris/Brandon--Souris"," 159","Deloraine",15,27,8,177,0,227,345
46001,"Brandon--Souris/Brandon--Souris"," 160","Deloraine",16,31,8,169,0,224,343
46001,"Brandon--Souris/Brandon--Souris"," 161","Goodlands",12,19,7,102,0,140,318
46001,"Brandon--Souris/Brandon--Souris"," 162","Whitewater",8,25,5,165,0,203,274
46001,"Brandon--Souris/Brandon--Souris"," 163","Boissevain",16,34,12,153,0,215,342
46001,"Brandon--Souris/Brandon--Souris"," 164","Boissevain",15,32,15,118,0,180,332
46001,"Brandon--Souris/Brandon--Souris"," 165","Boissevain",11,57,11,158,1,238,394
46001,"Brandon--Souris/Brandon--Souris"," 166","Mountainside",20,15,5,84,1,125,204
46001,"Brandon--Souris/Brandon--Souris"," 167","Ninga",10,35,8,192,0,245,543
46001,"Brandon--Souris/Brandon--Souris"," 168","Killarney",9,42,7,168,2,228,424
46001,"Brandon--Souris/Brandon--Souris"," 169","Killarney",12,31,13,188,2,246,360
46001,"Brandon--Souris/Brandon--Souris"," 170","Killarney",10,39,7,107,0,163,269
46001,"Brandon--Souris/Brandon--Souris"," 171","Killarney",4,20,7,135,2,168,334
46001,"Brandon--Souris/Brandon--Souris"," 172","Killarney",7,20,5,123,0,155,258
46001,"Brandon--Souris/Brandon--Souris"," 173","Holmfield",10,19,6,136,0,171,319
46001,"Brandon--Souris/Brandon--Souris"," 174","Glenora",7,11,4,60,0,82,125
46001,"Brandon--Souris/Brandon--Souris"," 175","Neelin",9,13,5,140,0,167,358
46001,"Brandon--Souris/Brandon--Souris"," 176","Cartwright",4,22,10,97,0,133,255
46001,"Brandon--Souris/Brandon--Souris"," 177","Mather",12,20,10,76,0,118,204
46001,"Brandon--Souris/Brandon--Souris"," 400","Brandon",3,21,12,57,4,97,179
