Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,German Gutierrez,Mary Ann Hodge,Glen Pearson,Susan Truppe,AnnaMaria Valastro,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35043,"London North Centre/London-Centre-Nord"," 1A","London",39,9,60,76,1,1,186,291
35043,"London North Centre/London-Centre-Nord"," 1B","London",28,8,76,91,0,0,203,342
35043,"London North Centre/London-Centre-Nord"," 2","London",15,1,64,138,0,0,218,495
35043,"London North Centre/London-Centre-Nord"," 2-1","London",26,7,90,140,1,2,266,552
35043,"London North Centre/London-Centre-Nord"," 3","London",14,1,82,94,3,0,194,385
35043,"London North Centre/London-Centre-Nord"," 3-1A","London",31,4,53,89,0,0,177,331
35043,"London North Centre/London-Centre-Nord"," 3-1B","London",19,4,60,88,0,0,171,354
35043,"London North Centre/London-Centre-Nord"," 4","London",26,3,76,77,1,1,184,602
35043,"London North Centre/London-Centre-Nord"," 5","London",32,13,101,121,0,3,270,540
35043,"London North Centre/London-Centre-Nord"," 6","London",45,2,103,155,0,0,305,512
35043,"London North Centre/London-Centre-Nord"," 6-1A","London",27,0,51,79,1,0,158,342
35043,"London North Centre/London-Centre-Nord"," 6-1B","London",27,6,59,74,0,1,167,304
35043,"London North Centre/London-Centre-Nord"," 6-2","London",44,9,56,103,1,1,214,400
35043,"London North Centre/London-Centre-Nord"," 6-3A","London",27,3,68,92,0,0,190,324
35043,"London North Centre/London-Centre-Nord"," 6-3B","London",23,3,63,78,0,0,167,293
35043,"London North Centre/London-Centre-Nord"," 7","London",27,6,99,118,0,0,250,485
35043,"London North Centre/London-Centre-Nord"," 8","London",21,7,121,124,0,0,273,494
35043,"London North Centre/London-Centre-Nord"," 9","London",44,4,81,118,1,0,248,498
35043,"London North Centre/London-Centre-Nord"," 10","London",34,2,91,137,2,0,266,410
35043,"London North Centre/London-Centre-Nord"," 11","London",16,10,101,93,1,0,221,352
35043,"London North Centre/London-Centre-Nord"," 12","London",29,7,94,70,2,0,202,383
35043,"London North Centre/London-Centre-Nord"," 13","London",32,1,96,98,2,2,231,382
35043,"London North Centre/London-Centre-Nord"," 14","London",26,5,108,107,2,1,249,443
35043,"London North Centre/London-Centre-Nord"," 15","London",19,2,73,183,1,1,279,479
