Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Régent Bastien,Daniel Côté,Jules Duguay,Julien Leblanc,Philip Toone,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
24019,"Gaspésie--Îles-de-la-Madeleine/Gaspésie--Îles-de-la-Madeleine"," 1","Murdochville",12,73,11,4,51,3,154,256
24019,"Gaspésie--Îles-de-la-Madeleine/Gaspésie--Îles-de-la-Madeleine"," 2","Murdochville",10,50,8,3,27,1,99,171
24019,"Gaspésie--Îles-de-la-Madeleine/Gaspésie--Îles-de-la-Madeleine"," 3","Murdochville",6,37,6,0,26,1,76,159
24019,"Gaspésie--Îles-de-la-Madeleine/Gaspésie--Îles-de-la-Madeleine"," 4","Grande-Vallée",22,77,5,0,13,1,118,208
24019,"Gaspésie--Îles-de-la-Madeleine/Gaspésie--Îles-de-la-Madeleine"," 5","Grande-Vallée",11,153,5,1,31,3,204,383
24019,"Gaspésie--Îles-de-la-Madeleine/Gaspésie--Îles-de-la-Madeleine"," 6","Grande-Vallée",30,142,15,1,52,2,242,385
24019,"Gaspésie--Îles-de-la-Madeleine/Gaspésie--Îles-de-la-Madeleine"," 7","Cloridorme",8,81,7,1,17,0,114,157
24019,"Gaspésie--Îles-de-la-Madeleine/Gaspésie--Îles-de-la-Madeleine"," 8","Cloridorme",41,116,29,1,37,3,227,426
24019,"Gaspésie--Îles-de-la-Madeleine/Gaspésie--Îles-de-la-Madeleine"," 9","Saint-Yvon",20,61,24,0,17,2,124,247
24019,"Gaspésie--Îles-de-la-Madeleine/Gaspésie--Îles-de-la-Madeleine"," 10","Saint-Yvon",Void/Supprimé,,,,,,,
24019,"Gaspésie--Îles-de-la-Madeleine/Gaspésie--Îles-de-la-Madeleine"," 11","Gaspé",24,77,12,1,44,3,161,362
24019,"Gaspésie--Îles-de-la-Madeleine/Gaspésie--Îles-de-la-Madeleine"," 12","Gaspé",32,73,11,1,38,2,157,363
24019,"Gaspésie--Îles-de-la-Madeleine/Gaspésie--Îles-de-la-Madeleine"," 12-1","Gaspé",Void/Supprimé,,,,,,,
24019,"Gaspésie--Îles-de-la-Madeleine/Gaspésie--Îles-de-la-Madeleine"," 13A","Gaspé",28,56,12,2,35,2,135,382
24019,"Gaspésie--Îles-de-la-Madeleine/Gaspésie--Îles-de-la-Madeleine"," 13B","Gaspé",24,46,4,2,20,0,96,297
24019,"Gaspésie--Îles-de-la-Madeleine/Gaspésie--Îles-de-la-Madeleine"," 14","Gaspé",Void/Supprimé,,,,,,,
24019,"Gaspésie--Îles-de-la-Madeleine/Gaspésie--Îles-de-la-Madeleine"," 15","Gaspé",22,45,15,2,29,1,114,408
24019,"Gaspésie--Îles-de-la-Madeleine/Gaspésie--Îles-de-la-Madeleine"," 16","Gaspé",10,33,6,0,14,0,63,210
24019,"Gaspésie--Îles-de-la-Madeleine/Gaspésie--Îles-de-la-Madeleine"," 17","Gaspé",15,56,5,1,21,1,99,482
24019,"Gaspésie--Îles-de-la-Madeleine/Gaspésie--Îles-de-la-Madeleine"," 18A","Gaspé",8,46,6,1,17,2,80,321
