Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Harold Albrecht,Albert Ashley,Lorne Bruce,Bob Rosehart,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35038,"Kitchener--Conestoga/Kitchener--Conestoga"," 67","New Dundee",193,4,19,40,1,257,377
35038,"Kitchener--Conestoga/Kitchener--Conestoga"," 67-1","Wilmot",134,11,27,35,1,208,330
35038,"Kitchener--Conestoga/Kitchener--Conestoga"," 68","New Hamburg",196,15,69,48,2,330,561
35038,"Kitchener--Conestoga/Kitchener--Conestoga"," 68-1","New Hamburg",97,9,48,34,0,188,394
35038,"Kitchener--Conestoga/Kitchener--Conestoga"," 69","New Hamburg",87,9,50,26,0,172,364
35038,"Kitchener--Conestoga/Kitchener--Conestoga"," 70","New Hamburg",148,10,51,30,0,239,497
35038,"Kitchener--Conestoga/Kitchener--Conestoga"," 71","New Hamburg",149,6,56,38,0,249,473
35038,"Kitchener--Conestoga/Kitchener--Conestoga"," 72","New Hamburg",101,9,46,41,0,197,347
35038,"Kitchener--Conestoga/Kitchener--Conestoga"," 73","New Hamburg",26,4,9,7,0,46,126
35038,"Kitchener--Conestoga/Kitchener--Conestoga"," 74","New Hamburg",110,4,22,41,1,178,303
35038,"Kitchener--Conestoga/Kitchener--Conestoga"," 75","New Hamburg",161,9,67,55,2,294,533
35038,"Kitchener--Conestoga/Kitchener--Conestoga"," 76","New Hamburg",101,12,51,43,0,207,403
35038,"Kitchener--Conestoga/Kitchener--Conestoga"," 77","New Hamburg",85,15,47,49,2,198,398
35038,"Kitchener--Conestoga/Kitchener--Conestoga"," 78","New Hamburg",148,9,38,28,0,223,368
35038,"Kitchener--Conestoga/Kitchener--Conestoga"," 79","New Hamburg",167,2,35,69,0,273,359
35038,"Kitchener--Conestoga/Kitchener--Conestoga"," 80","New Hamburg",94,3,34,48,0,179,235
35038,"Kitchener--Conestoga/Kitchener--Conestoga"," 81","Kitchener",97,12,82,64,3,258,584
35038,"Kitchener--Conestoga/Kitchener--Conestoga"," 81-1A","Kitchener",104,7,51,45,0,207,481
35038,"Kitchener--Conestoga/Kitchener--Conestoga"," 81-1B","Kitchener",97,4,47,30,2,180,438
35038,"Kitchener--Conestoga/Kitchener--Conestoga"," 81-2","Kitchener",93,6,57,31,2,189,489
35038,"Kitchener--Conestoga/Kitchener--Conestoga"," 81-3","Kitchener",96,8,69,34,0,207,446
35038,"Kitchener--Conestoga/Kitchener--Conestoga"," 81-4","Kitchener",86,9,52,45,1,193,416
35038,"Kitchener--Conestoga/Kitchener--Conestoga"," 82","Kitchener",82,10,64,41,0,197,498
35038,"Kitchener--Conestoga/Kitchener--Conestoga"," 82-1","Kitchener",75,9,54,46,1,185,455
35038,"Kitchener--Conestoga/Kitchener--Conestoga"," 82-2","Kitchener",131,9,77,46,1,264,576
