Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Cora Carriveau,Taras Natyshak,Nelson Santos,Enver Villamizar,Jeff Watson,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35021,"Essex/Essex"," 1","Lakeshore",3,33,29,0,136,2,203,324
35021,"Essex/Essex"," 1-1","Lakeshore",3,13,36,0,70,0,122,263
35021,"Essex/Essex"," 2","Lakeshore",3,39,36,0,102,2,182,338
35021,"Essex/Essex"," 3","Lakeshore",3,39,28,0,120,0,190,351
35021,"Essex/Essex"," 3-1","Lakeshore",5,34,34,0,108,0,181,386
35021,"Essex/Essex"," 4","Lakeshore",2,56,21,0,119,0,198,392
35021,"Essex/Essex"," 4-1","Lakeshore",1,34,16,0,69,0,120,293
35021,"Essex/Essex"," 5","Lakeshore",7,60,25,0,171,1,264,524
35021,"Essex/Essex"," 6","Lakeshore",3,55,26,0,111,0,195,396
35021,"Essex/Essex"," 6-1","Maidstone",8,111,9,0,61,0,189,362
35021,"Essex/Essex"," 7","Lakeshore",7,89,16,0,100,0,212,394
35021,"Essex/Essex"," 8","Lakeshore",5,100,20,1,109,0,235,467
35021,"Essex/Essex"," 8-1","Lakeshore",5,67,17,0,178,0,267,559
35021,"Essex/Essex"," 8-2A","Lakeshore",8,68,20,0,71,1,168,349
35021,"Essex/Essex"," 8-2B","Lakeshore",4,71,16,1,99,2,193,365
35021,"Essex/Essex"," 9","Lakeshore",12,148,24,1,114,1,300,603
35021,"Essex/Essex"," 9-1","Lakeshore",1,36,11,1,60,0,109,264
35021,"Essex/Essex"," 9-2","Lakeshore",6,75,16,0,84,0,181,438
35021,"Essex/Essex"," 10","Lakeshore",5,62,6,0,64,1,138,332
35021,"Essex/Essex"," 11","Lakeshore",2,115,17,0,121,0,255,503
35021,"Essex/Essex"," 12","Lakeshore",3,116,34,0,88,0,241,464
35021,"Essex/Essex"," 12-1","Lakeshore",6,103,26,0,126,1,262,549
35021,"Essex/Essex"," 13","Lakeshore",4,65,23,0,79,1,172,332
35021,"Essex/Essex"," 14","Lakeshore",0,80,9,0,87,1,177,344
35021,"Essex/Essex"," 15","Lakeshore",5,99,9,0,99,2,214,465
35021,"Essex/Essex"," 16","Lakeshore",3,83,24,0,67,0,177,396
35021,"Essex/Essex"," 17","Lakeshore",3,89,10,0,40,1,143,308
35021,"Essex/Essex"," 18","Lakeshore",0,80,11,0,65,0,156,324
35021,"Essex/Essex"," 18-1","Lakeshore",2,69,11,0,83,0,165,313
35021,"Essex/Essex"," 19","Lakeshore",11,150,33,0,118,3,315,598
35021,"Essex/Essex"," 20","Lakeshore",3,123,14,0,78,0,218,433
35021,"Essex/Essex"," 20-1","Lakeshore",4,97,11,0,77,1,190,367
35021,"Essex/Essex"," 21","Lakeshore",4,92,10,0,25,1,132,268
