Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Normand W. Bernier,François Choquette,Pierre Côté,Robin Fortin,Roger Pomerleau,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
24018,"Drummond/Drummond"," 1","Notre-Dame-du-Bon-Conseil",20,65,17,3,31,2,138,232
24018,"Drummond/Drummond"," 2","Notre-Dame-du-Bon-Conseil",70,126,31,5,53,6,291,507
24018,"Drummond/Drummond"," 3","Notre-Dame-du-Bon-Conseil",31,77,14,2,34,4,162,261
24018,"Drummond/Drummond"," 4","Notre-Dame-du-Bon-Conseil",27,103,21,2,55,4,212,348
24018,"Drummond/Drummond"," 5","Notre-Dame-du-Bon-Conseil",51,112,22,5,49,4,243,447
24018,"Drummond/Drummond"," 6","Sainte-Brigitte-des-Saults",38,133,14,4,37,10,236,327
24018,"Drummond/Drummond"," 7","Sainte-Brigitte-des-Saults",33,76,18,3,27,6,163,277
24018,"Drummond/Drummond"," 8","Saint-Joachim-de-Courval",48,193,13,9,95,4,362,587
24018,"Drummond/Drummond"," 9","Saint-Cyrille-de-Wendover",31,108,11,2,46,2,200,319
24018,"Drummond/Drummond"," 10","Saint-Cyrille-de-Wendover",27,82,15,5,34,10,173,292
24018,"Drummond/Drummond"," 11","Saint-Cyrille-de-Wendover",36,133,15,2,45,6,237,397
24018,"Drummond/Drummond"," 11-1","Saint-Cyrille-de-Wendover",28,138,9,2,33,7,217,373
24018,"Drummond/Drummond"," 12","Saint-Cyrille-de-Wendover",47,146,19,2,46,5,265,452
24018,"Drummond/Drummond"," 13","Saint-Cyrille-de-Wendover",46,148,12,8,63,7,284,469
24018,"Drummond/Drummond"," 14","Saint-Cyrille-de-Wendover",40,129,24,4,47,2,246,413
24018,"Drummond/Drummond"," 14-1","Saint-Cyrille-de-Wendover",23,69,8,2,23,2,127,217
24018,"Drummond/Drummond"," 15","Saint-Cyrille-de-Wendover",19,90,13,3,36,2,163,318
24018,"Drummond/Drummond"," 16A","Saint-Lucien",29,128,7,5,60,4,233,396
24018,"Drummond/Drummond"," 16B","Saint-Lucien",31,101,10,7,40,3,192,389
24018,"Drummond/Drummond"," 17","Saint-Lucien",56,142,28,3,68,10,307,499
24018,"Drummond/Drummond"," 18","Kingsey",28,109,28,11,47,8,231,356
24018,"Drummond/Drummond"," 19","Kingsey",53,167,20,4,75,10,329,527
24018,"Drummond/Drummond"," 20","Kingsey",46,108,16,1,40,3,214,320
24018,"Drummond/Drummond"," 21","Saint-Pie-de-Guire",26,124,19,1,57,3,230,394
24018,"Drummond/Drummond"," 22","Saint-Bonaventure",36,114,17,8,71,4,250,373
24018,"Drummond/Drummond"," 23","Saint-Bonaventure",41,165,13,11,52,5,287,414
24018,"Drummond/Drummond"," 24","Saint-Majorique",74,226,21,2,80,1,404,614
24018,"Drummond/Drummond"," 25","Saint-Majorique",28,87,9,1,37,5,167,277
24018,"Drummond/Drummond"," 26","Saint-Edmond-de-Grantham",42,194,18,7,77,10,348,583
