Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Charlie Bagnato,Ben Lobb,Grant Robertson,Eric Shelley,Dennis Valenta,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35034,"Huron--Bruce/Huron--Bruce"," 1","Port Elgin--Saugeen--Southampton",63,90,62,7,0,1,223,358
35034,"Huron--Bruce/Huron--Bruce"," 2","Port Elgin--Saugeen--Southampton",24,53,30,5,1,1,114,208
35034,"Huron--Bruce/Huron--Bruce"," 3","Port Elgin--Saugeen--Southampton",39,71,58,15,0,0,183,370
35034,"Huron--Bruce/Huron--Bruce"," 4","Port Elgin--Saugeen--Southampton",60,87,63,9,1,0,220,348
35034,"Huron--Bruce/Huron--Bruce"," 5","Port Elgin--Saugeen--Southampton",48,134,92,9,0,0,283,442
35034,"Huron--Bruce/Huron--Bruce"," 6","Port Elgin--Saugeen--Southampton",22,67,25,9,0,1,124,217
35034,"Huron--Bruce/Huron--Bruce"," 7","Port Elgin--Saugeen--Southampton",69,100,54,7,0,2,232,448
35034,"Huron--Bruce/Huron--Bruce"," 8","Port Elgin--Saugeen--Southampton",94,220,101,19,0,1,435,804
35034,"Huron--Bruce/Huron--Bruce"," 9","Port Elgin--Saugeen--Southampton",52,137,64,8,2,0,263,529
35034,"Huron--Bruce/Huron--Bruce"," 10","Port Elgin--Saugeen--Southampton",107,166,85,10,0,1,369,698
35034,"Huron--Bruce/Huron--Bruce"," 11","Port Elgin--Saugeen--Southampton",81,130,98,11,1,0,321,613
35034,"Huron--Bruce/Huron--Bruce"," 12","Port Elgin--Saugeen--Southampton",50,88,48,1,0,0,187,317
35034,"Huron--Bruce/Huron--Bruce"," 13","Port Elgin--Saugeen--Southampton",38,88,43,3,2,1,175,342
35034,"Huron--Bruce/Huron--Bruce"," 14","Port Elgin--Saugeen--Southampton",36,63,42,5,1,0,147,309
35034,"Huron--Bruce/Huron--Bruce"," 15","Port Elgin--Saugeen--Southampton",66,104,78,12,0,2,262,439
35034,"Huron--Bruce/Huron--Bruce"," 16","Port Elgin--Saugeen--Southampton",58,155,72,12,3,0,300,588
35034,"Huron--Bruce/Huron--Bruce"," 17","Port Elgin--Saugeen--Southampton",42,94,61,6,3,0,206,374
35034,"Huron--Bruce/Huron--Bruce"," 18","Port Elgin--Saugeen--Southampton",60,130,73,5,0,1,269,457
35034,"Huron--Bruce/Huron--Bruce"," 19","Port Elgin--Saugeen--Southampton",92,198,96,18,1,3,408,760
35034,"Huron--Bruce/Huron--Bruce"," 20","Port Elgin--Saugeen--Southampton",22,86,41,7,0,1,157,335
35034,"Huron--Bruce/Huron--Bruce"," 21","Port Elgin--Saugeen--Southampton",71,95,41,7,1,1,216,447
35034,"Huron--Bruce/Huron--Bruce"," 22","Port Elgin--Saugeen--Southampton",52,100,66,7,1,0,226,414
35034,"Huron--Bruce/Huron--Bruce"," 23","Port Elgin--Saugeen--Southampton",38,120,69,5,2,0,234,344
35034,"Huron--Bruce/Huron--Bruce"," 24","Underwood",33,119,48,3,0,1,204,341
35034,"Huron--Bruce/Huron--Bruce"," 25","Underwood",17,97,50,7,0,0,171,254
35034,"Huron--Bruce/Huron--Bruce"," 26","Cargill",29,144,78,3,1,3,258,363
35034,"Huron--Bruce/Huron--Bruce"," 27","Underwood",30,100,61,9,0,0,200,359
35034,"Huron--Bruce/Huron--Bruce"," 28","Kincardine",67,115,63,4,1,0,250,444
35034,"Huron--Bruce/Huron--Bruce"," 29","Tiverton",26,62,58,5,0,3,154,255
35034,"Huron--Bruce/Huron--Bruce"," 30","Tiverton",40,108,56,5,0,0,209,320
35034,"Huron--Bruce/Huron--Bruce"," 31","Kincardine",18,98,52,6,1,0,175,267
35034,"Huron--Bruce/Huron--Bruce"," 32","Kincardine",40,104,65,8,0,0,217,454
35034,"Huron--Bruce/Huron--Bruce"," 33","Kincardine",29,93,43,10,0,0,175,249
35034,"Huron--Bruce/Huron--Bruce"," 34","Kincardine",36,70,41,4,2,0,153,280
35034,"Huron--Bruce/Huron--Bruce"," 35","Kincardine",40,83,53,3,3,0,182,331
35034,"Huron--Bruce/Huron--Bruce"," 36","Kincardine",37,83,63,10,3,0,196,370
35034,"Huron--Bruce/Huron--Bruce"," 37","Kincardine",35,77,36,2,0,1,151,270
35034,"Huron--Bruce/Huron--Bruce"," 38","Kincardine",43,75,47,6,0,1,172,351
35034,"Huron--Bruce/Huron--Bruce"," 39","Kincardine",45,115,53,4,0,0,217,372
35034,"Huron--Bruce/Huron--Bruce"," 40","Kincardine",29,46,42,7,0,1,125,284
35034,"Huron--Bruce/Huron--Bruce"," 41","Kincardine",33,91,57,1,0,0,182,356
35034,"Huron--Bruce/Huron--Bruce"," 42","Kincardine",40,82,62,4,1,4,193,350
35034,"Huron--Bruce/Huron--Bruce"," 43","Kincardine",41,64,56,8,0,1,170,330
35034,"Huron--Bruce/Huron--Bruce"," 44","Kincardine",64,94,66,3,2,2,231,388
35034,"Huron--Bruce/Huron--Bruce"," 45","Kincardine",63,150,110,7,1,1,332,651
35034,"Huron--Bruce/Huron--Bruce"," 46","Kincardine",49,71,37,9,0,1,167,335
35034,"Huron--Bruce/Huron--Bruce"," 47","Kincardine",70,102,108,4,2,2,288,490
35034,"Huron--Bruce/Huron--Bruce"," 48","Millarton",19,63,32,8,2,2,126,244
35034,"Huron--Bruce/Huron--Bruce"," 49","Huron",57,77,34,2,0,0,170,405
35034,"Huron--Bruce/Huron--Bruce"," 50","Huron",57,131,75,10,0,2,275,498
35034,"Huron--Bruce/Huron--Bruce"," 51","Pine River",18,96,46,4,1,0,165,277
35034,"Huron--Bruce/Huron--Bruce"," 52","Huron",64,148,78,11,3,2,306,466
35034,"Huron--Bruce/Huron--Bruce"," 53","Point Clark",32,150,106,9,0,0,297,460
35034,"Huron--Bruce/Huron--Bruce"," 54","Chepstow",25,109,68,12,4,2,220,361
35034,"Huron--Bruce/Huron--Bruce"," 55","Riversdale",9,95,55,5,0,0,164,274
35034,"Huron--Bruce/Huron--Bruce"," 56","Eden Grove",13,137,69,5,1,0,225,421
35034,"Huron--Bruce/Huron--Bruce"," 57","Cargill Siding",12,100,37,2,2,0,153,279
