Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Alonzo Bartley,Paul Coulbeck,Chuck Konkel,John McKay,Danielle Ouellette,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35082,"Scarborough--Guildwood/Scarborough--Guildwood"," 1","Scarborough",7,0,27,100,82,1,217,425
35082,"Scarborough--Guildwood/Scarborough--Guildwood"," 2","Scarborough",Merged with No. 421/Fusionné avec le nº 421,,,,,,,26
35082,"Scarborough--Guildwood/Scarborough--Guildwood"," 3","Scarborough",Void/Supprimé,,,,,,,
35082,"Scarborough--Guildwood/Scarborough--Guildwood"," 4","Scarborough",2,5,35,68,64,2,176,419
35082,"Scarborough--Guildwood/Scarborough--Guildwood"," 5","Scarborough",Void/Supprimé,,,,,,,
35082,"Scarborough--Guildwood/Scarborough--Guildwood"," 6","Scarborough",1,3,81,64,30,0,179,334
35082,"Scarborough--Guildwood/Scarborough--Guildwood"," 7","Scarborough",5,3,80,60,37,1,186,365
35082,"Scarborough--Guildwood/Scarborough--Guildwood"," 8","Scarborough",2,0,114,77,26,2,221,377
35082,"Scarborough--Guildwood/Scarborough--Guildwood"," 9","Scarborough",5,1,127,43,24,0,200,337
35082,"Scarborough--Guildwood/Scarborough--Guildwood"," 10","Scarborough",4,0,87,67,39,0,197,333
35082,"Scarborough--Guildwood/Scarborough--Guildwood"," 11","Scarborough",6,3,114,95,79,1,298,527
35082,"Scarborough--Guildwood/Scarborough--Guildwood"," 12","Scarborough",0,0,91,39,49,2,181,393
35082,"Scarborough--Guildwood/Scarborough--Guildwood"," 13","Scarborough",4,2,49,32,66,2,155,380
35082,"Scarborough--Guildwood/Scarborough--Guildwood"," 14","Scarborough",1,2,40,51,50,0,144,330
35082,"Scarborough--Guildwood/Scarborough--Guildwood"," 15","Scarborough",0,1,51,56,52,0,160,372
35082,"Scarborough--Guildwood/Scarborough--Guildwood"," 16","Scarborough",3,0,99,108,57,2,269,557
35082,"Scarborough--Guildwood/Scarborough--Guildwood"," 17","Scarborough",4,3,72,110,93,0,282,585
35082,"Scarborough--Guildwood/Scarborough--Guildwood"," 18","Scarborough",0,2,38,44,68,1,153,330
35082,"Scarborough--Guildwood/Scarborough--Guildwood"," 19","Scarborough",5,2,65,61,42,2,177,395
35082,"Scarborough--Guildwood/Scarborough--Guildwood"," 20","Scarborough",4,0,54,74,48,0,180,347
35082,"Scarborough--Guildwood/Scarborough--Guildwood"," 21","Scarborough",1,0,76,65,45,0,187,370
35082,"Scarborough--Guildwood/Scarborough--Guildwood"," 22","Scarborough",1,1,24,61,18,0,105,298
35082,"Scarborough--Guildwood/Scarborough--Guildwood"," 23","Scarborough",1,2,57,55,44,0,159,461
35082,"Scarborough--Guildwood/Scarborough--Guildwood"," 24","Scarborough",1,4,60,64,65,1,195,411
35082,"Scarborough--Guildwood/Scarborough--Guildwood"," 25","Scarborough",4,2,59,61,99,1,226,428
35082,"Scarborough--Guildwood/Scarborough--Guildwood"," 26","Scarborough",2,0,90,67,60,1,220,384
35082,"Scarborough--Guildwood/Scarborough--Guildwood"," 27","Scarborough",4,2,67,63,39,2,177,273
