Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Stephanie Coburn,Rob Moore,Darryl Pitre,Linda Wilhelm,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
13004,"Fundy Royal/Fundy Royal"," 1","Cumberland Bay",7,89,48,6,0,150,320
13004,"Fundy Royal/Fundy Royal"," 2","Youngs Cove",7,100,72,21,0,200,370
13004,"Fundy Royal/Fundy Royal"," 3","Canaan Forks",2,96,18,2,2,120,170
13004,"Fundy Royal/Fundy Royal"," 4","Havelock",12,86,31,11,2,142,217
13004,"Fundy Royal/Fundy Royal"," 4-1","Havelock",17,133,49,27,0,226,366
13004,"Fundy Royal/Fundy Royal"," 5","Havelock",25,97,48,9,1,180,339
13004,"Fundy Royal/Fundy Royal"," 6","Cornhill",Void/Supprimé,,,,,,
13004,"Fundy Royal/Fundy Royal"," 7","Anagance",9,145,54,15,0,223,397
13004,"Fundy Royal/Fundy Royal"," 8","Steeves Settlement",17,149,70,11,2,249,449
13004,"Fundy Royal/Fundy Royal"," 9","Petitcodiac",11,91,31,7,0,140,305
13004,"Fundy Royal/Fundy Royal"," 10","Petitcodiac",5,115,52,15,1,188,344
13004,"Fundy Royal/Fundy Royal"," 11","Petitcodiac",7,93,41,18,2,161,350
13004,"Fundy Royal/Fundy Royal"," 12","Petitcodiac",8,92,46,19,0,165,327
13004,"Fundy Royal/Fundy Royal"," 13","Petitcodiac",11,89,60,10,0,170,312
13004,"Fundy Royal/Fundy Royal"," 14","Elgin",22,198,67,24,1,312,467
13004,"Fundy Royal/Fundy Royal"," 15","Dobsons Corner",10,162,41,9,2,224,385
13004,"Fundy Royal/Fundy Royal"," 16","River Glade",11,106,36,6,1,160,351
13004,"Fundy Royal/Fundy Royal"," 17","River Glade",3,40,28,4,0,75,134
13004,"Fundy Royal/Fundy Royal"," 18","Second North River",15,154,63,14,1,247,377
13004,"Fundy Royal/Fundy Royal"," 19","Salisbury",11,107,54,12,1,185,396
13004,"Fundy Royal/Fundy Royal"," 20","Salisbury",4,93,32,12,3,144,294
13004,"Fundy Royal/Fundy Royal"," 20-1","Salisbury",7,99,68,9,2,185,406
13004,"Fundy Royal/Fundy Royal"," 21","Salisbury",4,87,44,12,0,147,333
13004,"Fundy Royal/Fundy Royal"," 22","Salisbury",10,121,60,24,1,216,393
13004,"Fundy Royal/Fundy Royal"," 23","River Glade",7,77,29,8,1,122,281
13004,"Fundy Royal/Fundy Royal"," 24","Five Points",3,157,75,23,3,261,444
13004,"Fundy Royal/Fundy Royal"," 25","Colpitts Settlement",10,97,43,9,0,159,343
13004,"Fundy Royal/Fundy Royal"," 26","Colpitts Settlement",8,141,45,13,0,207,358
13004,"Fundy Royal/Fundy Royal"," 27","Parkindale",16,125,79,10,0,230,338
13004,"Fundy Royal/Fundy Royal"," 28","Synton",13,161,74,21,0,269,434
13004,"Fundy Royal/Fundy Royal"," 29","Turtle Creek",17,125,47,16,1,206,332
13004,"Fundy Royal/Fundy Royal"," 30","Pine Glen",17,140,48,4,1,210,322
13004,"Fundy Royal/Fundy Royal"," 31","Riverview",9,100,57,15,0,181,453
13004,"Fundy Royal/Fundy Royal"," 32","Riverview",5,132,63,23,2,225,385
13004,"Fundy Royal/Fundy Royal"," 33","Riverview",6,117,89,32,0,244,469
13004,"Fundy Royal/Fundy Royal"," 34","Riverview",7,167,117,22,3,316,623
13004,"Fundy Royal/Fundy Royal"," 35","Riverview",8,97,76,23,1,205,410
13004,"Fundy Royal/Fundy Royal"," 36","Riverview",11,120,72,35,1,239,474
13004,"Fundy Royal/Fundy Royal"," 37","Riverview",10,135,70,32,3,250,547
13004,"Fundy Royal/Fundy Royal"," 38","Riverview",9,85,61,21,1,177,366
13004,"Fundy Royal/Fundy Royal"," 39","Riverview",15,107,79,33,1,235,452
13004,"Fundy Royal/Fundy Royal"," 40","Riverview",6,126,51,41,0,224,381
13004,"Fundy Royal/Fundy Royal"," 40-1","Riverview",10,53,50,13,1,127,296
13004,"Fundy Royal/Fundy Royal"," 41","Riverview",11,114,103,18,0,246,490
13004,"Fundy Royal/Fundy Royal"," 42","Riverview",14,102,96,12,4,228,389
13004,"Fundy Royal/Fundy Royal"," 43","Riverview",13,184,158,42,3,400,719
13004,"Fundy Royal/Fundy Royal"," 44","Riverview",9,98,65,16,0,188,310
13004,"Fundy Royal/Fundy Royal"," 45","Lower Coverdale",18,125,47,15,0,205,381
13004,"Fundy Royal/Fundy Royal"," 46","Lower Coverdale",18,173,74,16,2,283,477
13004,"Fundy Royal/Fundy Royal"," 47","Lower Coverdale",9,108,77,22,4,220,394
13004,"Fundy Royal/Fundy Royal"," 48","Stoney Creek",12,123,56,12,1,204,354
13004,"Fundy Royal/Fundy Royal"," 49","Osborne Corner",13,125,51,15,1,205,381
13004,"Fundy Royal/Fundy Royal"," 50","Hillsborough",10,82,33,7,1,133,293
13004,"Fundy Royal/Fundy Royal"," 51","Hillsborough",13,149,59,11,2,234,417
13004,"Fundy Royal/Fundy Royal"," 52","Hillsborough",17,117,50,10,2,196,324
13004,"Fundy Royal/Fundy Royal"," 53","Albert Mines",5,130,54,6,1,196,326
13004,"Fundy Royal/Fundy Royal"," 54","Hopewell Cape",22,99,66,20,4,211,322
13004,"Fundy Royal/Fundy Royal"," 55","Hopewell Hill",9,90,19,8,1,127,217
13004,"Fundy Royal/Fundy Royal"," 56","Riverside-Albert",12,83,32,15,1,143,263
13004,"Fundy Royal/Fundy Royal"," 57","Harvey",12,97,56,14,0,179,329
13004,"Fundy Royal/Fundy Royal"," 58","Alma",17,104,31,4,1,157,219
13004,"Fundy Royal/Fundy Royal"," 59","Penobsquis",10,101,56,26,2,195,321
13004,"Fundy Royal/Fundy Royal"," 60","Cedar Camp",10,96,35,16,0,157,269
13004,"Fundy Royal/Fundy Royal"," 61","Sussex",9,118,71,18,0,216,440
13004,"Fundy Royal/Fundy Royal"," 62","Waterford",10,150,45,16,1,222,422
13004,"Fundy Royal/Fundy Royal"," 63","Sussex Corner",10,133,30,20,1,194,340
13004,"Fundy Royal/Fundy Royal"," 64","Sussex Corner",7,137,28,17,0,189,385
