Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Mike Allen,Chuck Chiasson,Pierre Cyr,Rish McGlynn,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
13010,"Tobique--Mactaquac/Tobique--Mactaquac"," 51","Juniper",94,17,37,9,6,163,239
13010,"Tobique--Mactaquac/Tobique--Mactaquac"," 52","Divide",64,12,34,8,0,118,180
13010,"Tobique--Mactaquac/Tobique--Mactaquac"," 53","Johnville",65,31,28,3,0,127,274
13010,"Tobique--Mactaquac/Tobique--Mactaquac"," 54","Glassville",139,21,47,16,0,223,339
13010,"Tobique--Mactaquac/Tobique--Mactaquac"," 55","Upper Kent",83,6,18,2,0,109,210
13010,"Tobique--Mactaquac/Tobique--Mactaquac"," 56","Holmesville",92,20,17,4,0,133,291
13010,"Tobique--Mactaquac/Tobique--Mactaquac"," 57","Upper Kent",96,13,30,2,0,141,254
13010,"Tobique--Mactaquac/Tobique--Mactaquac"," 58","Bath",146,11,23,2,2,184,328
13010,"Tobique--Mactaquac/Tobique--Mactaquac"," 59","Bath",54,19,11,1,0,85,178
13010,"Tobique--Mactaquac/Tobique--Mactaquac"," 60","Bath",73,16,21,5,1,116,206
13010,"Tobique--Mactaquac/Tobique--Mactaquac"," 61","Gordonsville",111,23,55,4,2,195,372
13010,"Tobique--Mactaquac/Tobique--Mactaquac"," 62","Bristol",71,21,21,5,0,118,186
13010,"Tobique--Mactaquac/Tobique--Mactaquac"," 63","Bristol",150,25,50,11,0,236,388
13010,"Tobique--Mactaquac/Tobique--Mactaquac"," 64","Florenceville",68,14,20,3,0,105,184
13010,"Tobique--Mactaquac/Tobique--Mactaquac"," 65","Florenceville",144,37,50,13,0,244,385
13010,"Tobique--Mactaquac/Tobique--Mactaquac"," 66","Riverbank",106,14,34,3,3,160,305
13010,"Tobique--Mactaquac/Tobique--Mactaquac"," 67","Stickney",89,11,35,5,2,142,229
13010,"Tobique--Mactaquac/Tobique--Mactaquac"," 68","Lansdowne",135,8,31,4,2,180,297
13010,"Tobique--Mactaquac/Tobique--Mactaquac"," 69","Upper Knoxford",58,3,10,2,0,73,184
13010,"Tobique--Mactaquac/Tobique--Mactaquac"," 70","Knoxford",72,18,10,2,1,103,246
13010,"Tobique--Mactaquac/Tobique--Mactaquac"," 71","Wicklow",151,15,34,3,3,206,445
13010,"Tobique--Mactaquac/Tobique--Mactaquac"," 72","Royalton",74,9,23,3,1,110,233
13010,"Tobique--Mactaquac/Tobique--Mactaquac"," 73","Wakem Corner",64,10,21,5,0,100,265
13010,"Tobique--Mactaquac/Tobique--Mactaquac"," 74","Centreville",184,27,39,5,2,257,451
13010,"Tobique--Mactaquac/Tobique--Mactaquac"," 75","Good Corner",123,12,41,2,0,178,324
13010,"Tobique--Mactaquac/Tobique--Mactaquac"," 76","Lakeville",118,27,40,6,0,191,337
13010,"Tobique--Mactaquac/Tobique--Mactaquac"," 77","Simonds",183,26,30,4,2,245,396
13010,"Tobique--Mactaquac/Tobique--Mactaquac"," 78","Lindsay",200,31,46,3,1,281,522
13010,"Tobique--Mactaquac/Tobique--Mactaquac"," 79","Jacksontown",92,9,7,3,0,111,236
13010,"Tobique--Mactaquac/Tobique--Mactaquac"," 80","Jacksonville",154,16,34,7,1,212,446
13010,"Tobique--Mactaquac/Tobique--Mactaquac"," 81","Waterville",142,22,42,3,2,211,426
13010,"Tobique--Mactaquac/Tobique--Mactaquac"," 82","Somerville",135,20,30,2,3,190,375
13010,"Tobique--Mactaquac/Tobique--Mactaquac"," 83","Victoria Corner",131,12,15,1,1,160,285
13010,"Tobique--Mactaquac/Tobique--Mactaquac"," 84A","Woodstock",103,24,34,6,1,168,371
13010,"Tobique--Mactaquac/Tobique--Mactaquac"," 84B","Mobile poll/Bureau itinérant",Merged with No. 500/Fusionné avec le nº 500,,,,,,60
13010,"Tobique--Mactaquac/Tobique--Mactaquac"," 85","Windsor",126,10,31,5,1,173,342
13010,"Tobique--Mactaquac/Tobique--Mactaquac"," 86","Carlisle",73,6,28,1,0,108,205
13010,"Tobique--Mactaquac/Tobique--Mactaquac"," 87","Brighton",82,8,24,4,1,119,248
13010,"Tobique--Mactaquac/Tobique--Mactaquac"," 88","Ashland",92,12,15,4,0,123,242
13010,"Tobique--Mactaquac/Tobique--Mactaquac"," 89","Hartland",157,35,39,5,3,239,462
13010,"Tobique--Mactaquac/Tobique--Mactaquac"," 90","Hartland",86,12,12,1,1,112,257
13010,"Tobique--Mactaquac/Tobique--Mactaquac"," 91","Lower Brighton",100,12,36,1,1,150,344
13010,"Tobique--Mactaquac/Tobique--Mactaquac"," 92","Woodstock",136,17,30,3,1,187,329
13010,"Tobique--Mactaquac/Tobique--Mactaquac"," 92-1","Woodstock",142,19,16,3,0,180,292
13010,"Tobique--Mactaquac/Tobique--Mactaquac"," 93","Woodstock",84,21,22,6,0,133,329
13010,"Tobique--Mactaquac/Tobique--Mactaquac"," 94","Woodstock",142,36,33,2,1,214,495
13010,"Tobique--Mactaquac/Tobique--Mactaquac"," 95","Woodstock",89,36,39,2,0,166,358
13010,"Tobique--Mactaquac/Tobique--Mactaquac"," 96","Woodstock",81,21,25,3,0,130,325
13010,"Tobique--Mactaquac/Tobique--Mactaquac"," 97","Woodstock",46,8,21,0,0,75,226
13010,"Tobique--Mactaquac/Tobique--Mactaquac"," 98","Woodstock",74,10,28,5,3,120,335
13010,"Tobique--Mactaquac/Tobique--Mactaquac"," 99","Woodstock",54,7,23,3,1,88,302
13010,"Tobique--Mactaquac/Tobique--Mactaquac"," 100","Woodstock",118,16,29,4,2,169,408
13010,"Tobique--Mactaquac/Tobique--Mactaquac"," 101","Woodstock",85,17,26,4,0,132,313
13010,"Tobique--Mactaquac/Tobique--Mactaquac"," 102","Richmond",157,17,26,7,0,207,366
13010,"Tobique--Mactaquac/Tobique--Mactaquac"," 103","Richmond",92,11,19,3,0,125,228
13010,"Tobique--Mactaquac/Tobique--Mactaquac"," 104","Debec",167,24,38,6,0,235,377
13010,"Tobique--Mactaquac/Tobique--Mactaquac"," 105","Fosterville",87,16,18,7,1,129,182
13010,"Tobique--Mactaquac/Tobique--Mactaquac"," 106","Bedell Settlement",177,30,43,6,1,257,489
13010,"Tobique--Mactaquac/Tobique--Mactaquac"," 107","Lower Woodstock",122,10,24,3,1,160,381
13010,"Tobique--Mactaquac/Tobique--Mactaquac"," 107-1","Woodstock",32,8,17,5,0,62,255
13010,"Tobique--Mactaquac/Tobique--Mactaquac"," 108","Woodstock",135,16,38,3,0,192,431
13010,"Tobique--Mactaquac/Tobique--Mactaquac"," 109","Meductic",165,15,33,6,1,220,393
13010,"Tobique--Mactaquac/Tobique--Mactaquac"," 110","Canterbury",107,14,34,1,0,156,278
13010,"Tobique--Mactaquac/Tobique--Mactaquac"," 111","Canterbury",140,20,32,1,2,195,326
13010,"Tobique--Mactaquac/Tobique--Mactaquac"," 112","Pembroke",101,24,28,5,0,158,286
13010,"Tobique--Mactaquac/Tobique--Mactaquac"," 112-1","Northampton",108,13,31,5,0,157,278
13010,"Tobique--Mactaquac/Tobique--Mactaquac"," 113","Newbridge",86,13,20,2,1,122,316
13010,"Tobique--Mactaquac/Tobique--Mactaquac"," 114","Northampton",212,27,46,6,0,291,451
13010,"Tobique--Mactaquac/Tobique--Mactaquac"," 115","Nortondale",150,22,31,3,0,206,415
13010,"Tobique--Mactaquac/Tobique--Mactaquac"," 116","Millville",117,12,23,3,1,156,240
13010,"Tobique--Mactaquac/Tobique--Mactaquac"," 117","Temperance Vale",110,19,26,5,0,160,344
13010,"Tobique--Mactaquac/Tobique--Mactaquac"," 118","Pinder",63,14,16,3,0,96,182
13010,"Tobique--Mactaquac/Tobique--Mactaquac"," 119","Rossville",97,16,21,4,0,138,304
13010,"Tobique--Mactaquac/Tobique--Mactaquac"," 120","Nackawic",120,15,41,6,0,182,332
13010,"Tobique--Mactaquac/Tobique--Mactaquac"," 121","Nackawic",84,11,31,6,1,133,282
13010,"Tobique--Mactaquac/Tobique--Mactaquac"," 122","Nackawic",44,16,18,1,0,79,163
13010,"Tobique--Mactaquac/Tobique--Mactaquac"," 123","Bloomfield Ridge",96,12,15,2,0,125,189
13010,"Tobique--Mactaquac/Tobique--Mactaquac"," 124","Parker Ridge",146,25,48,11,2,232,382
13010,"Tobique--Mactaquac/Tobique--Mactaquac"," 125","Maple Grove",80,7,29,8,1,125,208
13010,"Tobique--Mactaquac/Tobique--Mactaquac"," 126","McGivney",81,19,43,1,0,144,272
13010,"Tobique--Mactaquac/Tobique--Mactaquac"," 127","Taymouth",127,9,54,6,0,196,367
13010,"Tobique--Mactaquac/Tobique--Mactaquac"," 128","Durham Bridge",110,28,55,16,3,212,354
13010,"Tobique--Mactaquac/Tobique--Mactaquac"," 128-1","St. Marys",62,12,33,3,1,111,202
13010,"Tobique--Mactaquac/Tobique--Mactaquac"," 129","Penniac",148,33,72,8,2,263,378
13010,"Tobique--Mactaquac/Tobique--Mactaquac"," 130","Napadogan",69,5,23,2,0,99,207
13010,"Tobique--Mactaquac/Tobique--Mactaquac"," 131A","Fredericksburg",56,16,30,1,3,106,194
13010,"Tobique--Mactaquac/Tobique--Mactaquac"," 131B","Mobile poll/Bureau itinérant",Merged with No. 133B/Fusionné avec le nº 133B,,,,,,9
13010,"Tobique--Mactaquac/Tobique--Mactaquac"," 132","Stanley",61,14,36,2,0,113,212
13010,"Tobique--Mactaquac/Tobique--Mactaquac"," 133A","Stanley",101,16,36,3,1,157,302
13010,"Tobique--Mactaquac/Tobique--Mactaquac"," 133B","Mobile poll/Bureau itinérant",8,3,7,1,0,19,28
13010,"Tobique--Mactaquac/Tobique--Mactaquac"," 134","Stanley",143,24,53,14,2,236,444
13010,"Tobique--Mactaquac/Tobique--Mactaquac"," 135","Nashwaak Village",140,23,63,4,4,234,489
13010,"Tobique--Mactaquac/Tobique--Mactaquac"," 135-1","St. Marys",70,30,33,7,1,141,290
13010,"Tobique--Mactaquac/Tobique--Mactaquac"," 136","Royal Road",163,35,71,12,3,284,475
13010,"Tobique--Mactaquac/Tobique--Mactaquac"," 137","McLeod Hill",91,14,52,6,3,166,341
