Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Niki Ashton,Wally Daudrich,Sydney Garrioch,Alberteen Spence,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
46003,"Churchill/Churchill"," 1","Lac Brochet",35,3,152,3,4,197,381
46003,"Churchill/Churchill"," 2","Tadoule Lake",73,1,28,1,1,104,200
46003,"Churchill/Churchill"," 3","Churchill",161,41,10,5,2,219,428
46003,"Churchill/Churchill"," 4","Churchill",115,25,7,6,3,156,258
46003,"Churchill/Churchill"," 5","Brochet",56,4,42,1,0,103,262
46003,"Churchill/Churchill"," 6","South Indian Lake",75,53,18,2,0,148,474
46003,"Churchill/Churchill"," 7","Lynn Lake",82,75,18,9,0,184,387
46003,"Churchill/Churchill"," 8","Lynn Lake",Void/Supprimé,,,,,,
46003,"Churchill/Churchill"," 8-1","Granville Lake",Void/Supprimé,,,,,,
46003,"Churchill/Churchill"," 9","Pukatawagan",94,19,62,1,0,176,700
46003,"Churchill/Churchill"," 10","Leaf Rapids",49,35,16,4,0,104,333
46003,"Churchill/Churchill"," 11A","Nelson House",Merged with No. 12A/Fusionné avec le nº 12A,,,,,,105
46003,"Churchill/Churchill"," 11B","Nelson House",Merged with No. 12C/Fusionné avec le nº 12C,,,,,,86
46003,"Churchill/Churchill"," 12A","Nelson House",72,5,44,4,1,126,475
46003,"Churchill/Churchill"," 12B","Nelson House",7,5,2,3,0,17,22
46003,"Churchill/Churchill"," 12C","Nelson House",106,16,117,1,0,240,560
46003,"Churchill/Churchill"," 13","Paint Lake",30,67,7,1,2,107,172
46003,"Churchill/Churchill"," 14","Wabowden",105,56,32,4,0,197,424
46003,"Churchill/Churchill"," 15","Thompson",64,74,13,5,2,158,330
46003,"Churchill/Churchill"," 16","Thompson",72,59,18,1,0,150,312
46003,"Churchill/Churchill"," 16-1","Thompson",41,14,15,1,0,71,273
46003,"Churchill/Churchill"," 17","Thompson",78,119,20,7,1,225,402
46003,"Churchill/Churchill"," 18","Thompson",97,90,15,4,1,207,407
46003,"Churchill/Churchill"," 19","Thompson",50,61,18,2,1,132,298
46003,"Churchill/Churchill"," 20","Thompson",63,62,10,4,0,139,262
46003,"Churchill/Churchill"," 21","Thompson",49,47,12,2,0,110,188
46003,"Churchill/Churchill"," 22","Thompson",75,74,24,5,0,178,323
46003,"Churchill/Churchill"," 23","Thompson",85,40,35,7,0,167,390
46003,"Churchill/Churchill"," 24","Thompson",53,37,26,5,0,121,276
46003,"Churchill/Churchill"," 25","Thompson",85,24,32,1,1,143,423
46003,"Churchill/Churchill"," 26","Thompson",61,4,27,4,1,97,331
46003,"Churchill/Churchill"," 27","Thompson",47,30,19,1,2,99,303
46003,"Churchill/Churchill"," 28A","Thompson",101,58,30,7,1,197,397
46003,"Churchill/Churchill"," 28B","Thompson",9,2,2,1,2,16,47
46003,"Churchill/Churchill"," 29","Thompson",46,27,17,3,0,93,315
46003,"Churchill/Churchill"," 30","Thompson",90,71,9,5,3,178,398
46003,"Churchill/Churchill"," 31","Thompson",90,58,14,3,0,165,369
46003,"Churchill/Churchill"," 32","Thompson",43,55,12,1,0,111,229
46003,"Churchill/Churchill"," 33","Thompson",73,85,20,2,0,180,349
46003,"Churchill/Churchill"," 34","Thompson",112,117,21,6,1,257,544
46003,"Churchill/Churchill"," 35","Thompson",79,56,14,2,0,151,361
46003,"Churchill/Churchill"," 36","Thompson",74,58,16,2,2,152,395
46003,"Churchill/Churchill"," 37","Thompson",65,78,16,6,0,165,397
46003,"Churchill/Churchill"," 38","Thompson",67,44,27,2,1,141,380
46003,"Churchill/Churchill"," 39","Thicket Portage",40,0,6,0,0,46,91
46003,"Churchill/Churchill"," 40","Pikwitonei",25,18,2,2,0,47,64
46003,"Churchill/Churchill"," 41","York Landing",91,6,8,3,0,108,231
46003,"Churchill/Churchill"," 42A","Split Lake",Merged with No. 43A/Fusionné avec le nº 43A,,,,,,223
46003,"Churchill/Churchill"," 42B","Split Lake",92,8,28,9,2,139,245
46003,"Churchill/Churchill"," 43A","Split Lake",110,4,33,7,1,155,224
46003,"Churchill/Churchill"," 43B","Split Lake",Merged with No. 42B/Fusionné avec le nº 42B,,,,,,220
46003,"Churchill/Churchill"," 44","Ilford",26,0,3,0,0,29,79
46003,"Churchill/Churchill"," 45","Gillam",124,56,11,6,0,197,577
46003,"Churchill/Churchill"," 46","Gillam",73,59,10,6,0,148,285
46003,"Churchill/Churchill"," 47","Bird",33,3,1,2,0,39,26
46003,"Churchill/Churchill"," 48","Shamattawa",23,3,87,6,1,120,420
46003,"Churchill/Churchill"," 49","Gods River",68,3,22,0,0,93,274
46003,"Churchill/Churchill"," 50","Gods Lake Narrows",16,7,8,0,0,31,83
46003,"Churchill/Churchill"," 51","Gods Lake Narrows",88,3,28,1,2,122,477
