Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Ken Boshcoff,Moe Comuzzi-Stehmann,John Rafferty,Ed Shields,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35090,"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 1A","Morson",4,31,27,1,0,63,119
35090,"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 1B","Morson",3,0,21,0,0,24,40
35090,"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 2","Morson",2,0,43,1,0,46,72
35090,"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 3","Bergland",13,43,44,1,0,101,150
35090,"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 4","Finland",16,46,38,3,0,103,173
35090,"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 5","Dawson",8,42,32,0,0,82,130
35090,"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 6","Rainy River",10,63,60,4,1,138,322
35090,"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 6-1","Rainy River",10,27,26,2,0,65,197
35090,"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 7","River",7,50,44,1,0,102,228
35090,"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 8","Sleeman",6,33,24,2,0,65,125
35090,"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 9","Pinewood",4,33,28,2,0,67,100
35090,"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 10","Stratton",20,97,78,2,0,197,331
35090,"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 11","Barwick",9,52,40,5,0,106,232
35090,"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 12","Manitou Rapids 11",11,0,86,1,1,99,151
35090,"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 13","Emo",11,113,54,3,0,181,283
35090,"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 14","Emo",19,68,67,3,1,158,260
35090,"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 15","Emo",21,142,69,2,0,234,457
35090,"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 15-1","Emo",8,38,35,4,0,85,117
35090,"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 16","Big Fork",8,50,47,2,1,108,156
35090,"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 17","Devlin",20,65,93,1,0,179,266
35090,"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 18","Alberton",25,87,106,3,0,221,347
35090,"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 19","Burriss",14,39,61,5,0,119,185
35090,"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 20","Alberton",27,76,81,3,1,188,346
35090,"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 21A","Dance",2,7,27,0,0,36,112
35090,"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 21B","Dance",0,2,68,0,0,70,71
35090,"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 22A","Couchiching 16A",9,10,163,3,0,185,249
35090,"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 22B","Couchiching 16A",1,1,46,0,0,48,55
35090,"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 23","Fort Frances",30,60,108,5,1,204,373
35090,"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 24","Fort Frances",12,45,48,1,0,106,415
35090,"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 25","Rocky Inlet",22,66,62,10,0,160,196
35090,"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 26","Bear Pass",6,22,73,1,0,102,156
35090,"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 27","Mine Centre",9,7,8,0,1,25,78
35090,"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 28","Seine River 23A",7,1,88,1,0,97,178
35090,"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 29","Neguaguon Lake 25D",2,4,46,3,0,55,83
35090,"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 30","Fort Frances",23,51,113,4,1,192,448
