Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,John Baird,Mark MacKenzie,Marlene Rivier,Anita Vandenbeld,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35066,"Ottawa West--Nepean/Ottawa-Ouest--Nepean"," 1","Nepean",100,14,21,66,0,201,381
35066,"Ottawa West--Nepean/Ottawa-Ouest--Nepean"," 2","Nepean",Void/Supprimé,,,,,,
35066,"Ottawa West--Nepean/Ottawa-Ouest--Nepean"," 3","Nepean",97,9,37,54,0,197,383
35066,"Ottawa West--Nepean/Ottawa-Ouest--Nepean"," 4","Nepean",80,8,34,63,0,185,379
35066,"Ottawa West--Nepean/Ottawa-Ouest--Nepean"," 5","Nepean",90,10,39,51,1,191,406
35066,"Ottawa West--Nepean/Ottawa-Ouest--Nepean"," 6","Nepean",114,8,41,87,3,253,409
35066,"Ottawa West--Nepean/Ottawa-Ouest--Nepean"," 7","Nepean",87,14,31,85,0,217,391
35066,"Ottawa West--Nepean/Ottawa-Ouest--Nepean"," 8","Nepean",136,12,55,120,2,325,471
35066,"Ottawa West--Nepean/Ottawa-Ouest--Nepean"," 9","Nepean",130,11,39,93,1,274,433
35066,"Ottawa West--Nepean/Ottawa-Ouest--Nepean"," 10","Nepean",51,8,36,74,5,174,349
35066,"Ottawa West--Nepean/Ottawa-Ouest--Nepean"," 11","Nepean",78,5,5,38,1,127,159
35066,"Ottawa West--Nepean/Ottawa-Ouest--Nepean"," 12","Nepean",29,4,34,37,0,104,286
35066,"Ottawa West--Nepean/Ottawa-Ouest--Nepean"," 13","Nepean",77,5,67,62,2,213,449
35066,"Ottawa West--Nepean/Ottawa-Ouest--Nepean"," 14","Nepean",66,4,63,38,0,171,338
35066,"Ottawa West--Nepean/Ottawa-Ouest--Nepean"," 15","Nepean",61,3,67,47,2,180,365
35066,"Ottawa West--Nepean/Ottawa-Ouest--Nepean"," 15-1","Nepean",23,1,38,44,1,107,275
35066,"Ottawa West--Nepean/Ottawa-Ouest--Nepean"," 16","Nepean",48,9,57,41,0,155,321
35066,"Ottawa West--Nepean/Ottawa-Ouest--Nepean"," 17","Nepean",48,5,35,29,0,117,286
