Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Richard Bélisle,Jean Dorion,Kévan Falsafi,Pierre Nantel,Serge Patenaude,Valérie St-Amant,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
24035,"Longueuil--Pierre-Boucher/Longueuil--Pierre-Boucher"," 1","Boucherville",23,37,22,82,0,0,1,165,263
24035,"Longueuil--Pierre-Boucher/Longueuil--Pierre-Boucher"," 2","Boucherville",10,36,10,86,0,2,0,144,231
24035,"Longueuil--Pierre-Boucher/Longueuil--Pierre-Boucher"," 3","Boucherville",21,46,18,123,1,6,3,218,397
24035,"Longueuil--Pierre-Boucher/Longueuil--Pierre-Boucher"," 4","Boucherville",28,69,18,142,0,8,2,267,464
24035,"Longueuil--Pierre-Boucher/Longueuil--Pierre-Boucher"," 5","Boucherville",8,33,10,79,0,3,0,133,289
24035,"Longueuil--Pierre-Boucher/Longueuil--Pierre-Boucher"," 6","Boucherville",19,67,33,169,0,3,4,295,500
24035,"Longueuil--Pierre-Boucher/Longueuil--Pierre-Boucher"," 7","Boucherville",16,53,31,110,0,1,1,212,304
24035,"Longueuil--Pierre-Boucher/Longueuil--Pierre-Boucher"," 8","Boucherville",14,57,27,154,0,6,1,259,369
24035,"Longueuil--Pierre-Boucher/Longueuil--Pierre-Boucher"," 9","Boucherville",23,63,21,178,1,1,0,287,434
24035,"Longueuil--Pierre-Boucher/Longueuil--Pierre-Boucher"," 10","Boucherville",19,50,46,204,0,9,2,330,491
24035,"Longueuil--Pierre-Boucher/Longueuil--Pierre-Boucher"," 11","Boucherville",25,69,22,155,0,8,2,281,404
24035,"Longueuil--Pierre-Boucher/Longueuil--Pierre-Boucher"," 12","Boucherville",21,59,23,139,0,3,2,247,352
24035,"Longueuil--Pierre-Boucher/Longueuil--Pierre-Boucher"," 13","Boucherville",14,61,32,129,0,7,3,246,361
24035,"Longueuil--Pierre-Boucher/Longueuil--Pierre-Boucher"," 14","Boucherville",27,75,28,162,1,4,1,298,468
24035,"Longueuil--Pierre-Boucher/Longueuil--Pierre-Boucher"," 15","Boucherville",13,75,28,136,0,2,4,258,380
24035,"Longueuil--Pierre-Boucher/Longueuil--Pierre-Boucher"," 16","Boucherville",13,59,34,97,1,4,1,209,308
24035,"Longueuil--Pierre-Boucher/Longueuil--Pierre-Boucher"," 17","Boucherville",20,64,16,148,0,4,2,254,398
24035,"Longueuil--Pierre-Boucher/Longueuil--Pierre-Boucher"," 18","Boucherville",15,66,23,0,127,9,2,242,387
24035,"Longueuil--Pierre-Boucher/Longueuil--Pierre-Boucher"," 19","Boucherville",21,66,19,138,0,6,0,250,404
24035,"Longueuil--Pierre-Boucher/Longueuil--Pierre-Boucher"," 20","Boucherville",21,86,30,156,1,4,2,300,496
24035,"Longueuil--Pierre-Boucher/Longueuil--Pierre-Boucher"," 21","Boucherville",15,56,23,161,0,4,3,262,471
24035,"Longueuil--Pierre-Boucher/Longueuil--Pierre-Boucher"," 22","Boucherville",14,63,18,135,0,0,1,231,365
24035,"Longueuil--Pierre-Boucher/Longueuil--Pierre-Boucher"," 23","Boucherville",13,43,31,135,1,3,3,229,387
24035,"Longueuil--Pierre-Boucher/Longueuil--Pierre-Boucher"," 24","Boucherville",22,49,29,129,0,1,2,232,374
24035,"Longueuil--Pierre-Boucher/Longueuil--Pierre-Boucher"," 25","Boucherville",22,51,47,180,0,3,3,306,467
24035,"Longueuil--Pierre-Boucher/Longueuil--Pierre-Boucher"," 26","Boucherville",29,50,38,117,0,2,4,240,366
24035,"Longueuil--Pierre-Boucher/Longueuil--Pierre-Boucher"," 26-1","Boucherville",20,38,31,87,0,3,0,179,279
24035,"Longueuil--Pierre-Boucher/Longueuil--Pierre-Boucher"," 27","Boucherville",30,60,42,132,0,4,3,271,400
24035,"Longueuil--Pierre-Boucher/Longueuil--Pierre-Boucher"," 28","Boucherville",17,56,25,107,0,0,1,206,306
24035,"Longueuil--Pierre-Boucher/Longueuil--Pierre-Boucher"," 29","Boucherville",19,48,22,97,1,5,1,193,303
24035,"Longueuil--Pierre-Boucher/Longueuil--Pierre-Boucher"," 30","Boucherville",11,41,19,106,0,2,0,179,288
24035,"Longueuil--Pierre-Boucher/Longueuil--Pierre-Boucher"," 31","Boucherville",28,57,30,130,0,5,3,253,393
24035,"Longueuil--Pierre-Boucher/Longueuil--Pierre-Boucher"," 32","Boucherville",15,64,20,157,1,7,1,265,391
24035,"Longueuil--Pierre-Boucher/Longueuil--Pierre-Boucher"," 33","Boucherville",20,51,37,146,1,2,1,258,406
24035,"Longueuil--Pierre-Boucher/Longueuil--Pierre-Boucher"," 34","Boucherville",27,55,39,182,1,3,2,309,451
24035,"Longueuil--Pierre-Boucher/Longueuil--Pierre-Boucher"," 35","Boucherville",9,51,20,120,0,3,1,204,335
24035,"Longueuil--Pierre-Boucher/Longueuil--Pierre-Boucher"," 36","Boucherville",18,59,34,110,2,8,2,233,363
24035,"Longueuil--Pierre-Boucher/Longueuil--Pierre-Boucher"," 37","Boucherville",23,53,16,163,0,4,0,259,451
24035,"Longueuil--Pierre-Boucher/Longueuil--Pierre-Boucher"," 38","Longueuil",17,52,17,85,0,2,3,176,290
24035,"Longueuil--Pierre-Boucher/Longueuil--Pierre-Boucher"," 39","Longueuil",19,43,27,142,0,5,0,236,379
24035,"Longueuil--Pierre-Boucher/Longueuil--Pierre-Boucher"," 40","Longueuil",17,44,11,109,0,4,2,187,340
24035,"Longueuil--Pierre-Boucher/Longueuil--Pierre-Boucher"," 41","Longueuil",19,74,6,109,0,3,5,216,353
24035,"Longueuil--Pierre-Boucher/Longueuil--Pierre-Boucher"," 42","Longueuil",20,77,19,112,0,3,4,235,385
24035,"Longueuil--Pierre-Boucher/Longueuil--Pierre-Boucher"," 43","Longueuil",11,65,17,129,1,9,8,240,412
24035,"Longueuil--Pierre-Boucher/Longueuil--Pierre-Boucher"," 44","Longueuil",11,34,6,71,0,3,2,127,316
