Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Simon Cormier,Anne-Marie Day,Martine Gaudreault,Félix Grenier,Daniel Petit,Simon Verret,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
24013,"Charlesbourg--Haute-Saint-Charles/Charlesbourg--Haute-Saint-Charles"," 1","Lac-Saint-Charles",1,144,15,63,85,5,8,321,530
24013,"Charlesbourg--Haute-Saint-Charles/Charlesbourg--Haute-Saint-Charles"," 2","Lac-Saint-Charles",1,154,20,55,116,10,8,364,629
24013,"Charlesbourg--Haute-Saint-Charles/Charlesbourg--Haute-Saint-Charles"," 3","Charlesbourg",3,141,10,33,89,5,2,283,568
24013,"Charlesbourg--Haute-Saint-Charles/Charlesbourg--Haute-Saint-Charles"," 4","Charlesbourg",1,129,10,29,84,5,6,264,536
24013,"Charlesbourg--Haute-Saint-Charles/Charlesbourg--Haute-Saint-Charles"," 5","Charlesbourg",0,62,12,23,52,3,2,154,324
24013,"Charlesbourg--Haute-Saint-Charles/Charlesbourg--Haute-Saint-Charles"," 6A","Charlesbourg",0,85,3,26,68,2,8,192,342
24013,"Charlesbourg--Haute-Saint-Charles/Charlesbourg--Haute-Saint-Charles"," 6B","Charlesbourg",1,86,8,42,58,1,4,200,338
24013,"Charlesbourg--Haute-Saint-Charles/Charlesbourg--Haute-Saint-Charles"," 7","Lac-Saint-Charles",0,118,6,26,84,10,6,250,501
24013,"Charlesbourg--Haute-Saint-Charles/Charlesbourg--Haute-Saint-Charles"," 8","Lac-Saint-Charles",0,91,17,27,95,6,4,240,462
24013,"Charlesbourg--Haute-Saint-Charles/Charlesbourg--Haute-Saint-Charles"," 9","Lac-Saint-Charles",1,116,16,32,79,4,6,254,443
24013,"Charlesbourg--Haute-Saint-Charles/Charlesbourg--Haute-Saint-Charles"," 10","Lac-Saint-Charles",0,65,11,38,79,3,5,201,389
24013,"Charlesbourg--Haute-Saint-Charles/Charlesbourg--Haute-Saint-Charles"," 11","Lac-Saint-Charles",0,104,4,38,63,4,6,219,405
24013,"Charlesbourg--Haute-Saint-Charles/Charlesbourg--Haute-Saint-Charles"," 12","Lac-Saint-Charles",1,103,16,27,93,3,3,246,482
24013,"Charlesbourg--Haute-Saint-Charles/Charlesbourg--Haute-Saint-Charles"," 13","Lac-Saint-Charles",1,123,18,39,83,7,4,275,564
24013,"Charlesbourg--Haute-Saint-Charles/Charlesbourg--Haute-Saint-Charles"," 14","Lac-Saint-Charles",2,94,2,30,53,3,4,188,419
24013,"Charlesbourg--Haute-Saint-Charles/Charlesbourg--Haute-Saint-Charles"," 15","Lac-Saint-Charles",2,100,9,38,59,5,2,215,510
24013,"Charlesbourg--Haute-Saint-Charles/Charlesbourg--Haute-Saint-Charles"," 16","Lac-Saint-Charles",0,76,3,19,58,2,1,159,321
24013,"Charlesbourg--Haute-Saint-Charles/Charlesbourg--Haute-Saint-Charles"," 17","Lac-Saint-Charles",0,76,2,12,30,7,7,134,310
24013,"Charlesbourg--Haute-Saint-Charles/Charlesbourg--Haute-Saint-Charles"," 18","Lac-Saint-Charles",0,96,6,23,70,1,5,201,380
24013,"Charlesbourg--Haute-Saint-Charles/Charlesbourg--Haute-Saint-Charles"," 18-1","Lac-Saint-Charles",1,71,15,15,85,1,3,191,373
24013,"Charlesbourg--Haute-Saint-Charles/Charlesbourg--Haute-Saint-Charles"," 19","Lac-Saint-Charles",0,80,6,41,111,8,3,249,508
