Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Matthew Chisholm,John R. Hamilton,Peter G. MacKay,David K. Parker,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
12002,"Central Nova/Nova-Centre"," 1","River John",11,26,98,46,1,182,299
12002,"Central Nova/Nova-Centre"," 2","Cape John",13,46,135,49,5,248,430
12002,"Central Nova/Nova-Centre"," 3","Toney River",16,19,89,57,0,181,262
12002,"Central Nova/Nova-Centre"," 4","Caribou",8,33,154,79,1,275,438
12002,"Central Nova/Nova-Centre"," 5","Pictou Island",1,1,4,8,0,14,21
12002,"Central Nova/Nova-Centre"," 6","Bay View",6,32,120,54,1,213,333
12002,"Central Nova/Nova-Centre"," 6-1","Pictou, Subd. A",4,4,68,28,0,104,168
12002,"Central Nova/Nova-Centre"," 7","Pictou",5,18,106,53,1,183,305
12002,"Central Nova/Nova-Centre"," 8","Pictou",7,12,96,60,2,177,312
12002,"Central Nova/Nova-Centre"," 9","Pictou",6,23,78,58,3,168,286
12002,"Central Nova/Nova-Centre"," 10","Pictou",5,14,88,62,1,170,324
12002,"Central Nova/Nova-Centre"," 11","Pictou",3,24,118,56,1,202,338
12002,"Central Nova/Nova-Centre"," 12","Pictou",5,14,73,47,0,139,285
12002,"Central Nova/Nova-Centre"," 13","Pictou",1,21,73,44,3,142,230
12002,"Central Nova/Nova-Centre"," 14","Pictou",9,16,125,62,2,214,354
12002,"Central Nova/Nova-Centre"," 15","Pictou",9,34,88,41,0,172,363
12002,"Central Nova/Nova-Centre"," 16","Lyons Brook",8,15,92,38,0,153,284
12002,"Central Nova/Nova-Centre"," 16-1","Lyons Brook",8,20,76,18,2,124,213
12002,"Central Nova/Nova-Centre"," 17","Lyons Brook",9,18,137,51,0,215,325
12002,"Central Nova/Nova-Centre"," 18","Scotsburn",7,18,136,57,0,218,325
12002,"Central Nova/Nova-Centre"," 19","Durham",15,28,149,67,0,259,467
12002,"Central Nova/Nova-Centre"," 19-1","Pictou, Subd. A",5,10,76,57,1,149,245
12002,"Central Nova/Nova-Centre"," 20","Welsford",11,27,81,34,3,156,299
12002,"Central Nova/Nova-Centre"," 21","West Branch",11,12,75,65,0,163,260
12002,"Central Nova/Nova-Centre"," 22","Elmfield",6,9,69,61,1,146,238
12002,"Central Nova/Nova-Centre"," 23","Salt Springs",9,9,78,85,0,181,284
12002,"Central Nova/Nova-Centre"," 24","Mount Thom",6,6,62,75,4,153,270
12002,"Central Nova/Nova-Centre"," 25","Millbrook",9,5,113,77,2,206,382
12002,"Central Nova/Nova-Centre"," 26","Greenhill",5,20,123,61,1,210,331
12002,"Central Nova/Nova-Centre"," 27","Loch Broom",5,5,69,38,1,118,220
12002,"Central Nova/Nova-Centre"," 28","Alma",4,20,83,29,1,137,271
12002,"Central Nova/Nova-Centre"," 28-1","Alma",6,7,91,50,1,155,248
12002,"Central Nova/Nova-Centre"," 29","White Hill",11,17,148,84,1,261,403
12002,"Central Nova/Nova-Centre"," 30","Riverton",9,15,147,36,1,208,344
12002,"Central Nova/Nova-Centre"," 31","Hopewell",20,10,147,59,2,238,404
12002,"Central Nova/Nova-Centre"," 32","Eureka",8,15,124,67,0,214,351
12002,"Central Nova/Nova-Centre"," 33","Middle River",9,1,47,21,2,80,135
12002,"Central Nova/Nova-Centre"," 34","Lorne",5,9,96,23,4,137,199
12002,"Central Nova/Nova-Centre"," 35","Abercrombie",4,13,80,38,2,137,186
12002,"Central Nova/Nova-Centre"," 36","Abercrombie",6,14,136,40,0,196,313
12002,"Central Nova/Nova-Centre"," 37","Mount William",5,6,74,29,1,115,207
12002,"Central Nova/Nova-Centre"," 38","Mount William",1,13,91,33,1,139,219
12002,"Central Nova/Nova-Centre"," 39","Pictou Landing Reserve",0,6,54,30,0,90,193
12002,"Central Nova/Nova-Centre"," 40","Pictou Landing",4,15,124,57,1,201,315
12002,"Central Nova/Nova-Centre"," 41","Trenton",5,13,86,34,1,139,272
12002,"Central Nova/Nova-Centre"," 42","Trenton",16,13,151,46,1,227,353
12002,"Central Nova/Nova-Centre"," 43","Trenton",3,13,136,47,1,200,348
12002,"Central Nova/Nova-Centre"," 44","Trenton",4,14,128,79,3,228,415
12002,"Central Nova/Nova-Centre"," 45","Trenton",1,12,101,67,0,181,364
12002,"Central Nova/Nova-Centre"," 46","Trenton",16,16,120,56,0,208,413
12002,"Central Nova/Nova-Centre"," 47","Westville",6,21,163,52,0,242,452
12002,"Central Nova/Nova-Centre"," 48","Westville",3,5,88,56,0,152,370
12002,"Central Nova/Nova-Centre"," 49","Westville",4,5,95,49,0,153,303
12002,"Central Nova/Nova-Centre"," 50","Westville",2,12,93,38,3,148,253
12002,"Central Nova/Nova-Centre"," 51","Westville",6,7,61,36,0,110,224
12002,"Central Nova/Nova-Centre"," 52","Westville",1,13,88,35,1,138,283
12002,"Central Nova/Nova-Centre"," 53","Westville",4,4,62,47,1,118,251
12002,"Central Nova/Nova-Centre"," 54","Westville",2,10,98,56,0,166,299
12002,"Central Nova/Nova-Centre"," 55","Westville",5,14,99,50,0,168,323
12002,"Central Nova/Nova-Centre"," 56","Westville",4,8,95,46,0,153,321
12002,"Central Nova/Nova-Centre"," 57","Stellarton",11,17,117,33,2,180,338
12002,"Central Nova/Nova-Centre"," 58","Stellarton",5,3,73,37,1,119,271
12002,"Central Nova/Nova-Centre"," 59","Stellarton",1,5,67,28,0,101,228
12002,"Central Nova/Nova-Centre"," 60","Stellarton",10,10,84,38,0,142,259
12002,"Central Nova/Nova-Centre"," 61","Stellarton",8,18,103,39,4,172,388
12002,"Central Nova/Nova-Centre"," 62","Stellarton",3,14,100,37,4,158,333
12002,"Central Nova/Nova-Centre"," 63","Stellarton",7,11,86,27,1,132,286
12002,"Central Nova/Nova-Centre"," 64","Stellarton",5,16,130,33,1,185,325
12002,"Central Nova/Nova-Centre"," 65","Stellarton",7,15,99,29,1,151,268
12002,"Central Nova/Nova-Centre"," 66","Stellarton",4,17,142,61,0,224,401
12002,"Central Nova/Nova-Centre"," 67","Stellarton",5,4,58,41,0,108,276
12002,"Central Nova/Nova-Centre"," 67-1","Stellarton",4,18,138,26,0,186,318
12002,"Central Nova/Nova-Centre"," 68","New Glasgow",3,28,192,51,2,276,454
12002,"Central Nova/Nova-Centre"," 69","New Glasgow",2,21,67,23,1,114,203
12002,"Central Nova/Nova-Centre"," 69-1","New Glasgow",0,23,114,25,0,162,270
12002,"Central Nova/Nova-Centre"," 70","New Glasgow",9,30,172,51,2,264,463
12002,"Central Nova/Nova-Centre"," 71","New Glasgow",5,29,160,45,0,239,401
12002,"Central Nova/Nova-Centre"," 72","New Glasgow",5,23,121,36,0,185,344
