Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Alain Bergeron,Christian Paradis,René Roy,Wyatt Tessari,Pierre Turcotte,Cheryl Voisine,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
24042,"Mégantic--L'Érable/Mégantic--L'Érable"," 1","Princeville",1,105,14,5,25,83,5,238,489
24042,"Mégantic--L'Érable/Mégantic--L'Érable"," 2","Princeville",1,74,8,5,26,76,5,195,433
24042,"Mégantic--L'Érable/Mégantic--L'Érable"," 3","Princeville",0,92,15,2,27,76,3,215,380
24042,"Mégantic--L'Érable/Mégantic--L'Érable"," 4","Princeville",1,77,14,6,22,72,7,199,440
24042,"Mégantic--L'Érable/Mégantic--L'Érable"," 5","Princeville",1,64,4,3,16,40,3,131,297
24042,"Mégantic--L'Érable/Mégantic--L'Érable"," 6","Princeville",1,79,15,2,34,80,5,216,402
24042,"Mégantic--L'Érable/Mégantic--L'Érable"," 7A","Princeville",2,82,11,3,24,54,6,182,332
24042,"Mégantic--L'Érable/Mégantic--L'Érable"," 7B","Princeville",0,72,16,2,17,38,9,154,279
24042,"Mégantic--L'Érable/Mégantic--L'Érable"," 8","Princeville",1,67,6,6,18,46,2,146,371
24042,"Mégantic--L'Érable/Mégantic--L'Érable"," 9","Princeville",2,111,7,5,35,85,5,250,499
24042,"Mégantic--L'Érable/Mégantic--L'Érable"," 10","Princeville",6,97,7,3,29,75,6,223,407
24042,"Mégantic--L'Érable/Mégantic--L'Érable"," 11","Villeroy",1,114,12,3,32,90,7,259,386
24042,"Mégantic--L'Érable/Mégantic--L'Érable"," 12","Notre-Dame-de-Lourdes",1,60,5,5,17,42,2,132,200
24042,"Mégantic--L'Érable/Mégantic--L'Érable"," 13","Sainte-Julie",1,136,12,6,25,100,6,286,465
24042,"Mégantic--L'Érable/Mégantic--L'Érable"," 14","Laurierville",1,74,7,2,22,50,5,161,295
24042,"Mégantic--L'Érable/Mégantic--L'Érable"," 15","Laurierville",0,111,8,1,20,67,8,215,366
24042,"Mégantic--L'Érable/Mégantic--L'Érable"," 16","Notre-Dame-de-Lourdes",2,93,10,4,33,73,4,219,346
24042,"Mégantic--L'Érable/Mégantic--L'Érable"," 17","Plessisville",2,119,5,2,41,88,10,267,540
24042,"Mégantic--L'Érable/Mégantic--L'Érable"," 18","Plessisville",0,143,8,4,31,70,5,261,479
24042,"Mégantic--L'Érable/Mégantic--L'Érable"," 19","Plessisville",1,105,8,0,50,76,9,249,456
24042,"Mégantic--L'Érable/Mégantic--L'Érable"," 20","Plessisville",0,83,7,2,30,51,2,175,286
24042,"Mégantic--L'Érable/Mégantic--L'Érable"," 21","Plessisville",0,78,7,3,16,52,5,161,288
24042,"Mégantic--L'Érable/Mégantic--L'Érable"," 22","Sainte-Sophie",0,39,1,2,22,35,0,99,162
24042,"Mégantic--L'Érable/Mégantic--L'Érable"," 23","Sainte-Sophie",1,104,19,3,33,52,4,216,323
24042,"Mégantic--L'Érable/Mégantic--L'Érable"," 24","Plessisville",1,70,7,2,25,61,2,168,398
24042,"Mégantic--L'Érable/Mégantic--L'Érable"," 25","Plessisville",2,116,12,2,45,89,1,267,517
24042,"Mégantic--L'Érable/Mégantic--L'Érable"," 26","Plessisville",4,98,13,0,27,81,6,229,400
24042,"Mégantic--L'Érable/Mégantic--L'Érable"," 27","Plessisville",0,124,12,1,33,94,5,269,449
24042,"Mégantic--L'Érable/Mégantic--L'Érable"," 28","Plessisville",0,111,3,6,28,42,2,192,428
24042,"Mégantic--L'Érable/Mégantic--L'Érable"," 29","Plessisville",1,60,6,3,27,53,3,153,333
24042,"Mégantic--L'Érable/Mégantic--L'Érable"," 30","Plessisville",1,55,5,1,21,47,2,132,362
24042,"Mégantic--L'Érable/Mégantic--L'Érable"," 31","Plessisville",0,65,6,1,22,62,4,160,308
