Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Josée Beaudin,Carmen Budilean,Sadia Groguhé,Qais Hamidi,Roxane Stanners,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
24065,"Saint-Lambert/Saint-Lambert"," 1","Longueuil",17,2,38,7,6,2,72,204
24065,"Saint-Lambert/Saint-Lambert"," 1-1","Longueuil",22,2,50,18,12,3,107,282
24065,"Saint-Lambert/Saint-Lambert"," 2","Longueuil",44,3,77,15,25,3,167,441
24065,"Saint-Lambert/Saint-Lambert"," 3","Longueuil",60,2,70,6,53,0,191,308
24065,"Saint-Lambert/Saint-Lambert"," 3-1","Longueuil",17,0,45,11,22,0,95,204
24065,"Saint-Lambert/Saint-Lambert"," 4","Longueuil",72,5,83,16,25,1,202,352
24065,"Saint-Lambert/Saint-Lambert"," 5","Longueuil",78,5,114,5,11,3,216,436
24065,"Saint-Lambert/Saint-Lambert"," 6","Longueuil",82,4,68,13,19,5,191,428
24065,"Saint-Lambert/Saint-Lambert"," 7","Longueuil",36,6,76,5,11,1,135,297
24065,"Saint-Lambert/Saint-Lambert"," 8","Longueuil",52,2,60,11,5,4,134,330
24065,"Saint-Lambert/Saint-Lambert"," 9","Longueuil",50,8,60,12,11,1,142,275
24065,"Saint-Lambert/Saint-Lambert"," 10","Longueuil",58,6,75,11,16,4,170,330
24065,"Saint-Lambert/Saint-Lambert"," 11","Longueuil",27,0,78,21,51,3,180,477
24065,"Saint-Lambert/Saint-Lambert"," 12","Longueuil",22,7,67,25,26,4,151,436
24065,"Saint-Lambert/Saint-Lambert"," 13","Longueuil",Void/Supprimé,,,,,,,
24065,"Saint-Lambert/Saint-Lambert"," 14","Longueuil",Void/Supprimé,,,,,,,
24065,"Saint-Lambert/Saint-Lambert"," 15","Longueuil",Void/Supprimé,,,,,,,
24065,"Saint-Lambert/Saint-Lambert"," 16","Longueuil",47,5,49,8,15,2,126,245
24065,"Saint-Lambert/Saint-Lambert"," 17","Longueuil",44,7,90,15,23,0,179,384
24065,"Saint-Lambert/Saint-Lambert"," 18","Longueuil",96,10,141,18,28,7,300,600
24065,"Saint-Lambert/Saint-Lambert"," 19","Longueuil",Void/Supprimé,,,,,,,
24065,"Saint-Lambert/Saint-Lambert"," 20","Longueuil",64,9,109,16,24,3,225,470
24065,"Saint-Lambert/Saint-Lambert"," 21","Longueuil",27,1,44,4,10,1,87,233
24065,"Saint-Lambert/Saint-Lambert"," 22","Longueuil",36,10,85,16,18,0,165,419
24065,"Saint-Lambert/Saint-Lambert"," 23","Longueuil",41,5,66,27,17,1,157,378
24065,"Saint-Lambert/Saint-Lambert"," 24","Longueuil",43,3,40,4,5,1,96,295
24065,"Saint-Lambert/Saint-Lambert"," 25","Longueuil",60,1,94,11,8,1,175,418
24065,"Saint-Lambert/Saint-Lambert"," 26","Longueuil",47,6,51,12,11,2,129,329
24065,"Saint-Lambert/Saint-Lambert"," 27","Longueuil",64,4,93,17,18,3,199,401
24065,"Saint-Lambert/Saint-Lambert"," 28","Longueuil",67,7,88,9,20,5,196,437
24065,"Saint-Lambert/Saint-Lambert"," 29","Longueuil",46,6,76,23,12,3,166,380
24065,"Saint-Lambert/Saint-Lambert"," 30","Longueuil",24,3,53,5,12,1,98,295
24065,"Saint-Lambert/Saint-Lambert"," 31","Longueuil",51,4,71,15,20,1,162,430
24065,"Saint-Lambert/Saint-Lambert"," 32","Longueuil",38,3,62,16,18,2,139,399
24065,"Saint-Lambert/Saint-Lambert"," 33","Longueuil",84,1,76,15,14,2,192,397
24065,"Saint-Lambert/Saint-Lambert"," 34","Longueuil",56,10,96,6,20,2,190,461
24065,"Saint-Lambert/Saint-Lambert"," 35","Longueuil",77,5,126,20,31,3,262,611
24065,"Saint-Lambert/Saint-Lambert"," 36","Longueuil",57,0,81,10,10,0,158,375
24065,"Saint-Lambert/Saint-Lambert"," 37","Longueuil",46,7,74,16,15,3,161,389
24065,"Saint-Lambert/Saint-Lambert"," 38","Longueuil",34,1,47,12,8,3,105,372
24065,"Saint-Lambert/Saint-Lambert"," 39","Longueuil",48,2,62,8,9,5,134,330
24065,"Saint-Lambert/Saint-Lambert"," 40","Longueuil",60,1,82,15,14,2,174,443
24065,"Saint-Lambert/Saint-Lambert"," 41","Longueuil",52,3,85,23,22,6,191,520
24065,"Saint-Lambert/Saint-Lambert"," 42","Longueuil",41,6,73,10,16,3,149,329
24065,"Saint-Lambert/Saint-Lambert"," 43","Longueuil",58,2,78,12,6,3,159,332
24065,"Saint-Lambert/Saint-Lambert"," 44","Longueuil",49,1,69,10,11,5,145,400
24065,"Saint-Lambert/Saint-Lambert"," 45","Longueuil",43,2,51,6,6,2,110,310
24065,"Saint-Lambert/Saint-Lambert"," 46","Longueuil",40,0,65,7,11,3,126,359
24065,"Saint-Lambert/Saint-Lambert"," 47","Longueuil",37,2,101,6,6,2,154,387
24065,"Saint-Lambert/Saint-Lambert"," 48","Longueuil",42,6,104,15,7,5,179,362
24065,"Saint-Lambert/Saint-Lambert"," 49","Longueuil",58,7,75,15,7,8,170,460
24065,"Saint-Lambert/Saint-Lambert"," 50","Longueuil",56,5,68,7,11,1,148,393
24065,"Saint-Lambert/Saint-Lambert"," 51","Longueuil",59,4,115,17,20,5,220,453
24065,"Saint-Lambert/Saint-Lambert"," 52","Longueuil",37,2,61,6,9,3,118,410
24065,"Saint-Lambert/Saint-Lambert"," 53","Longueuil",28,2,42,6,7,2,87,269
24065,"Saint-Lambert/Saint-Lambert"," 54","Longueuil",33,0,72,4,15,2,126,389
24065,"Saint-Lambert/Saint-Lambert"," 55","Longueuil",46,3,79,5,10,3,146,393
24065,"Saint-Lambert/Saint-Lambert"," 56","Longueuil",38,3,73,12,6,6,138,369
24065,"Saint-Lambert/Saint-Lambert"," 57","Longueuil",39,3,59,10,12,2,125,350
24065,"Saint-Lambert/Saint-Lambert"," 58","Longueuil",46,5,84,11,17,3,166,408
24065,"Saint-Lambert/Saint-Lambert"," 59","Longueuil",62,0,85,28,15,2,192,414
24065,"Saint-Lambert/Saint-Lambert"," 60","Longueuil",46,5,107,10,16,3,187,459
24065,"Saint-Lambert/Saint-Lambert"," 61","Longueuil",60,6,84,22,11,1,184,370
24065,"Saint-Lambert/Saint-Lambert"," 62","Longueuil",43,4,59,21,11,1,139,305
24065,"Saint-Lambert/Saint-Lambert"," 63","Longueuil",56,2,72,12,13,2,157,329
24065,"Saint-Lambert/Saint-Lambert"," 64","Longueuil",39,3,84,10,7,6,149,330
24065,"Saint-Lambert/Saint-Lambert"," 65","Longueuil",45,6,85,20,23,4,183,464
24065,"Saint-Lambert/Saint-Lambert"," 66","Longueuil",65,3,93,18,20,5,204,429
24065,"Saint-Lambert/Saint-Lambert"," 66-1","Longueuil",Void/Supprimé,,,,,,,
24065,"Saint-Lambert/Saint-Lambert"," 67","Longueuil",41,2,45,5,12,5,110,281
24065,"Saint-Lambert/Saint-Lambert"," 68","Longueuil",53,5,78,25,13,3,177,338
24065,"Saint-Lambert/Saint-Lambert"," 69","Longueuil",42,3,92,9,24,5,175,365
24065,"Saint-Lambert/Saint-Lambert"," 70","Longueuil",25,1,47,5,4,1,83,268
24065,"Saint-Lambert/Saint-Lambert"," 71","Longueuil",47,1,91,6,19,3,167,490
24065,"Saint-Lambert/Saint-Lambert"," 72","Longueuil",49,0,87,17,16,1,170,412
24065,"Saint-Lambert/Saint-Lambert"," 73","Longueuil",55,5,80,14,18,0,172,353
24065,"Saint-Lambert/Saint-Lambert"," 74","Longueuil",47,3,72,11,12,2,147,377
24065,"Saint-Lambert/Saint-Lambert"," 75","Longueuil",62,3,104,19,23,0,211,441
24065,"Saint-Lambert/Saint-Lambert"," 76","Longueuil",79,4,101,16,17,4,221,373
24065,"Saint-Lambert/Saint-Lambert"," 77","Longueuil",77,5,106,13,19,3,223,388
24065,"Saint-Lambert/Saint-Lambert"," 78","Longueuil",47,5,101,17,20,7,197,414
24065,"Saint-Lambert/Saint-Lambert"," 79","Longueuil",76,0,132,22,19,4,253,498
24065,"Saint-Lambert/Saint-Lambert"," 80","Longueuil",52,4,78,14,24,6,178,383
24065,"Saint-Lambert/Saint-Lambert"," 81","Longueuil",70,6,90,13,21,1,201,465
24065,"Saint-Lambert/Saint-Lambert"," 82","Longueuil",58,4,86,12,17,5,182,399
24065,"Saint-Lambert/Saint-Lambert"," 83","Longueuil",28,6,48,13,15,9,119,246
24065,"Saint-Lambert/Saint-Lambert"," 84","Longueuil",37,3,69,13,30,3,155,290
24065,"Saint-Lambert/Saint-Lambert"," 85","Longueuil",45,3,71,22,28,2,171,324
24065,"Saint-Lambert/Saint-Lambert"," 86","Longueuil",35,3,80,16,17,2,153,316
24065,"Saint-Lambert/Saint-Lambert"," 87","Longueuil",38,2,76,20,26,2,164,315
24065,"Saint-Lambert/Saint-Lambert"," 88","Longueuil",45,3,80,15,15,2,160,455
24065,"Saint-Lambert/Saint-Lambert"," 89","Longueuil",58,4,107,23,28,3,223,390
24065,"Saint-Lambert/Saint-Lambert"," 90","Longueuil",74,5,148,15,20,3,265,501
24065,"Saint-Lambert/Saint-Lambert"," 90-1","Longueuil",Void/Supprimé,,,,,,,
24065,"Saint-Lambert/Saint-Lambert"," 91","Longueuil",79,3,114,29,25,5,255,553
24065,"Saint-Lambert/Saint-Lambert"," 92","Longueuil",44,2,57,17,8,3,131,330
24065,"Saint-Lambert/Saint-Lambert"," 93","Longueuil",94,2,107,11,14,4,232,371
24065,"Saint-Lambert/Saint-Lambert"," 94","Longueuil",51,2,66,5,4,3,131,366
24065,"Saint-Lambert/Saint-Lambert"," 95","Longueuil",52,0,48,6,5,3,114,286
24065,"Saint-Lambert/Saint-Lambert"," 96","Longueuil",58,8,94,21,24,5,210,395
24065,"Saint-Lambert/Saint-Lambert"," 97","Longueuil",47,6,86,8,21,5,173,349
