Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Andrew Borkowski,Lorne Gershuny,Gerard Kennedy,Peggy Nash,Sarah Newton,Terry Parker,Taylor Train,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35068,"Parkdale--High Park/Parkdale--High Park"," 1","York",7,0,102,142,0,1,19,5,276,600
35068,"Parkdale--High Park/Parkdale--High Park"," 2","York",1,2,34,89,4,2,50,1,183,386
35068,"Parkdale--High Park/Parkdale--High Park"," 3","York",1,0,71,118,5,3,66,0,264,456
35068,"Parkdale--High Park/Parkdale--High Park"," 4","York",3,1,65,107,6,0,54,1,237,371
35068,"Parkdale--High Park/Parkdale--High Park"," 5","York",0,0,41,71,3,1,35,1,152,280
35068,"Parkdale--High Park/Parkdale--High Park"," 6","York",3,0,89,88,8,1,38,0,227,380
35068,"Parkdale--High Park/Parkdale--High Park"," 7","York",1,0,78,92,6,0,48,0,225,365
35068,"Parkdale--High Park/Parkdale--High Park"," 8","York",0,0,63,72,7,1,40,1,184,331
35068,"Parkdale--High Park/Parkdale--High Park"," 9","York",0,1,82,112,4,2,55,1,257,427
35068,"Parkdale--High Park/Parkdale--High Park"," 10","York",1,1,109,148,12,2,64,1,338,530
35068,"Parkdale--High Park/Parkdale--High Park"," 11","York",1,0,96,69,10,1,41,1,219,345
35068,"Parkdale--High Park/Parkdale--High Park"," 12","York",0,0,57,85,6,1,38,0,187,322
35068,"Parkdale--High Park/Parkdale--High Park"," 13","York",2,0,85,25,5,2,72,1,192,366
35068,"Parkdale--High Park/Parkdale--High Park"," 14","York",0,0,89,60,8,0,38,0,195,319
35068,"Parkdale--High Park/Parkdale--High Park"," 15","York",1,0,139,103,6,1,63,0,313,504
35068,"Parkdale--High Park/Parkdale--High Park"," 16","Toronto",0,0,45,63,2,0,38,0,148,242
35068,"Parkdale--High Park/Parkdale--High Park"," 17","Toronto",0,0,127,87,9,0,43,1,267,402
35068,"Parkdale--High Park/Parkdale--High Park"," 18","York",0,0,104,91,8,1,69,0,273,465
35068,"Parkdale--High Park/Parkdale--High Park"," 19","York",1,0,113,87,5,1,68,0,275,496
35068,"Parkdale--High Park/Parkdale--High Park"," 20","York",1,1,166,127,6,3,70,0,374,576
35068,"Parkdale--High Park/Parkdale--High Park"," 21","Toronto",1,0,132,114,16,0,62,2,327,513
35068,"Parkdale--High Park/Parkdale--High Park"," 22","Toronto",Void/Supprimé,,,,,,,,,
35068,"Parkdale--High Park/Parkdale--High Park"," 23","Toronto",1,0,126,67,8,1,79,1,283,454
35068,"Parkdale--High Park/Parkdale--High Park"," 24","Toronto",0,0,116,46,7,2,70,0,241,430
35068,"Parkdale--High Park/Parkdale--High Park"," 25","Toronto",0,0,78,89,10,3,46,0,226,386
35068,"Parkdale--High Park/Parkdale--High Park"," 26","Toronto",0,0,73,79,8,1,61,1,223,377
35068,"Parkdale--High Park/Parkdale--High Park"," 27","Toronto",3,0,103,75,9,0,58,1,249,422
35068,"Parkdale--High Park/Parkdale--High Park"," 28","Toronto",0,0,82,80,11,1,28,1,203,342
35068,"Parkdale--High Park/Parkdale--High Park"," 29","Toronto",0,0,95,101,8,4,45,2,255,458
35068,"Parkdale--High Park/Parkdale--High Park"," 30","Toronto",1,0,92,93,17,0,48,2,253,361
35068,"Parkdale--High Park/Parkdale--High Park"," 31","Toronto",2,0,80,75,8,0,35,1,201,371
35068,"Parkdale--High Park/Parkdale--High Park"," 32","Toronto",2,0,94,102,7,2,67,0,274,491
35068,"Parkdale--High Park/Parkdale--High Park"," 33","Toronto",0,0,109,72,9,0,39,3,232,387
35068,"Parkdale--High Park/Parkdale--High Park"," 34","Toronto",0,1,82,76,9,2,59,0,229,405
35068,"Parkdale--High Park/Parkdale--High Park"," 35","Toronto",0,0,93,117,5,0,76,0,291,578
35068,"Parkdale--High Park/Parkdale--High Park"," 36","Toronto",1,0,89,74,6,1,75,3,249,519
35068,"Parkdale--High Park/Parkdale--High Park"," 37","Toronto",1,0,147,119,21,0,106,0,394,597
35068,"Parkdale--High Park/Parkdale--High Park"," 38","Toronto",2,0,62,116,10,0,100,2,292,453
35068,"Parkdale--High Park/Parkdale--High Park"," 39","Toronto",1,0,7,39,1,0,5,0,53,178
35068,"Parkdale--High Park/Parkdale--High Park"," 40","Toronto",0,0,46,93,8,3,48,0,198,401
35068,"Parkdale--High Park/Parkdale--High Park"," 41","Toronto",2,0,99,55,6,1,47,0,210,322
35068,"Parkdale--High Park/Parkdale--High Park"," 42","York",6,0,96,123,5,2,41,1,274,478
35068,"Parkdale--High Park/Parkdale--High Park"," 43","Toronto",0,0,82,97,3,0,30,0,212,430
35068,"Parkdale--High Park/Parkdale--High Park"," 44","Toronto",0,0,77,112,7,1,23,1,221,404
35068,"Parkdale--High Park/Parkdale--High Park"," 45","York",2,0,124,93,9,0,38,1,267,440
35068,"Parkdale--High Park/Parkdale--High Park"," 46","York",3,0,99,127,9,1,69,2,310,463
35068,"Parkdale--High Park/Parkdale--High Park"," 47","Toronto",0,0,117,74,7,0,38,0,236,333
35068,"Parkdale--High Park/Parkdale--High Park"," 48","Toronto",0,0,132,122,4,1,53,2,314,467
35068,"Parkdale--High Park/Parkdale--High Park"," 49","Toronto",0,0,44,82,4,1,30,1,162,284
35068,"Parkdale--High Park/Parkdale--High Park"," 50","Toronto",1,0,105,73,1,0,20,1,201,375
