Province,Electors/Électeurs 2011,Electors/Électeurs 2008,Electors/Électeurs 2006,Electors/Électeurs 2004,Polling Stations/Bureaux de scrutin 2011,Polling Stations/Bureaux de scrutin 2008,Polling Stations/Bureaux de scrutin 2006,Polling Stations/Bureaux de scrutin 2004,Average Number of Electors per Poll/Moyenne d'électeurs par bureau 2011,Average Number of Electors per Poll/Moyenne d'électeurs par bureau 2008,Average Number of Electors per Poll/Moyenne d'électeurs par bureau 2006,Average Number of Electors per Poll/Moyenne d'électeurs par bureau 2004
"Newfoundland and Labrador/Terre-Neuve-et-Labrador",414779,410411,403982,405032,1464,1459,1475,1445,283,281,274,280
"Prince Edward Island/Île-du-Prince-Édouard",108456,108211,107677,109031,332,326,337,331,327,332,320,329
"Nova Scotia/Nouvelle-Écosse",733094,727875,750829,706932,2445,2397,2311,2225,300,304,325,318
"New Brunswick/Nouveau-Brunswick",592818,590984,594104,597440,1948,1940,1919,1916,304,305,310,312
"Quebec/Québec",6130307,5954763,5852528,5800109,17605,17186,16158,15880,348,346,362,365
"Ontario",9033266,8834987,8536359,8294928,25821,25228,23781,23030,350,350,359,360
"Manitoba",831041,835401,831278,841061,2658,2562,2486,2498,313,326,334,337
"Saskatchewan",723814,715291,712427,723922,2466,2418,2366,2337,294,296,301,310
"Alberta",2509390,2433695,2322108,2171584,7020,6737,6380,6231,357,361,364,349
"British Columbia/Colombie-Britannique",3109917,2996864,2875950,2750577,8859,8469,8047,7735,351,354,357,356
"Yukon",24341,23281,21493,20345,99,91,95,92,246,256,226,221
"Northwest Territories/Territoires du Nord-Ouest",29020,28787,28792,28619,81,89,86,85,358,323,335,337
"Nunavut",17349,17089,17088,17041,54,53,36,54,321,322,475,316
