Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Joyce Bateman,Lyndon B. Froese,Matt Henderson,Dennis Lewycky,Joshua McNeil,Anita Neville,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
46014,"Winnipeg South Centre/Winnipeg-Centre-Sud"," 67","Winnipeg",28,0,0,57,10,62,0,157,329
46014,"Winnipeg South Centre/Winnipeg-Centre-Sud"," 68","Winnipeg",16,0,1,67,5,49,0,138,322
46014,"Winnipeg South Centre/Winnipeg-Centre-Sud"," 69","Winnipeg",28,0,0,63,6,32,1,130,371
46014,"Winnipeg South Centre/Winnipeg-Centre-Sud"," 70","Winnipeg",74,0,0,64,8,106,1,253,425
46014,"Winnipeg South Centre/Winnipeg-Centre-Sud"," 71","Winnipeg",46,0,0,46,1,58,1,152,319
46014,"Winnipeg South Centre/Winnipeg-Centre-Sud"," 72","Winnipeg",78,1,0,39,10,77,1,206,337
46014,"Winnipeg South Centre/Winnipeg-Centre-Sud"," 73","Winnipeg",47,0,2,63,4,68,0,184,317
46014,"Winnipeg South Centre/Winnipeg-Centre-Sud"," 74","Winnipeg",29,2,3,55,5,49,0,143,278
46014,"Winnipeg South Centre/Winnipeg-Centre-Sud"," 75","Winnipeg",4,0,1,32,7,16,0,60,199
46014,"Winnipeg South Centre/Winnipeg-Centre-Sud"," 76","Winnipeg",45,0,2,59,11,46,0,163,275
46014,"Winnipeg South Centre/Winnipeg-Centre-Sud"," 77","Winnipeg",40,3,2,117,12,67,0,241,407
46014,"Winnipeg South Centre/Winnipeg-Centre-Sud"," 78","Winnipeg",36,0,1,46,9,30,0,122,258
46014,"Winnipeg South Centre/Winnipeg-Centre-Sud"," 79","Winnipeg",49,0,1,57,9,80,0,196,332
46014,"Winnipeg South Centre/Winnipeg-Centre-Sud"," 80","Winnipeg",25,1,0,39,11,42,1,119,249
46014,"Winnipeg South Centre/Winnipeg-Centre-Sud"," 81","Winnipeg",26,1,1,47,10,47,0,132,325
46014,"Winnipeg South Centre/Winnipeg-Centre-Sud"," 82","Winnipeg",73,0,2,63,19,98,2,257,538
46014,"Winnipeg South Centre/Winnipeg-Centre-Sud"," 83","Winnipeg",40,0,1,65,18,66,3,193,372
46014,"Winnipeg South Centre/Winnipeg-Centre-Sud"," 84","Winnipeg",35,0,0,47,8,42,1,133,344
46014,"Winnipeg South Centre/Winnipeg-Centre-Sud"," 85","Winnipeg",50,0,0,58,11,93,2,214,393
46014,"Winnipeg South Centre/Winnipeg-Centre-Sud"," 86","Winnipeg",33,1,1,42,12,55,0,144,294
46014,"Winnipeg South Centre/Winnipeg-Centre-Sud"," 87","Winnipeg",49,0,0,64,10,100,0,223,375
46014,"Winnipeg South Centre/Winnipeg-Centre-Sud"," 88","Winnipeg",37,0,2,72,9,77,0,197,351
46014,"Winnipeg South Centre/Winnipeg-Centre-Sud"," 89","Winnipeg",36,1,0,70,15,80,4,206,365
46014,"Winnipeg South Centre/Winnipeg-Centre-Sud"," 90A","Winnipeg",55,2,1,44,7,51,2,162,277
46014,"Winnipeg South Centre/Winnipeg-Centre-Sud"," 90B","Mobile poll/Bureau itinérant",Merged with No. 506/Fusionné avec le nº 506,,,,,,,,86
46014,"Winnipeg South Centre/Winnipeg-Centre-Sud"," 91","Winnipeg",88,1,1,33,12,109,0,244,393
46014,"Winnipeg South Centre/Winnipeg-Centre-Sud"," 92","Winnipeg",63,2,0,37,21,119,1,243,375
46014,"Winnipeg South Centre/Winnipeg-Centre-Sud"," 93","Winnipeg",38,0,0,57,14,83,0,192,385
46014,"Winnipeg South Centre/Winnipeg-Centre-Sud"," 94","Winnipeg",35,0,1,81,11,60,0,188,366
46014,"Winnipeg South Centre/Winnipeg-Centre-Sud"," 95","Winnipeg",57,1,0,54,6,85,1,204,371
