Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Lorraine Banville,Guillaume Berger-Richard,Carl Dubois,Hélène LeBlanc,Yves Le Seigle,Chang-Tao Jimmy Yu,Lise Zarac,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
24029,"LaSalle--Émard/LaSalle--Émard"," 80","LaSalle",7,0,21,93,1,39,64,5,230,436
24029,"LaSalle--Émard/LaSalle--Émard"," 81","LaSalle",1,0,18,74,1,17,23,3,137,303
24029,"LaSalle--Émard/LaSalle--Émard"," 82","LaSalle",10,1,28,87,0,24,48,1,199,360
24029,"LaSalle--Émard/LaSalle--Émard"," 83","LaSalle",3,1,22,72,1,40,53,4,196,471
24029,"LaSalle--Émard/LaSalle--Émard"," 84","LaSalle",2,1,11,60,2,26,88,2,192,420
24029,"LaSalle--Émard/LaSalle--Émard"," 85","LaSalle",1,1,12,55,0,23,75,3,170,355
24029,"LaSalle--Émard/LaSalle--Émard"," 86","LaSalle",5,2,10,61,0,23,62,3,166,353
24029,"LaSalle--Émard/LaSalle--Émard"," 87","LaSalle",2,1,17,52,1,19,71,1,164,372
24029,"LaSalle--Émard/LaSalle--Émard"," 88","LaSalle",2,0,20,67,1,32,58,1,181,418
24029,"LaSalle--Émard/LaSalle--Émard"," 89","LaSalle",1,2,10,61,0,31,70,2,177,384
24029,"LaSalle--Émard/LaSalle--Émard"," 90","LaSalle",0,0,19,80,1,26,57,1,184,408
24029,"LaSalle--Émard/LaSalle--Émard"," 91","LaSalle",5,0,16,81,0,34,75,0,211,407
24029,"LaSalle--Émard/LaSalle--Émard"," 92","LaSalle",10,2,29,108,0,41,82,0,272,519
24029,"LaSalle--Émard/LaSalle--Émard"," 93","LaSalle",0,2,22,74,0,39,66,0,203,415
24029,"LaSalle--Émard/LaSalle--Émard"," 94","LaSalle",1,1,7,61,1,34,73,3,181,319
24029,"LaSalle--Émard/LaSalle--Émard"," 95","LaSalle",5,0,10,85,1,48,100,3,252,535
24029,"LaSalle--Émard/LaSalle--Émard"," 96","LaSalle",3,1,10,58,0,25,78,2,177,379
24029,"LaSalle--Émard/LaSalle--Émard"," 97","LaSalle",0,0,10,41,0,12,22,1,86,240
24029,"LaSalle--Émard/LaSalle--Émard"," 98","LaSalle",4,0,19,81,0,23,35,8,170,418
24029,"LaSalle--Émard/LaSalle--Émard"," 99","LaSalle",4,0,42,132,1,32,87,0,298,517
24029,"LaSalle--Émard/LaSalle--Émard"," 100","LaSalle",0,2,7,52,0,18,27,2,108,326
24029,"LaSalle--Émard/LaSalle--Émard"," 101","LaSalle",2,0,17,2,45,24,41,0,131,326
24029,"LaSalle--Émard/LaSalle--Émard"," 102","LaSalle",8,1,12,58,0,39,34,1,153,369
24029,"LaSalle--Émard/LaSalle--Émard"," 103A","LaSalle",3,3,27,109,0,27,44,4,217,480
