Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Dale Jackaman,Joe Peschisolido,Michael Wolfe,Alice Wong,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
59023,"Richmond/Richmond"," 1","Richmond",59,26,33,67,1,186,312
59023,"Richmond/Richmond"," 2","Richmond",49,30,19,71,0,169,263
59023,"Richmond/Richmond"," 3","Richmond",21,53,6,159,0,239,552
59023,"Richmond/Richmond"," 4","Richmond",10,31,6,173,1,221,401
59023,"Richmond/Richmond"," 5","Richmond",28,31,17,88,0,164,318
59023,"Richmond/Richmond"," 6","Richmond",37,39,9,99,1,185,349
59023,"Richmond/Richmond"," 7","Richmond",33,43,8,162,0,246,522
59023,"Richmond/Richmond"," 8","Richmond",22,28,9,150,3,212,581
59023,"Richmond/Richmond"," 8-1","Richmond",25,24,15,91,0,155,371
59023,"Richmond/Richmond"," 9","Richmond",16,26,6,112,0,160,432
59023,"Richmond/Richmond"," 9-1","Richmond",17,45,6,121,2,191,472
59023,"Richmond/Richmond"," 10","Richmond",48,56,10,127,2,243,446
59023,"Richmond/Richmond"," 11","Richmond",43,56,15,115,1,230,486
59023,"Richmond/Richmond"," 12","Richmond",36,46,14,103,0,199,457
59023,"Richmond/Richmond"," 13","Richmond",45,53,10,120,1,229,419
59023,"Richmond/Richmond"," 14","Richmond",56,76,15,137,1,285,522
59023,"Richmond/Richmond"," 15","Richmond",37,44,6,123,0,210,497
59023,"Richmond/Richmond"," 16","Richmond",52,46,6,123,4,231,461
59023,"Richmond/Richmond"," 17","Richmond",30,43,7,132,1,213,371
59023,"Richmond/Richmond"," 18","Richmond",59,47,25,80,0,211,365
59023,"Richmond/Richmond"," 19","Richmond",28,33,4,109,1,175,431
59023,"Richmond/Richmond"," 20","Richmond",34,32,12,160,1,239,468
59023,"Richmond/Richmond"," 21","Richmond",45,42,11,125,2,225,432
59023,"Richmond/Richmond"," 22","Richmond",38,36,10,74,1,159,380
59023,"Richmond/Richmond"," 23","Richmond",55,37,14,127,1,234,373
59023,"Richmond/Richmond"," 24","Richmond",40,49,7,194,2,292,520
59023,"Richmond/Richmond"," 25","Richmond",45,55,21,153,2,276,456
59023,"Richmond/Richmond"," 26","Richmond",25,33,8,112,1,179,414
59023,"Richmond/Richmond"," 27","Richmond",39,40,16,80,0,175,404
59023,"Richmond/Richmond"," 27-1","Richmond",37,28,12,77,0,154,362
59023,"Richmond/Richmond"," 28","Richmond",24,24,6,54,0,108,323
59023,"Richmond/Richmond"," 29","Richmond",32,33,11,123,2,201,445
59023,"Richmond/Richmond"," 30","Richmond",24,17,7,108,1,157,310
