Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Joanie Boulet,Nancy Charest,Allen Cormier,Louis Drainville,Jean-François Fortin,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
24041,"Haute-Gaspésie--La Mitis--Matane--Matapédia/Haute-Gaspésie--La Mitis--Matane--Matapédia"," 1","Sainte-Luce",66,9,16,1,62,3,157,264
24041,"Haute-Gaspésie--La Mitis--Matane--Matapédia/Haute-Gaspésie--La Mitis--Matane--Matapédia"," 2A","Sainte-Luce",60,21,20,6,88,0,195,341
24041,"Haute-Gaspésie--La Mitis--Matane--Matapédia/Haute-Gaspésie--La Mitis--Matane--Matapédia"," 2B","Sainte-Luce",50,31,24,2,80,3,190,324
24041,"Haute-Gaspésie--La Mitis--Matane--Matapédia/Haute-Gaspésie--La Mitis--Matane--Matapédia"," 3","Sainte-Luce",53,26,21,3,87,3,193,359
24041,"Haute-Gaspésie--La Mitis--Matane--Matapédia/Haute-Gaspésie--La Mitis--Matane--Matapédia"," 4","Sainte-Luce",34,25,22,3,60,3,147,289
24041,"Haute-Gaspésie--La Mitis--Matane--Matapédia/Haute-Gaspésie--La Mitis--Matane--Matapédia"," 5","Sainte-Luce",69,26,18,2,95,2,212,427
24041,"Haute-Gaspésie--La Mitis--Matane--Matapédia/Haute-Gaspésie--La Mitis--Matane--Matapédia"," 6","Sainte-Luce",50,17,21,2,62,2,154,332
24041,"Haute-Gaspésie--La Mitis--Matane--Matapédia/Haute-Gaspésie--La Mitis--Matane--Matapédia"," 7","Saint-Donat",77,30,18,13,103,6,247,469
24041,"Haute-Gaspésie--La Mitis--Matane--Matapédia/Haute-Gaspésie--La Mitis--Matane--Matapédia"," 8","Saint-Donat",57,21,18,2,51,5,154,266
24041,"Haute-Gaspésie--La Mitis--Matane--Matapédia/Haute-Gaspésie--La Mitis--Matane--Matapédia"," 9","Mont-Joli",56,39,33,7,107,1,243,499
24041,"Haute-Gaspésie--La Mitis--Matane--Matapédia/Haute-Gaspésie--La Mitis--Matane--Matapédia"," 10","Mont-Joli",42,30,21,9,64,0,166,443
24041,"Haute-Gaspésie--La Mitis--Matane--Matapédia/Haute-Gaspésie--La Mitis--Matane--Matapédia"," 11A","Mont-Joli",71,37,27,7,127,4,273,543
24041,"Haute-Gaspésie--La Mitis--Matane--Matapédia/Haute-Gaspésie--La Mitis--Matane--Matapédia"," 11B","Mobile poll/Bureau itinérant",Merged with No. 507/Fusionné avec le nº 507,,,,,,,7
