Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Mauril Bélanger,Trevor Haché,Christian Legeais,Caroline Rioux,Rem Westland,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35065,"Ottawa--Vanier/Ottawa--Vanier"," 402","Ottawa",61,50,0,9,31,0,151,211
35065,"Ottawa--Vanier/Ottawa--Vanier"," 403","Ottawa",124,76,0,12,54,0,266,341
35065,"Ottawa--Vanier/Ottawa--Vanier"," 404","Ottawa",68,33,3,6,47,2,159,216
35065,"Ottawa--Vanier/Ottawa--Vanier"," 405","Vanier",64,36,0,2,44,0,146,223
35065,"Ottawa--Vanier/Ottawa--Vanier"," 406","Vanier",66,40,1,3,43,1,154,236
35065,"Ottawa--Vanier/Ottawa--Vanier"," 407","Vanier",65,42,1,4,42,1,155,226
35065,"Ottawa--Vanier/Ottawa--Vanier"," 408","Ottawa",100,48,0,2,55,0,205,274
35065,"Ottawa--Vanier/Ottawa--Vanier"," 409","Ottawa",50,35,1,3,41,0,130,205
35065,"Ottawa--Vanier/Ottawa--Vanier"," 410","Gloucester",54,69,2,9,48,2,184,345
35065,"Ottawa--Vanier/Ottawa--Vanier"," 411","Gloucester",76,73,2,3,34,4,192,390
35065,"Ottawa--Vanier/Ottawa--Vanier"," 412","Ottawa",55,38,0,2,95,2,192,258
35065,"Ottawa--Vanier/Ottawa--Vanier"," 413","Ottawa",78,37,1,8,85,0,209,278
35065,"Ottawa--Vanier/Ottawa--Vanier"," 414","Ottawa",132,45,1,11,94,1,284,381
35065,"Ottawa--Vanier/Ottawa--Vanier"," 415","Ottawa",49,42,0,1,42,0,134,206
35065,"Ottawa--Vanier/Ottawa--Vanier"," 416","Ottawa",115,38,0,2,66,1,222,303
35065,"Ottawa--Vanier/Ottawa--Vanier"," 417","Ottawa",69,24,0,4,38,0,135,185
35065,"Ottawa--Vanier/Ottawa--Vanier"," 418","Ottawa",68,42,0,10,68,4,192,252
35065,"Ottawa--Vanier/Ottawa--Vanier"," 419","Ottawa",86,30,1,5,39,0,161,203
35065,"Ottawa--Vanier/Ottawa--Vanier"," 420","Ottawa",13,6,1,3,15,1,39,83
35065,"Ottawa--Vanier/Ottawa--Vanier"," 421","Ottawa",20,16,0,2,10,0,48,90
35065,"Ottawa--Vanier/Ottawa--Vanier"," 422","Vanier",91,53,0,8,44,2,198,282
35065,"Ottawa--Vanier/Ottawa--Vanier"," 423","Ottawa",36,28,0,2,36,0,102,135
35065,"Ottawa--Vanier/Ottawa--Vanier"," 424","Ottawa",38,27,1,4,30,2,102,140
35065,"Ottawa--Vanier/Ottawa--Vanier"," 425","Ottawa",40,11,1,3,9,0,64,175
35065,"Ottawa--Vanier/Ottawa--Vanier"," 426","Ottawa",101,9,0,2,23,1,136,155
35065,"Ottawa--Vanier/Ottawa--Vanier"," 427","Ottawa",Void/Supprimé,,,,,,,
