Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Jean-Luc Cooke,Ric Dagenais,Ryan Keon,Pierre Poilievre,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35052,"Nepean--Carleton/Nepean--Carleton"," 1","Nepean",6,42,42,145,0,235,356
35052,"Nepean--Carleton/Nepean--Carleton"," 2","Nepean",2,48,12,98,0,160,365
35052,"Nepean--Carleton/Nepean--Carleton"," 3","Nepean",18,32,46,120,3,219,382
35052,"Nepean--Carleton/Nepean--Carleton"," 4","Nepean",9,52,46,108,1,216,450
35052,"Nepean--Carleton/Nepean--Carleton"," 5","Nepean",21,36,50,105,1,213,370
35052,"Nepean--Carleton/Nepean--Carleton"," 6","Nepean",16,42,36,65,3,162,315
35052,"Nepean--Carleton/Nepean--Carleton"," 7","Nepean",21,55,128,123,2,329,510
35052,"Nepean--Carleton/Nepean--Carleton"," 8","Nepean",11,43,41,70,0,165,375
35052,"Nepean--Carleton/Nepean--Carleton"," 8-1","Nepean",4,48,26,79,1,158,300
35052,"Nepean--Carleton/Nepean--Carleton"," 9","Nepean",8,53,36,119,1,217,424
35052,"Nepean--Carleton/Nepean--Carleton"," 10","Nepean",9,45,22,68,0,144,340
35052,"Nepean--Carleton/Nepean--Carleton"," 11","Nepean",14,73,48,115,0,250,529
35052,"Nepean--Carleton/Nepean--Carleton"," 12","Nepean",8,35,25,78,0,146,334
35052,"Nepean--Carleton/Nepean--Carleton"," 13","Nepean",15,24,45,90,0,174,321
35052,"Nepean--Carleton/Nepean--Carleton"," 14","Nepean",19,39,57,92,0,207,317
35052,"Nepean--Carleton/Nepean--Carleton"," 15","Nepean",14,39,68,125,2,248,413
35052,"Nepean--Carleton/Nepean--Carleton"," 16","Nepean",10,35,31,101,0,177,289
35052,"Nepean--Carleton/Nepean--Carleton"," 17","Nepean",22,44,53,132,1,252,443
35052,"Nepean--Carleton/Nepean--Carleton"," 18","Nepean",5,33,64,129,0,231,310
35052,"Nepean--Carleton/Nepean--Carleton"," 19","Nepean",12,46,60,148,1,267,390
35052,"Nepean--Carleton/Nepean--Carleton"," 20","Nepean",4,15,52,102,0,173,306
35052,"Nepean--Carleton/Nepean--Carleton"," 21","Nepean",Void/Supprimé,,,,,,
35052,"Nepean--Carleton/Nepean--Carleton"," 22","Nepean",13,33,32,146,2,226,364
35052,"Nepean--Carleton/Nepean--Carleton"," 23","Nepean",4,18,70,86,0,178,307
35052,"Nepean--Carleton/Nepean--Carleton"," 24","Nepean",2,22,41,57,2,124,236
35052,"Nepean--Carleton/Nepean--Carleton"," 25","Nepean",7,23,99,91,2,222,378
35052,"Nepean--Carleton/Nepean--Carleton"," 26","Nepean",11,37,72,80,1,201,338
35052,"Nepean--Carleton/Nepean--Carleton"," 27","Nepean",11,43,38,67,0,159,320
35052,"Nepean--Carleton/Nepean--Carleton"," 28","Nepean",24,42,60,69,0,195,368
35052,"Nepean--Carleton/Nepean--Carleton"," 29","Nepean",15,19,80,85,0,199,355
35052,"Nepean--Carleton/Nepean--Carleton"," 30","Nepean",13,29,76,78,0,196,336
35052,"Nepean--Carleton/Nepean--Carleton"," 31","Nepean",8,36,46,89,1,180,354
35052,"Nepean--Carleton/Nepean--Carleton"," 32","Nepean",13,36,59,66,1,175,358
35052,"Nepean--Carleton/Nepean--Carleton"," 33","Nepean",9,55,81,136,0,281,507
35052,"Nepean--Carleton/Nepean--Carleton"," 34","Nepean",Void/Supprimé,,,,,,
35052,"Nepean--Carleton/Nepean--Carleton"," 35","Nepean",9,38,86,120,1,254,483
35052,"Nepean--Carleton/Nepean--Carleton"," 36","Nepean",9,44,77,115,0,245,468
35052,"Nepean--Carleton/Nepean--Carleton"," 37","Nepean",6,46,73,130,0,255,434
35052,"Nepean--Carleton/Nepean--Carleton"," 38","Nepean",8,26,52,69,1,156,285
35052,"Nepean--Carleton/Nepean--Carleton"," 39","Nepean",9,39,96,81,0,225,441
35052,"Nepean--Carleton/Nepean--Carleton"," 40","Nepean",3,28,40,71,1,143,260
35052,"Nepean--Carleton/Nepean--Carleton"," 41","Nepean",10,74,74,132,1,291,553
35052,"Nepean--Carleton/Nepean--Carleton"," 42","Nepean",10,16,31,80,0,137,273
35052,"Nepean--Carleton/Nepean--Carleton"," 43","Nepean",10,62,33,57,0,162,334
35052,"Nepean--Carleton/Nepean--Carleton"," 44","Nepean",8,33,30,68,0,139,291
35052,"Nepean--Carleton/Nepean--Carleton"," 45","Nepean",8,35,21,45,0,109,243
35052,"Nepean--Carleton/Nepean--Carleton"," 46","Nepean",7,85,31,78,2,203,491
35052,"Nepean--Carleton/Nepean--Carleton"," 47","Nepean",9,74,60,89,3,235,398
35052,"Nepean--Carleton/Nepean--Carleton"," 48","Nepean",9,38,40,129,0,216,354
35052,"Nepean--Carleton/Nepean--Carleton"," 49","Nepean",11,33,39,111,0,194,354
35052,"Nepean--Carleton/Nepean--Carleton"," 50","Nepean",8,45,49,149,0,251,402
35052,"Nepean--Carleton/Nepean--Carleton"," 51","Nepean",8,48,23,58,1,138,334
35052,"Nepean--Carleton/Nepean--Carleton"," 52","Nepean",6,57,41,92,2,198,398
35052,"Nepean--Carleton/Nepean--Carleton"," 53","Nepean",11,44,42,100,3,200,391
35052,"Nepean--Carleton/Nepean--Carleton"," 54","Nepean",6,37,47,112,3,205,361
35052,"Nepean--Carleton/Nepean--Carleton"," 55","Nepean",9,59,53,112,1,234,413
35052,"Nepean--Carleton/Nepean--Carleton"," 56","Nepean",2,50,28,62,0,142,353
35052,"Nepean--Carleton/Nepean--Carleton"," 57","Nepean",5,63,31,84,0,183,318
35052,"Nepean--Carleton/Nepean--Carleton"," 58","Nepean",8,52,86,121,0,267,471
35052,"Nepean--Carleton/Nepean--Carleton"," 59","Nepean",8,51,26,101,0,186,308
35052,"Nepean--Carleton/Nepean--Carleton"," 60","Nepean",13,65,34,84,2,198,333
35052,"Nepean--Carleton/Nepean--Carleton"," 61","Nepean",9,25,33,90,0,157,317
35052,"Nepean--Carleton/Nepean--Carleton"," 62","Nepean",20,33,80,149,2,284,512
35052,"Nepean--Carleton/Nepean--Carleton"," 63","Nepean",Void/Supprimé,,,,,,
35052,"Nepean--Carleton/Nepean--Carleton"," 64","Nepean",7,49,65,144,1,266,413
35052,"Nepean--Carleton/Nepean--Carleton"," 65","Nepean",10,30,82,138,0,260,406
35052,"Nepean--Carleton/Nepean--Carleton"," 66","Nepean",14,30,84,130,2,260,440
35052,"Nepean--Carleton/Nepean--Carleton"," 67","Nepean",8,46,103,108,1,266,419
35052,"Nepean--Carleton/Nepean--Carleton"," 68","Nepean",7,43,77,127,1,255,475
35052,"Nepean--Carleton/Nepean--Carleton"," 68-1","Nepean",Void/Supprimé,,,,,,
35052,"Nepean--Carleton/Nepean--Carleton"," 69","Nepean",9,46,102,102,0,259,507
35052,"Nepean--Carleton/Nepean--Carleton"," 69-1","Nepean",5,33,53,91,1,183,297
35052,"Nepean--Carleton/Nepean--Carleton"," 69-2","Nepean",10,69,90,111,2,282,522
35052,"Nepean--Carleton/Nepean--Carleton"," 69-3","Nepean",0,29,54,65,0,148,325
35052,"Nepean--Carleton/Nepean--Carleton"," 69-4","Nepean",12,49,64,69,1,195,392
35052,"Nepean--Carleton/Nepean--Carleton"," 69-5","Nepean",6,42,69,75,1,193,353
35052,"Nepean--Carleton/Nepean--Carleton"," 70","Nepean",4,50,90,102,0,246,508
35052,"Nepean--Carleton/Nepean--Carleton"," 70-1","Nepean",10,27,60,57,0,154,293
35052,"Nepean--Carleton/Nepean--Carleton"," 70-2","Nepean",6,49,38,65,0,158,350
35052,"Nepean--Carleton/Nepean--Carleton"," 71","Nepean",5,80,91,133,0,309,601
35052,"Nepean--Carleton/Nepean--Carleton"," 71-1","Nepean",14,59,102,102,2,279,571
35052,"Nepean--Carleton/Nepean--Carleton"," 71-2","Nepean",2,78,74,107,4,265,576
35052,"Nepean--Carleton/Nepean--Carleton"," 72","Nepean",2,40,75,106,0,223,404
35052,"Nepean--Carleton/Nepean--Carleton"," 73","Nepean",8,47,51,104,0,210,411
35052,"Nepean--Carleton/Nepean--Carleton"," 74","Nepean",6,33,61,115,2,217,468
35052,"Nepean--Carleton/Nepean--Carleton"," 75","Nepean",6,31,51,96,1,185,346
35052,"Nepean--Carleton/Nepean--Carleton"," 76","Nepean",Void/Supprimé,,,,,,
35052,"Nepean--Carleton/Nepean--Carleton"," 77","Nepean",11,65,54,149,1,280,482
35052,"Nepean--Carleton/Nepean--Carleton"," 78","Nepean",8,33,72,122,0,235,432
35052,"Nepean--Carleton/Nepean--Carleton"," 79","Nepean",6,53,79,122,1,261,458
35052,"Nepean--Carleton/Nepean--Carleton"," 80","Nepean",10,47,49,147,1,254,438
35052,"Nepean--Carleton/Nepean--Carleton"," 81","Nepean",16,49,54,149,2,270,471
35052,"Nepean--Carleton/Nepean--Carleton"," 82","Nepean",10,70,101,174,0,355,590
35052,"Nepean--Carleton/Nepean--Carleton"," 83","Nepean",8,63,80,121,1,273,485
35052,"Nepean--Carleton/Nepean--Carleton"," 84","Nepean",17,81,70,151,0,319,574
35052,"Nepean--Carleton/Nepean--Carleton"," 85","Nepean",5,80,68,111,0,264,600
35052,"Nepean--Carleton/Nepean--Carleton"," 85-1","Nepean",12,42,78,126,1,259,548
35052,"Nepean--Carleton/Nepean--Carleton"," 85-2A","Nepean",6,53,59,81,0,199,376
35052,"Nepean--Carleton/Nepean--Carleton"," 85-2B","Nepean",9,48,54,76,0,187,340
