Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,David Bertschi,Martine Cénatus,Royal Galipeau,Paul Maillet,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35063,"Ottawa--Orléans/Ottawa--Orléans"," 1","Gloucester",73,19,98,12,0,202,356
35063,"Ottawa--Orléans/Ottawa--Orléans"," 2","Gloucester",90,40,85,15,0,230,390
35063,"Ottawa--Orléans/Ottawa--Orléans"," 3","Gloucester",138,66,98,6,1,309,523
35063,"Ottawa--Orléans/Ottawa--Orléans"," 4","Gloucester",83,34,69,3,0,189,300
35063,"Ottawa--Orléans/Ottawa--Orléans"," 5","Gloucester",99,45,95,5,0,244,433
35063,"Ottawa--Orléans/Ottawa--Orléans"," 6","Gloucester",42,30,36,5,1,114,300
35063,"Ottawa--Orléans/Ottawa--Orléans"," 7","Gloucester",57,34,80,8,0,179,439
35063,"Ottawa--Orléans/Ottawa--Orléans"," 8","Gloucester",26,24,46,5,1,102,238
35063,"Ottawa--Orléans/Ottawa--Orléans"," 9","Gloucester",41,49,53,9,4,156,389
35063,"Ottawa--Orléans/Ottawa--Orléans"," 10","Gloucester",74,53,57,13,0,197,376
35063,"Ottawa--Orléans/Ottawa--Orléans"," 11","Gloucester",55,49,82,7,0,193,336
35063,"Ottawa--Orléans/Ottawa--Orléans"," 12","Gloucester",81,34,64,4,0,183,321
35063,"Ottawa--Orléans/Ottawa--Orléans"," 13","Gloucester",41,37,76,8,0,162,420
35063,"Ottawa--Orléans/Ottawa--Orléans"," 14","Gloucester",Merged with No. 15/Fusionné avec le nº 15,,,,,,45
35063,"Ottawa--Orléans/Ottawa--Orléans"," 15","Gloucester",130,12,82,6,0,230,415
35063,"Ottawa--Orléans/Ottawa--Orléans"," 16","Gloucester",92,23,92,5,1,213,366
35063,"Ottawa--Orléans/Ottawa--Orléans"," 17","Gloucester",69,20,79,10,0,178,319
35063,"Ottawa--Orléans/Ottawa--Orléans"," 18","Gloucester",101,23,113,12,0,249,400
35063,"Ottawa--Orléans/Ottawa--Orléans"," 19","Gloucester",100,23,99,12,0,234,399
35063,"Ottawa--Orléans/Ottawa--Orléans"," 20","Gloucester",90,44,111,9,0,254,413
35063,"Ottawa--Orléans/Ottawa--Orléans"," 21","Gloucester",91,54,104,9,0,258,465
35063,"Ottawa--Orléans/Ottawa--Orléans"," 22","Gloucester",106,20,110,9,2,247,363
35063,"Ottawa--Orléans/Ottawa--Orléans"," 23","Gloucester",100,20,89,10,1,220,383
35063,"Ottawa--Orléans/Ottawa--Orléans"," 24","Gloucester",88,17,64,9,0,178,286
35063,"Ottawa--Orléans/Ottawa--Orléans"," 25","Gloucester",47,51,84,13,3,198,521
35063,"Ottawa--Orléans/Ottawa--Orléans"," 26","Gloucester",29,32,31,2,0,94,221
35063,"Ottawa--Orléans/Ottawa--Orléans"," 27","Gloucester",99,46,117,14,0,276,554
35063,"Ottawa--Orléans/Ottawa--Orléans"," 28","Gloucester",40,55,87,13,1,196,414
35063,"Ottawa--Orléans/Ottawa--Orléans"," 29","Gloucester",51,22,102,5,1,181,351
35063,"Ottawa--Orléans/Ottawa--Orléans"," 30","Gloucester",70,30,79,9,3,191,352
35063,"Ottawa--Orléans/Ottawa--Orléans"," 31A","Gloucester",46,57,77,5,0,185,343
35063,"Ottawa--Orléans/Ottawa--Orléans"," 31B","Mobile poll/Bureau itinérant",Merged with No. 502/Fusionné avec le nº 502,,,,,,97
35063,"Ottawa--Orléans/Ottawa--Orléans"," 32","Gloucester",83,10,83,9,1,186,321
35063,"Ottawa--Orléans/Ottawa--Orléans"," 33","Gloucester",117,20,86,6,1,230,362
35063,"Ottawa--Orléans/Ottawa--Orléans"," 34","Cumberland",73,19,83,14,0,189,353
35063,"Ottawa--Orléans/Ottawa--Orléans"," 35","Gloucester",81,23,82,6,1,193,310
35063,"Ottawa--Orléans/Ottawa--Orléans"," 36","Gloucester",68,66,91,13,3,241,439
35063,"Ottawa--Orléans/Ottawa--Orléans"," 37","Gloucester",85,31,77,1,1,195,345
35063,"Ottawa--Orléans/Ottawa--Orléans"," 37-1","Gloucester",45,54,65,3,0,167,325
35063,"Ottawa--Orléans/Ottawa--Orléans"," 38","Gloucester",86,36,100,6,2,230,359
35063,"Ottawa--Orléans/Ottawa--Orléans"," 39","Gloucester",36,28,71,3,2,140,230
35063,"Ottawa--Orléans/Ottawa--Orléans"," 40","Gloucester",70,27,59,7,0,163,346
35063,"Ottawa--Orléans/Ottawa--Orléans"," 41","Gloucester",43,39,70,4,2,158,277
