Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Mark Bigland-Pritchard,John Parry,Maurice Vellacott,Patricia Zipchen,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
47011,"Saskatoon--Wanuskewin/Saskatoon--Wanuskewin"," 39A","Dalmeny",5,38,109,5,0,157,289
47011,"Saskatoon--Wanuskewin/Saskatoon--Wanuskewin"," 39B","Dalmeny",6,44,104,6,0,160,262
47011,"Saskatoon--Wanuskewin/Saskatoon--Wanuskewin"," 39-1","Dalmeny",8,28,58,3,0,97,178
47011,"Saskatoon--Wanuskewin/Saskatoon--Wanuskewin"," 40","Dalmeny",4,38,126,5,0,173,245
47011,"Saskatoon--Wanuskewin/Saskatoon--Wanuskewin"," 40-1","Dalmeny",3,23,82,4,0,112,192
47011,"Saskatoon--Wanuskewin/Saskatoon--Wanuskewin"," 41","Osler",8,26,223,6,0,263,421
47011,"Saskatoon--Wanuskewin/Saskatoon--Wanuskewin"," 42","Osler",11,38,207,9,1,266,467
47011,"Saskatoon--Wanuskewin/Saskatoon--Wanuskewin"," 42-1","Osler",7,22,172,6,2,209,307
47011,"Saskatoon--Wanuskewin/Saskatoon--Wanuskewin"," 42-2","Osler",3,10,78,1,0,92,122
47011,"Saskatoon--Wanuskewin/Saskatoon--Wanuskewin"," 43","Warman",4,37,194,8,0,243,471
47011,"Saskatoon--Wanuskewin/Saskatoon--Wanuskewin"," 43-1","Warman",6,20,93,1,2,122,188
47011,"Saskatoon--Wanuskewin/Saskatoon--Wanuskewin"," 43-2","Warman",Merged with No. 43-1/Fusionné avec le nº 43-1,,,,,,61
47011,"Saskatoon--Wanuskewin/Saskatoon--Wanuskewin"," 43-3A","Warman",5,30,168,9,2,214,390
47011,"Saskatoon--Wanuskewin/Saskatoon--Wanuskewin"," 43-3B","Warman",6,48,162,6,2,224,355
47011,"Saskatoon--Wanuskewin/Saskatoon--Wanuskewin"," 44","Warman",7,26,183,9,1,226,458
47011,"Saskatoon--Wanuskewin/Saskatoon--Wanuskewin"," 44-1","Warman",5,23,105,5,0,138,288
47011,"Saskatoon--Wanuskewin/Saskatoon--Wanuskewin"," 44-2","Warman",4,41,131,2,0,178,341
47011,"Saskatoon--Wanuskewin/Saskatoon--Wanuskewin"," 44-3","Warman",5,29,159,6,0,199,325
47011,"Saskatoon--Wanuskewin/Saskatoon--Wanuskewin"," 45","Warman",6,45,166,6,4,227,405
47011,"Saskatoon--Wanuskewin/Saskatoon--Wanuskewin"," 46A","Warman",2,30,150,6,1,189,358
47011,"Saskatoon--Wanuskewin/Saskatoon--Wanuskewin"," 46B","Warman",6,38,113,8,1,166,323
47011,"Saskatoon--Wanuskewin/Saskatoon--Wanuskewin"," 46-1A","Warman",Merged with No. 46A/Fusionné avec le nº 46A,,,,,,31
47011,"Saskatoon--Wanuskewin/Saskatoon--Wanuskewin"," 46-1B","Warman",Merged with No. 46B/Fusionné avec le nº 46B,,,,,,23
47011,"Saskatoon--Wanuskewin/Saskatoon--Wanuskewin"," 47","Warman",11,57,162,5,1,236,450
47011,"Saskatoon--Wanuskewin/Saskatoon--Wanuskewin"," 48","Martensville",7,54,164,14,0,239,407
47011,"Saskatoon--Wanuskewin/Saskatoon--Wanuskewin"," 48-1A","Martensville",2,34,130,14,0,180,416
47011,"Saskatoon--Wanuskewin/Saskatoon--Wanuskewin"," 48-1B","Martensville",4,40,132,9,2,187,430
47011,"Saskatoon--Wanuskewin/Saskatoon--Wanuskewin"," 49A","Martensville",9,58,137,9,2,215,406
47011,"Saskatoon--Wanuskewin/Saskatoon--Wanuskewin"," 49B","Martensville",4,32,71,4,1,112,187
47011,"Saskatoon--Wanuskewin/Saskatoon--Wanuskewin"," 49C","Martensville",5,39,90,6,0,140,227
47011,"Saskatoon--Wanuskewin/Saskatoon--Wanuskewin"," 49-1A","Martensville",Merged with No. 49A/Fusionné avec le nº 49A,,,,,,68
47011,"Saskatoon--Wanuskewin/Saskatoon--Wanuskewin"," 49-1B","Martensville",Merged with No. 49B/Fusionné avec le nº 49B,,,,,,65
47011,"Saskatoon--Wanuskewin/Saskatoon--Wanuskewin"," 49-1C","Martensville",Merged with No. 49C/Fusionné avec le nº 49C,,,,,,83
47011,"Saskatoon--Wanuskewin/Saskatoon--Wanuskewin"," 50","Martensville",8,38,120,13,0,179,328
47011,"Saskatoon--Wanuskewin/Saskatoon--Wanuskewin"," 50-1","Martensville",7,36,89,5,0,137,305
47011,"Saskatoon--Wanuskewin/Saskatoon--Wanuskewin"," 50-2","Martensville",3,41,77,6,2,129,254
47011,"Saskatoon--Wanuskewin/Saskatoon--Wanuskewin"," 51","Martensville",7,51,158,6,0,222,486
47011,"Saskatoon--Wanuskewin/Saskatoon--Wanuskewin"," 52","Martensville",18,64,119,9,1,211,432
47011,"Saskatoon--Wanuskewin/Saskatoon--Wanuskewin"," 53","Martensville",8,84,151,11,0,254,537
47011,"Saskatoon--Wanuskewin/Saskatoon--Wanuskewin"," 54","Martensville",9,38,86,10,0,143,300
47011,"Saskatoon--Wanuskewin/Saskatoon--Wanuskewin"," 54-1","Martensville",2,44,103,4,0,153,338
47011,"Saskatoon--Wanuskewin/Saskatoon--Wanuskewin"," 55","Warman",0,18,99,9,0,126,262
47011,"Saskatoon--Wanuskewin/Saskatoon--Wanuskewin"," 56","Saskatoon",8,59,130,4,0,201,335
47011,"Saskatoon--Wanuskewin/Saskatoon--Wanuskewin"," 57","Saskatoon",2,43,117,3,0,165,343
47011,"Saskatoon--Wanuskewin/Saskatoon--Wanuskewin"," 58","Saskatoon",6,62,129,5,1,203,359
47011,"Saskatoon--Wanuskewin/Saskatoon--Wanuskewin"," 59","Saskatoon",7,29,121,19,1,177,304
47011,"Saskatoon--Wanuskewin/Saskatoon--Wanuskewin"," 60","Saskatoon",10,98,120,28,0,256,449
47011,"Saskatoon--Wanuskewin/Saskatoon--Wanuskewin"," 61","Saskatoon",3,44,50,13,0,110,289
47011,"Saskatoon--Wanuskewin/Saskatoon--Wanuskewin"," 62","Saskatoon",3,28,116,14,0,161,299
47011,"Saskatoon--Wanuskewin/Saskatoon--Wanuskewin"," 63","Saskatoon",9,56,72,15,1,153,297
47011,"Saskatoon--Wanuskewin/Saskatoon--Wanuskewin"," 64","Saskatoon",10,72,130,19,0,231,421
47011,"Saskatoon--Wanuskewin/Saskatoon--Wanuskewin"," 65","Saskatoon",9,72,96,22,0,199,357
47011,"Saskatoon--Wanuskewin/Saskatoon--Wanuskewin"," 66","Saskatoon",6,103,152,18,3,282,548
47011,"Saskatoon--Wanuskewin/Saskatoon--Wanuskewin"," 67","Saskatoon",11,91,132,28,1,263,473
47011,"Saskatoon--Wanuskewin/Saskatoon--Wanuskewin"," 68","Saskatoon",6,75,167,16,0,264,474
47011,"Saskatoon--Wanuskewin/Saskatoon--Wanuskewin"," 69","Saskatoon",4,59,66,7,0,136,382
47011,"Saskatoon--Wanuskewin/Saskatoon--Wanuskewin"," 70","Saskatoon",Void/Supprimé,,,,,,
47011,"Saskatoon--Wanuskewin/Saskatoon--Wanuskewin"," 71","Saskatoon",5,92,112,15,1,225,422
47011,"Saskatoon--Wanuskewin/Saskatoon--Wanuskewin"," 72","Saskatoon",5,61,93,20,0,179,388
47011,"Saskatoon--Wanuskewin/Saskatoon--Wanuskewin"," 73","Saskatoon",8,73,94,7,0,182,346
47011,"Saskatoon--Wanuskewin/Saskatoon--Wanuskewin"," 74","Saskatoon",9,80,116,22,0,227,424
47011,"Saskatoon--Wanuskewin/Saskatoon--Wanuskewin"," 75","Saskatoon",5,92,110,24,0,231,476
47011,"Saskatoon--Wanuskewin/Saskatoon--Wanuskewin"," 76","Saskatoon",12,24,70,14,0,120,248
47011,"Saskatoon--Wanuskewin/Saskatoon--Wanuskewin"," 77","Saskatoon",8,47,87,19,1,162,332
47011,"Saskatoon--Wanuskewin/Saskatoon--Wanuskewin"," 78A","Saskatoon",4,84,81,7,0,176,347
47011,"Saskatoon--Wanuskewin/Saskatoon--Wanuskewin"," 78B","Saskatoon",2,66,107,5,0,180,334
47011,"Saskatoon--Wanuskewin/Saskatoon--Wanuskewin"," 79","Saskatoon",5,123,124,10,0,262,449
47011,"Saskatoon--Wanuskewin/Saskatoon--Wanuskewin"," 80","Saskatoon",3,88,89,4,1,185,341
47011,"Saskatoon--Wanuskewin/Saskatoon--Wanuskewin"," 80-1","Saskatoon",2,105,179,23,0,309,582
47011,"Saskatoon--Wanuskewin/Saskatoon--Wanuskewin"," 81","Saskatoon",6,96,98,5,1,206,392
47011,"Saskatoon--Wanuskewin/Saskatoon--Wanuskewin"," 81-1A","Saskatoon",3,67,90,7,0,167,372
47011,"Saskatoon--Wanuskewin/Saskatoon--Wanuskewin"," 81-1B","Saskatoon",3,68,95,9,0,175,338
47011,"Saskatoon--Wanuskewin/Saskatoon--Wanuskewin"," 82","Saskatoon",4,50,47,4,0,105,247
47011,"Saskatoon--Wanuskewin/Saskatoon--Wanuskewin"," 83","Saskatoon",8,115,96,8,0,227,460
47011,"Saskatoon--Wanuskewin/Saskatoon--Wanuskewin"," 84","Saskatoon",2,68,46,8,0,124,338
47011,"Saskatoon--Wanuskewin/Saskatoon--Wanuskewin"," 85","Saskatoon",5,76,96,10,2,189,365
47011,"Saskatoon--Wanuskewin/Saskatoon--Wanuskewin"," 86","Saskatoon",4,89,100,6,0,199,329
47011,"Saskatoon--Wanuskewin/Saskatoon--Wanuskewin"," 87","Saskatoon",7,123,112,9,1,252,477
47011,"Saskatoon--Wanuskewin/Saskatoon--Wanuskewin"," 88","Saskatoon",7,97,85,16,0,205,376
47011,"Saskatoon--Wanuskewin/Saskatoon--Wanuskewin"," 89","Saskatoon",2,72,87,6,0,167,290
47011,"Saskatoon--Wanuskewin/Saskatoon--Wanuskewin"," 90","Saskatoon",4,115,81,3,0,203,325
47011,"Saskatoon--Wanuskewin/Saskatoon--Wanuskewin"," 91","Saskatoon",6,98,65,8,0,177,392
47011,"Saskatoon--Wanuskewin/Saskatoon--Wanuskewin"," 92A","Saskatoon",3,58,111,11,0,183,422
47011,"Saskatoon--Wanuskewin/Saskatoon--Wanuskewin"," 92B","Saskatoon",2,49,93,14,0,158,373
47011,"Saskatoon--Wanuskewin/Saskatoon--Wanuskewin"," 93","Saskatoon",7,45,50,6,0,108,333
47011,"Saskatoon--Wanuskewin/Saskatoon--Wanuskewin"," 94","Saskatoon",3,63,30,4,1,101,320
47011,"Saskatoon--Wanuskewin/Saskatoon--Wanuskewin"," 95","Saskatoon",1,85,143,24,0,253,431
47011,"Saskatoon--Wanuskewin/Saskatoon--Wanuskewin"," 96","Saskatoon",4,43,76,1,1,125,214
