Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Omar Alghabra,Michelle Bilek,Robert Dechert,John Fraser,Dagmar Sullivan,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35049,"Mississauga--Erindale/Mississauga--Erindale"," 1","Mississauga",43,39,40,3,1,1,127,243
35049,"Mississauga--Erindale/Mississauga--Erindale"," 1-1","Mississauga",46,35,85,6,1,0,173,325
35049,"Mississauga--Erindale/Mississauga--Erindale"," 2","Mississauga",53,38,43,4,0,0,138,328
35049,"Mississauga--Erindale/Mississauga--Erindale"," 3","Mississauga",45,19,50,3,0,1,118,275
35049,"Mississauga--Erindale/Mississauga--Erindale"," 4","Mississauga",40,28,37,6,0,1,112,251
35049,"Mississauga--Erindale/Mississauga--Erindale"," 5","Mississauga",63,47,98,10,1,0,219,424
35049,"Mississauga--Erindale/Mississauga--Erindale"," 6","Mississauga",75,34,98,2,0,2,211,401
35049,"Mississauga--Erindale/Mississauga--Erindale"," 7","Mississauga",57,27,37,1,0,1,123,249
35049,"Mississauga--Erindale/Mississauga--Erindale"," 8","Mississauga",39,21,49,2,2,0,113,214
35049,"Mississauga--Erindale/Mississauga--Erindale"," 9","Mississauga",41,32,61,2,0,1,137,267
35049,"Mississauga--Erindale/Mississauga--Erindale"," 10","Mississauga",35,38,61,0,0,0,134,255
35049,"Mississauga--Erindale/Mississauga--Erindale"," 11","Mississauga",69,64,105,5,0,0,243,505
35049,"Mississauga--Erindale/Mississauga--Erindale"," 12","Mississauga",29,25,47,2,0,1,104,198
35049,"Mississauga--Erindale/Mississauga--Erindale"," 13","Mississauga",58,48,79,1,2,3,191,464
35049,"Mississauga--Erindale/Mississauga--Erindale"," 14","Mississauga",89,24,173,9,0,0,295,544
35049,"Mississauga--Erindale/Mississauga--Erindale"," 15","Mississauga",60,46,122,13,0,0,241,536
35049,"Mississauga--Erindale/Mississauga--Erindale"," 16","Mississauga",30,46,114,5,1,2,198,510
35049,"Mississauga--Erindale/Mississauga--Erindale"," 17","Mississauga",53,42,80,5,0,1,181,447
35049,"Mississauga--Erindale/Mississauga--Erindale"," 18","Mississauga",92,41,132,5,0,2,272,511
35049,"Mississauga--Erindale/Mississauga--Erindale"," 19","Mississauga",24,24,47,3,1,1,100,271
35049,"Mississauga--Erindale/Mississauga--Erindale"," 20","Mississauga",16,11,42,0,0,0,69,344
35049,"Mississauga--Erindale/Mississauga--Erindale"," 21","Mississauga",75,55,97,7,0,0,234,443
35049,"Mississauga--Erindale/Mississauga--Erindale"," 22","Mississauga",71,36,101,1,2,2,213,467
35049,"Mississauga--Erindale/Mississauga--Erindale"," 23","Mississauga",63,33,100,4,3,1,204,437
35049,"Mississauga--Erindale/Mississauga--Erindale"," 24","Mississauga",112,47,93,4,0,2,258,558
35049,"Mississauga--Erindale/Mississauga--Erindale"," 25","Mississauga",89,40,118,2,2,1,252,482
35049,"Mississauga--Erindale/Mississauga--Erindale"," 26","Mississauga",57,43,112,3,0,1,216,523
35049,"Mississauga--Erindale/Mississauga--Erindale"," 27","Mississauga",62,28,125,6,0,0,221,481
35049,"Mississauga--Erindale/Mississauga--Erindale"," 28","Mississauga",61,37,80,6,2,0,186,502
35049,"Mississauga--Erindale/Mississauga--Erindale"," 29","Mississauga",60,29,111,1,0,4,205,481
35049,"Mississauga--Erindale/Mississauga--Erindale"," 30","Mississauga",40,33,86,6,0,1,166,443
35049,"Mississauga--Erindale/Mississauga--Erindale"," 31","Mississauga",81,37,99,2,0,3,222,551
35049,"Mississauga--Erindale/Mississauga--Erindale"," 32","Mississauga",66,26,110,10,0,0,212,410
35049,"Mississauga--Erindale/Mississauga--Erindale"," 33","Mississauga",61,19,132,3,1,0,216,466
35049,"Mississauga--Erindale/Mississauga--Erindale"," 34","Mississauga",62,34,95,3,1,1,196,418
35049,"Mississauga--Erindale/Mississauga--Erindale"," 35","Mississauga",67,46,68,4,0,3,188,547
35049,"Mississauga--Erindale/Mississauga--Erindale"," 36","Mississauga",79,42,78,1,1,2,203,463
35049,"Mississauga--Erindale/Mississauga--Erindale"," 37","Mississauga",61,40,118,3,1,1,224,538
35049,"Mississauga--Erindale/Mississauga--Erindale"," 38","Mississauga",53,23,132,9,0,0,217,371
35049,"Mississauga--Erindale/Mississauga--Erindale"," 39","Mississauga",45,19,124,2,0,0,190,367
35049,"Mississauga--Erindale/Mississauga--Erindale"," 40","Mississauga",60,33,108,4,0,4,209,454
35049,"Mississauga--Erindale/Mississauga--Erindale"," 41","Mississauga",66,74,87,15,1,2,245,441
35049,"Mississauga--Erindale/Mississauga--Erindale"," 42","Mississauga",75,44,91,7,0,1,218,531
35049,"Mississauga--Erindale/Mississauga--Erindale"," 43A","Mississauga",59,21,50,2,0,2,134,346
35049,"Mississauga--Erindale/Mississauga--Erindale"," 43B","Mississauga",39,26,69,3,0,1,138,375
35049,"Mississauga--Erindale/Mississauga--Erindale"," 44","Mississauga",26,23,51,2,0,0,102,275
35049,"Mississauga--Erindale/Mississauga--Erindale"," 45","Mississauga",71,32,99,8,0,0,210,387
35049,"Mississauga--Erindale/Mississauga--Erindale"," 46","Mississauga",54,14,122,1,0,0,191,359
35049,"Mississauga--Erindale/Mississauga--Erindale"," 47","Mississauga",36,22,122,4,0,0,184,332
35049,"Mississauga--Erindale/Mississauga--Erindale"," 48","Mississauga",110,38,130,5,0,2,285,550
35049,"Mississauga--Erindale/Mississauga--Erindale"," 49","Mississauga",54,54,44,2,1,1,156,316
35049,"Mississauga--Erindale/Mississauga--Erindale"," 50","Mississauga",44,34,77,3,0,2,160,461
35049,"Mississauga--Erindale/Mississauga--Erindale"," 51","Mississauga",34,37,90,7,1,0,169,425
35049,"Mississauga--Erindale/Mississauga--Erindale"," 52","Mississauga",35,38,77,3,0,0,153,297
35049,"Mississauga--Erindale/Mississauga--Erindale"," 53","Mississauga",38,27,72,10,0,3,150,306
35049,"Mississauga--Erindale/Mississauga--Erindale"," 54","Mississauga",50,27,106,7,0,0,190,319
35049,"Mississauga--Erindale/Mississauga--Erindale"," 55","Mississauga",59,20,25,4,0,0,108,336
35049,"Mississauga--Erindale/Mississauga--Erindale"," 56","Mississauga",42,44,86,10,0,0,182,372
35049,"Mississauga--Erindale/Mississauga--Erindale"," 57","Mississauga",50,39,81,5,0,0,175,369
35049,"Mississauga--Erindale/Mississauga--Erindale"," 58","Mississauga",48,44,66,8,0,0,166,317
35049,"Mississauga--Erindale/Mississauga--Erindale"," 59","Mississauga",21,20,76,8,0,0,125,258
35049,"Mississauga--Erindale/Mississauga--Erindale"," 60","Mississauga",14,27,23,0,0,0,64,220
35049,"Mississauga--Erindale/Mississauga--Erindale"," 61","Mississauga",57,35,89,4,0,0,185,594
35049,"Mississauga--Erindale/Mississauga--Erindale"," 62","Mississauga",77,24,154,7,0,0,262,539
35049,"Mississauga--Erindale/Mississauga--Erindale"," 63","Mississauga",32,42,99,10,0,0,183,408
35049,"Mississauga--Erindale/Mississauga--Erindale"," 64","Mississauga",40,40,105,6,1,0,192,369
35049,"Mississauga--Erindale/Mississauga--Erindale"," 65","Mississauga",38,33,101,4,1,0,177,310
35049,"Mississauga--Erindale/Mississauga--Erindale"," 66","Mississauga",41,52,125,6,0,2,226,456
35049,"Mississauga--Erindale/Mississauga--Erindale"," 67","Mississauga",53,38,61,7,0,0,159,367
35049,"Mississauga--Erindale/Mississauga--Erindale"," 68","Mississauga",40,12,122,4,0,0,178,326
35049,"Mississauga--Erindale/Mississauga--Erindale"," 69","Mississauga",43,52,79,4,0,1,179,383
35049,"Mississauga--Erindale/Mississauga--Erindale"," 70","Mississauga",72,20,143,9,0,2,246,444
35049,"Mississauga--Erindale/Mississauga--Erindale"," 71","Mississauga",30,12,86,6,1,0,135,295
35049,"Mississauga--Erindale/Mississauga--Erindale"," 72A","Mississauga",70,24,63,2,0,0,159,313
35049,"Mississauga--Erindale/Mississauga--Erindale"," 72B","Mississauga",57,20,95,6,0,1,179,321
35049,"Mississauga--Erindale/Mississauga--Erindale"," 73","Mississauga",6,1,3,2,0,0,12,151
35049,"Mississauga--Erindale/Mississauga--Erindale"," 74","Mississauga",74,20,133,6,0,1,234,466
35049,"Mississauga--Erindale/Mississauga--Erindale"," 75","Mississauga",78,21,156,4,1,2,262,537
35049,"Mississauga--Erindale/Mississauga--Erindale"," 76","Mississauga",56,23,96,17,0,0,192,369
35049,"Mississauga--Erindale/Mississauga--Erindale"," 77","Mississauga",31,43,67,11,0,1,153,370
