Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Dave Corail,Michael Erickson,Michael Ignatieff,Janice Murray,Bernard Trottier,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35023,"Etobicoke--Lakeshore/Etobicoke--Lakeshore"," 1","Etobicoke",5,51,41,1,42,0,140,335
35023,"Etobicoke--Lakeshore/Etobicoke--Lakeshore"," 2A","Etobicoke",7,54,52,0,46,0,159,326
35023,"Etobicoke--Lakeshore/Etobicoke--Lakeshore"," 2B","Etobicoke",3,50,45,1,37,0,136,316
35023,"Etobicoke--Lakeshore/Etobicoke--Lakeshore"," 3","Etobicoke",10,40,109,1,106,0,266,468
35023,"Etobicoke--Lakeshore/Etobicoke--Lakeshore"," 4","Etobicoke",4,29,30,0,57,1,121,249
35023,"Etobicoke--Lakeshore/Etobicoke--Lakeshore"," 5","Etobicoke",3,65,65,0,102,1,236,387
35023,"Etobicoke--Lakeshore/Etobicoke--Lakeshore"," 6","Etobicoke",7,38,74,3,123,1,246,402
35023,"Etobicoke--Lakeshore/Etobicoke--Lakeshore"," 7","Etobicoke",5,60,72,2,96,3,238,419
35023,"Etobicoke--Lakeshore/Etobicoke--Lakeshore"," 8","Etobicoke",3,26,86,0,110,0,225,386
35023,"Etobicoke--Lakeshore/Etobicoke--Lakeshore"," 9","Etobicoke",4,50,68,1,79,0,202,336
35023,"Etobicoke--Lakeshore/Etobicoke--Lakeshore"," 10","Etobicoke",13,37,66,0,114,2,232,387
35023,"Etobicoke--Lakeshore/Etobicoke--Lakeshore"," 11","Etobicoke",4,29,72,0,100,1,206,315
35023,"Etobicoke--Lakeshore/Etobicoke--Lakeshore"," 12","Etobicoke",12,33,85,0,116,2,248,383
35023,"Etobicoke--Lakeshore/Etobicoke--Lakeshore"," 13","Etobicoke",7,30,91,1,114,2,245,391
35023,"Etobicoke--Lakeshore/Etobicoke--Lakeshore"," 14","Etobicoke",6,45,63,2,115,3,234,366
35023,"Etobicoke--Lakeshore/Etobicoke--Lakeshore"," 15","Etobicoke",7,47,86,0,105,2,247,413
35023,"Etobicoke--Lakeshore/Etobicoke--Lakeshore"," 16","Etobicoke",5,44,90,0,99,1,239,370
35023,"Etobicoke--Lakeshore/Etobicoke--Lakeshore"," 17","Etobicoke",6,38,77,1,104,1,227,394
35023,"Etobicoke--Lakeshore/Etobicoke--Lakeshore"," 18","Etobicoke",9,43,119,0,97,4,272,398
35023,"Etobicoke--Lakeshore/Etobicoke--Lakeshore"," 19","Etobicoke",12,30,111,1,125,3,282,424
35023,"Etobicoke--Lakeshore/Etobicoke--Lakeshore"," 20","Etobicoke",9,32,117,1,121,1,281,482
35023,"Etobicoke--Lakeshore/Etobicoke--Lakeshore"," 21","Etobicoke",7,29,94,0,92,1,223,402
35023,"Etobicoke--Lakeshore/Etobicoke--Lakeshore"," 22","Etobicoke",6,31,80,0,95,0,212,347
35023,"Etobicoke--Lakeshore/Etobicoke--Lakeshore"," 23","Etobicoke",4,29,119,0,107,0,259,386
35023,"Etobicoke--Lakeshore/Etobicoke--Lakeshore"," 24","Etobicoke",11,20,79,0,90,1,201,324
35023,"Etobicoke--Lakeshore/Etobicoke--Lakeshore"," 25","Etobicoke",6,18,93,0,106,0,223,375
