Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Larry Colero,Kevin Peter Donohoe,David Hawkins,Russ Hiebert,Susan Keeping,Aart Looye,Brian Marlatt,Mike Schouten,Hardy Staub,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
59027,"South Surrey--White Rock--Cloverdale/Surrey-Sud--White Rock--Cloverdale"," 1","Surrey",3,0,0,182,30,2,1,2,19,1,240,434
59027,"South Surrey--White Rock--Cloverdale/Surrey-Sud--White Rock--Cloverdale"," 1-1A","Surrey",3,0,0,142,44,0,3,1,35,1,229,466
59027,"South Surrey--White Rock--Cloverdale/Surrey-Sud--White Rock--Cloverdale"," 1-1B","Surrey",3,0,0,129,37,1,0,5,37,0,212,468
59027,"South Surrey--White Rock--Cloverdale/Surrey-Sud--White Rock--Cloverdale"," 1-2","Surrey",Merged with No. 1/Fusionné avec le nº 1,,,,,,,,,,,12
59027,"South Surrey--White Rock--Cloverdale/Surrey-Sud--White Rock--Cloverdale"," 2","Surrey",11,0,0,117,59,0,1,3,31,0,222,367
59027,"South Surrey--White Rock--Cloverdale/Surrey-Sud--White Rock--Cloverdale"," 2-1A","Surrey",6,0,2,123,34,0,0,3,27,1,196,387
59027,"South Surrey--White Rock--Cloverdale/Surrey-Sud--White Rock--Cloverdale"," 2-1B","Surrey",1,0,1,119,34,1,0,4,27,0,187,372
59027,"South Surrey--White Rock--Cloverdale/Surrey-Sud--White Rock--Cloverdale"," 3","Surrey",8,1,1,82,55,1,0,6,17,2,173,333
59027,"South Surrey--White Rock--Cloverdale/Surrey-Sud--White Rock--Cloverdale"," 4","Surrey",8,0,0,112,57,0,4,2,22,1,206,408
59027,"South Surrey--White Rock--Cloverdale/Surrey-Sud--White Rock--Cloverdale"," 5","Surrey",11,0,3,152,66,1,2,1,21,1,258,488
59027,"South Surrey--White Rock--Cloverdale/Surrey-Sud--White Rock--Cloverdale"," 6","Surrey",9,1,0,62,41,0,0,1,12,0,126,294
59027,"South Surrey--White Rock--Cloverdale/Surrey-Sud--White Rock--Cloverdale"," 7","Surrey",12,3,1,137,69,1,3,13,17,0,256,470
59027,"South Surrey--White Rock--Cloverdale/Surrey-Sud--White Rock--Cloverdale"," 8","Surrey",12,0,0,130,72,1,4,11,22,1,253,401
59027,"South Surrey--White Rock--Cloverdale/Surrey-Sud--White Rock--Cloverdale"," 9","Surrey",11,0,2,119,71,3,1,12,41,1,261,476
59027,"South Surrey--White Rock--Cloverdale/Surrey-Sud--White Rock--Cloverdale"," 10A","Surrey",7,0,1,102,33,1,0,3,15,0,162,292
59027,"South Surrey--White Rock--Cloverdale/Surrey-Sud--White Rock--Cloverdale"," 10B","Surrey",7,0,0,84,37,3,0,12,14,0,157,295
59027,"South Surrey--White Rock--Cloverdale/Surrey-Sud--White Rock--Cloverdale"," 11A","Surrey",15,0,0,126,36,1,0,0,35,2,215,374
59027,"South Surrey--White Rock--Cloverdale/Surrey-Sud--White Rock--Cloverdale"," 11B","Surrey",6,0,2,114,43,0,1,2,30,0,198,346
59027,"South Surrey--White Rock--Cloverdale/Surrey-Sud--White Rock--Cloverdale"," 11-1A","Surrey",0,0,1,96,67,0,0,4,18,1,187,328
59027,"South Surrey--White Rock--Cloverdale/Surrey-Sud--White Rock--Cloverdale"," 11-1B","Surrey",5,0,1,102,45,1,2,4,22,2,184,335
59027,"South Surrey--White Rock--Cloverdale/Surrey-Sud--White Rock--Cloverdale"," 11-2A","Surrey",4,0,1,100,40,0,0,0,11,1,157,266
59027,"South Surrey--White Rock--Cloverdale/Surrey-Sud--White Rock--Cloverdale"," 11-2B","Surrey",4,0,0,105,20,0,0,0,21,0,150,263
59027,"South Surrey--White Rock--Cloverdale/Surrey-Sud--White Rock--Cloverdale"," 11-3","Surrey",18,0,0,161,63,4,1,1,35,2,285,458
59027,"South Surrey--White Rock--Cloverdale/Surrey-Sud--White Rock--Cloverdale"," 11-4A","Surrey",3,1,0,70,19,0,1,0,12,0,106,243
59027,"South Surrey--White Rock--Cloverdale/Surrey-Sud--White Rock--Cloverdale"," 11-4B","Surrey",3,1,1,82,40,1,0,0,20,0,148,290
59027,"South Surrey--White Rock--Cloverdale/Surrey-Sud--White Rock--Cloverdale"," 11-5A","Surrey",11,0,0,83,20,0,0,0,24,0,138,259
59027,"South Surrey--White Rock--Cloverdale/Surrey-Sud--White Rock--Cloverdale"," 11-5B","Surrey",9,0,0,75,30,0,0,1,17,0,132,252
59027,"South Surrey--White Rock--Cloverdale/Surrey-Sud--White Rock--Cloverdale"," 12","Surrey",3,0,0,76,46,1,2,2,5,3,138,283
59027,"South Surrey--White Rock--Cloverdale/Surrey-Sud--White Rock--Cloverdale"," 12-1","Surrey",9,0,0,100,44,0,1,4,12,0,170,298
59027,"South Surrey--White Rock--Cloverdale/Surrey-Sud--White Rock--Cloverdale"," 13","Surrey",13,0,0,162,45,1,0,6,34,0,261,490
59027,"South Surrey--White Rock--Cloverdale/Surrey-Sud--White Rock--Cloverdale"," 14A","Surrey",28,0,0,117,81,2,2,3,11,0,244,458
59027,"South Surrey--White Rock--Cloverdale/Surrey-Sud--White Rock--Cloverdale"," 14B","Mobile poll/Bureau itinérant",Merged with No. 502B/Fusionné avec le nº 502B,,,,,,,,,,,64
59027,"South Surrey--White Rock--Cloverdale/Surrey-Sud--White Rock--Cloverdale"," 15","Surrey",10,0,0,62,49,1,0,6,8,0,136,285
59027,"South Surrey--White Rock--Cloverdale/Surrey-Sud--White Rock--Cloverdale"," 16","Surrey",6,0,0,48,32,0,1,0,11,1,99,242
59027,"South Surrey--White Rock--Cloverdale/Surrey-Sud--White Rock--Cloverdale"," 16-1","Surrey",6,0,0,69,41,0,2,1,13,0,132,329
59027,"South Surrey--White Rock--Cloverdale/Surrey-Sud--White Rock--Cloverdale"," 17","Surrey",13,2,0,90,69,3,0,1,17,0,195,416
59027,"South Surrey--White Rock--Cloverdale/Surrey-Sud--White Rock--Cloverdale"," 18","Surrey",9,0,1,97,36,1,0,5,14,0,163,298
59027,"South Surrey--White Rock--Cloverdale/Surrey-Sud--White Rock--Cloverdale"," 19","Surrey",11,0,0,163,46,0,0,2,13,0,235,480
59027,"South Surrey--White Rock--Cloverdale/Surrey-Sud--White Rock--Cloverdale"," 19-1A","Surrey",10,0,0,132,62,1,0,1,32,1,239,462
59027,"South Surrey--White Rock--Cloverdale/Surrey-Sud--White Rock--Cloverdale"," 19-1B","Surrey",13,0,1,128,37,0,1,1,12,2,195,404
59027,"South Surrey--White Rock--Cloverdale/Surrey-Sud--White Rock--Cloverdale"," 20","Surrey",2,1,0,111,48,0,0,7,23,0,192,349
