Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Pat Martin,Bev Pitura,Darrell Rankin,Jacqueline Romanow,Allan Wise,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
46011,"Winnipeg Centre/Winnipeg-Centre"," 1","Winnipeg",47,64,0,4,3,3,121,273
46011,"Winnipeg Centre/Winnipeg-Centre"," 2","Winnipeg",32,35,0,2,14,0,83,262
46011,"Winnipeg Centre/Winnipeg-Centre"," 3","Winnipeg",67,61,3,3,7,1,142,381
46011,"Winnipeg Centre/Winnipeg-Centre"," 4","Winnipeg",68,58,3,3,8,0,140,301
46011,"Winnipeg Centre/Winnipeg-Centre"," 5","Winnipeg",55,45,0,2,3,0,105,275
46011,"Winnipeg Centre/Winnipeg-Centre"," 6","Winnipeg",34,8,1,2,2,0,47,266
46011,"Winnipeg Centre/Winnipeg-Centre"," 7","Winnipeg",54,36,1,3,3,0,97,345
46011,"Winnipeg Centre/Winnipeg-Centre"," 8","Winnipeg",40,27,0,1,6,1,75,251
46011,"Winnipeg Centre/Winnipeg-Centre"," 9","Winnipeg",64,42,0,11,9,2,128,372
46011,"Winnipeg Centre/Winnipeg-Centre"," 10","Winnipeg",71,50,0,2,9,3,135,384
46011,"Winnipeg Centre/Winnipeg-Centre"," 11","Winnipeg",67,48,0,2,10,7,134,317
46011,"Winnipeg Centre/Winnipeg-Centre"," 12","Winnipeg",63,67,0,4,10,0,144,357
46011,"Winnipeg Centre/Winnipeg-Centre"," 13","Winnipeg",54,35,0,2,7,1,99,361
46011,"Winnipeg Centre/Winnipeg-Centre"," 14","Winnipeg",74,34,0,11,9,1,129,351
46011,"Winnipeg Centre/Winnipeg-Centre"," 15","Winnipeg",85,39,0,5,5,1,135,389
46011,"Winnipeg Centre/Winnipeg-Centre"," 16","Winnipeg",60,84,1,8,11,2,166,384
46011,"Winnipeg Centre/Winnipeg-Centre"," 17","Winnipeg",33,66,0,0,3,0,102,220
46011,"Winnipeg Centre/Winnipeg-Centre"," 18","Winnipeg",71,95,0,7,17,0,190,404
46011,"Winnipeg Centre/Winnipeg-Centre"," 19","Winnipeg",64,99,0,9,7,0,179,358
46011,"Winnipeg Centre/Winnipeg-Centre"," 20","Winnipeg",91,89,1,6,8,2,197,402
46011,"Winnipeg Centre/Winnipeg-Centre"," 21","Winnipeg",79,73,0,6,14,3,175,425
46011,"Winnipeg Centre/Winnipeg-Centre"," 22","Winnipeg",76,61,1,10,16,1,165,396
46011,"Winnipeg Centre/Winnipeg-Centre"," 23","Winnipeg",70,50,0,9,6,4,139,342
46011,"Winnipeg Centre/Winnipeg-Centre"," 24","Winnipeg",53,60,1,6,7,1,128,311
46011,"Winnipeg Centre/Winnipeg-Centre"," 25","Winnipeg",90,86,0,22,11,0,209,341
46011,"Winnipeg Centre/Winnipeg-Centre"," 26","Winnipeg",114,53,0,16,15,6,204,331
46011,"Winnipeg Centre/Winnipeg-Centre"," 27","Winnipeg",100,71,0,7,21,5,204,340
46011,"Winnipeg Centre/Winnipeg-Centre"," 27-1","Winnipeg",74,105,0,2,30,1,212,275
46011,"Winnipeg Centre/Winnipeg-Centre"," 28","Winnipeg",87,68,1,7,25,1,189,388
46011,"Winnipeg Centre/Winnipeg-Centre"," 29","Winnipeg",108,61,0,6,10,1,186,428
46011,"Winnipeg Centre/Winnipeg-Centre"," 30","Winnipeg",86,53,2,3,10,1,155,373
46011,"Winnipeg Centre/Winnipeg-Centre"," 31","Winnipeg",114,89,2,9,17,2,233,390
46011,"Winnipeg Centre/Winnipeg-Centre"," 32","Winnipeg",65,75,0,9,14,1,164,343
46011,"Winnipeg Centre/Winnipeg-Centre"," 33","Winnipeg",68,39,1,10,11,1,130,278
46011,"Winnipeg Centre/Winnipeg-Centre"," 34","Winnipeg",121,56,1,3,20,2,203,403
46011,"Winnipeg Centre/Winnipeg-Centre"," 35","Winnipeg",92,65,2,12,12,1,184,398
46011,"Winnipeg Centre/Winnipeg-Centre"," 36","Winnipeg",119,57,1,17,17,2,213,425
46011,"Winnipeg Centre/Winnipeg-Centre"," 37","Winnipeg",116,51,0,13,18,2,200,396
46011,"Winnipeg Centre/Winnipeg-Centre"," 38","Winnipeg",60,50,0,7,19,1,137,359
46011,"Winnipeg Centre/Winnipeg-Centre"," 39","Winnipeg",104,48,1,5,13,1,172,410
46011,"Winnipeg Centre/Winnipeg-Centre"," 40","Winnipeg",130,80,2,12,23,0,247,507
46011,"Winnipeg Centre/Winnipeg-Centre"," 41","Winnipeg",107,71,1,14,13,1,207,398
46011,"Winnipeg Centre/Winnipeg-Centre"," 42","Winnipeg",92,38,0,15,20,2,167,319
46011,"Winnipeg Centre/Winnipeg-Centre"," 43","Winnipeg",151,35,1,34,23,2,246,388
