Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Jean-Olivier Berthiaume,Noushig Eloyan,Constantin Kiryakidis,Ted Kouretas,Maria Mourani,Chantal Reeves,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
24002,"Ahuntsic/Ahuntsic"," 1","Montréal",3,32,4,0,68,57,2,166,303
24002,"Ahuntsic/Ahuntsic"," 2","Montréal",0,58,4,3,103,87,4,259,530
24002,"Ahuntsic/Ahuntsic"," 3","Montréal",1,32,12,2,90,92,2,231,399
24002,"Ahuntsic/Ahuntsic"," 4","Montréal",0,78,18,3,65,91,5,260,415
24002,"Ahuntsic/Ahuntsic"," 5","Montréal",2,41,14,4,55,82,5,203,414
24002,"Ahuntsic/Ahuntsic"," 6","Montréal",0,49,20,6,77,91,4,247,371
24002,"Ahuntsic/Ahuntsic"," 7","Montréal",0,69,22,0,29,64,1,185,328
24002,"Ahuntsic/Ahuntsic"," 8","Montréal",5,56,16,6,53,79,1,216,348
24002,"Ahuntsic/Ahuntsic"," 9","Montréal",2,49,18,2,70,52,0,193,316
24002,"Ahuntsic/Ahuntsic"," 10","Montréal",0,39,22,3,83,69,1,217,368
24002,"Ahuntsic/Ahuntsic"," 11","Montréal",2,28,14,6,72,73,0,195,465
24002,"Ahuntsic/Ahuntsic"," 12","Montréal",1,45,9,1,72,81,0,209,393
24002,"Ahuntsic/Ahuntsic"," 13","Montréal",0,43,10,0,71,65,2,191,348
24002,"Ahuntsic/Ahuntsic"," 14","Montréal",1,35,23,4,77,69,1,210,398
24002,"Ahuntsic/Ahuntsic"," 15","Montréal",0,32,13,5,49,60,0,159,361
24002,"Ahuntsic/Ahuntsic"," 16","Montréal",0,31,2,0,48,48,2,131,233
24002,"Ahuntsic/Ahuntsic"," 17","Montréal",3,42,4,2,73,74,3,201,352
24002,"Ahuntsic/Ahuntsic"," 18","Montréal",2,54,18,5,77,71,3,230,330
24002,"Ahuntsic/Ahuntsic"," 19","Montréal",3,55,17,2,57,66,5,205,372
24002,"Ahuntsic/Ahuntsic"," 20","Montréal",3,70,14,3,39,69,2,200,399
24002,"Ahuntsic/Ahuntsic"," 21","Montréal",2,61,17,2,17,47,6,152,355
24002,"Ahuntsic/Ahuntsic"," 22","Montréal",1,63,16,7,10,49,1,147,349
24002,"Ahuntsic/Ahuntsic"," 23","Montréal",2,80,17,3,36,89,11,238,462
24002,"Ahuntsic/Ahuntsic"," 24","Montréal",1,84,34,3,33,58,7,220,358
24002,"Ahuntsic/Ahuntsic"," 25","Montréal",2,43,23,0,33,42,5,148,290
24002,"Ahuntsic/Ahuntsic"," 26","Montréal",1,81,12,2,20,60,1,177,348
24002,"Ahuntsic/Ahuntsic"," 27","Montréal",3,71,30,3,28,63,0,198,393
24002,"Ahuntsic/Ahuntsic"," 28","Montréal",2,72,8,1,18,44,3,148,330
24002,"Ahuntsic/Ahuntsic"," 29","Montréal",2,29,7,3,61,41,0,143,274
24002,"Ahuntsic/Ahuntsic"," 30","Montréal",0,40,13,0,42,51,0,146,380
24002,"Ahuntsic/Ahuntsic"," 31","Montréal",1,67,14,3,50,57,1,193,344
24002,"Ahuntsic/Ahuntsic"," 32A","Montréal",0,43,14,2,62,79,0,200,374
24002,"Ahuntsic/Ahuntsic"," 32B","Mobile poll/Bureau itinérant",Merged with No. 503/Fusionné avec le nº 503,,,,,,,,89
24002,"Ahuntsic/Ahuntsic"," 33","Montréal",3,52,21,2,39,78,4,199,393
24002,"Ahuntsic/Ahuntsic"," 34","Montréal",0,45,16,3,72,68,2,206,429
24002,"Ahuntsic/Ahuntsic"," 35","Montréal",0,15,13,7,74,56,3,168,340
