Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Gordon Earle,Gerald Keddy,Kris MacLellan,Derek Wells,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
12009,"South Shore--St. Margaret's/South Shore--St. Margaret's"," 1","Tantallon North",117,120,11,49,1,298,517
12009,"South Shore--St. Margaret's/South Shore--St. Margaret's"," 2","Stillwater Lake",102,131,11,51,0,295,533
12009,"South Shore--St. Margaret's/South Shore--St. Margaret's"," 3","Boutiliers Point",134,64,10,28,0,236,439
12009,"South Shore--St. Margaret's/South Shore--St. Margaret's"," 4","Masons Point",126,48,12,31,3,220,358
12009,"South Shore--St. Margaret's/South Shore--St. Margaret's"," 5","Head of St. Margarets Bay",72,39,8,21,0,140,226
12009,"South Shore--St. Margaret's/South Shore--St. Margaret's"," 6","Allen Heights",89,62,8,51,1,211,402
12009,"South Shore--St. Margaret's/South Shore--St. Margaret's"," 7","Upper Tantallon",82,72,9,38,0,201,348
12009,"South Shore--St. Margaret's/South Shore--St. Margaret's"," 8","Black Point",87,44,5,32,0,168,280
12009,"South Shore--St. Margaret's/South Shore--St. Margaret's"," 9","Boutiliers Point",93,36,12,19,0,160,262
12009,"South Shore--St. Margaret's/South Shore--St. Margaret's"," 10","Queensland",128,78,9,26,1,242,357
12009,"South Shore--St. Margaret's/South Shore--St. Margaret's"," 11","Hubbards",146,87,15,32,1,281,444
12009,"South Shore--St. Margaret's/South Shore--St. Margaret's"," 12","Whynachts Point",88,87,7,33,0,215,321
12009,"South Shore--St. Margaret's/South Shore--St. Margaret's"," 13","Tantallon",97,93,7,28,1,226,417
12009,"South Shore--St. Margaret's/South Shore--St. Margaret's"," 14","Glen Haven",116,114,16,58,4,308,506
12009,"South Shore--St. Margaret's/South Shore--St. Margaret's"," 15","Seabright--French Village",144,70,12,48,1,275,460
12009,"South Shore--St. Margaret's/South Shore--St. Margaret's"," 16","Glen Margaret",72,55,9,32,0,168,272
12009,"South Shore--St. Margaret's/South Shore--St. Margaret's"," 17","Tantallon",Void/Supprimé,,,,,,
12009,"South Shore--St. Margaret's/South Shore--St. Margaret's"," 18","Hacketts Cove",106,80,7,48,2,243,432
12009,"South Shore--St. Margaret's/South Shore--St. Margaret's"," 19","Indian Harbour--Peggy's Cove",42,38,4,12,0,96,203
12009,"South Shore--St. Margaret's/South Shore--St. Margaret's"," 20","West Dover--Middle Village",42,26,5,19,0,92,207
12009,"South Shore--St. Margaret's/South Shore--St. Margaret's"," 21","East Dover--McGraths Cove",93,56,3,31,0,183,273
12009,"South Shore--St. Margaret's/South Shore--St. Margaret's"," 22","Bayside",67,53,13,15,0,148,262
12009,"South Shore--St. Margaret's/South Shore--St. Margaret's"," 23","Mill Road",42,137,5,18,1,203,416
12009,"South Shore--St. Margaret's/South Shore--St. Margaret's"," 24","New Ross",35,94,7,14,3,153,306
12009,"South Shore--St. Margaret's/South Shore--St. Margaret's"," 25","Lake Ramsay",36,139,3,17,1,196,295
12009,"South Shore--St. Margaret's/South Shore--St. Margaret's"," 26","Seffernsville",29,85,7,17,1,139,231
12009,"South Shore--St. Margaret's/South Shore--St. Margaret's"," 27","Windsor Road",60,95,12,49,2,218,415
12009,"South Shore--St. Margaret's/South Shore--St. Margaret's"," 28","Chester Grant",104,148,10,44,5,311,481
12009,"South Shore--St. Margaret's/South Shore--St. Margaret's"," 29","Chester Basin--Borgels Point",100,124,14,57,0,295,474
12009,"South Shore--St. Margaret's/South Shore--St. Margaret's"," 30","Lower Grant Road--Shaw Island",84,123,9,44,6,266,475
12009,"South Shore--St. Margaret's/South Shore--St. Margaret's"," 31","Robinsons Corner",78,121,7,63,2,271,497
12009,"South Shore--St. Margaret's/South Shore--St. Margaret's"," 32","Chester",50,83,5,29,0,167,376
12009,"South Shore--St. Margaret's/South Shore--St. Margaret's"," 33","East Chester",100,80,11,45,3,239,402
12009,"South Shore--St. Margaret's/South Shore--St. Margaret's"," 34","Chester",52,65,2,60,1,180,364
12009,"South Shore--St. Margaret's/South Shore--St. Margaret's"," 35","Chester",85,67,18,75,3,248,494
12009,"South Shore--St. Margaret's/South Shore--St. Margaret's"," 36","Tancook Island",13,48,3,9,1,74,137
12009,"South Shore--St. Margaret's/South Shore--St. Margaret's"," 37","Gold River",73,77,6,29,3,188,380
12009,"South Shore--St. Margaret's/South Shore--St. Margaret's"," 38","Western Shore",63,105,5,20,1,194,367
12009,"South Shore--St. Margaret's/South Shore--St. Margaret's"," 39","Western Shore",64,94,4,24,4,190,321
12009,"South Shore--St. Margaret's/South Shore--St. Margaret's"," 40","Martins Point--Martins River",67,65,6,29,2,169,276
12009,"South Shore--St. Margaret's/South Shore--St. Margaret's"," 41","Simms Settlement",131,102,10,26,3,272,428
12009,"South Shore--St. Margaret's/South Shore--St. Margaret's"," 42","Fox Point",102,69,7,34,0,212,432
12009,"South Shore--St. Margaret's/South Shore--St. Margaret's"," 43","East River",57,64,7,25,0,153,227
12009,"South Shore--St. Margaret's/South Shore--St. Margaret's"," 44","Mill Cove",100,54,11,26,1,192,353
12009,"South Shore--St. Margaret's/South Shore--St. Margaret's"," 45","Northwest Cove--Aspotogen",83,49,5,43,0,180,270
12009,"South Shore--St. Margaret's/South Shore--St. Margaret's"," 46","Blandford--Bayswater",110,77,5,29,3,224,309
12009,"South Shore--St. Margaret's/South Shore--St. Margaret's"," 47","Barss Corner",80,104,10,30,0,224,390
12009,"South Shore--St. Margaret's/South Shore--St. Margaret's"," 48","Maplewood",60,93,8,21,1,183,349
12009,"South Shore--St. Margaret's/South Shore--St. Margaret's"," 49","Newburne",46,66,2,16,3,133,241
12009,"South Shore--St. Margaret's/South Shore--St. Margaret's"," 50","New Cornwall",85,122,13,25,0,245,431
12009,"South Shore--St. Margaret's/South Shore--St. Margaret's"," 51","North River",24,61,6,12,2,105,240
12009,"South Shore--St. Margaret's/South Shore--St. Margaret's"," 52","New Germany",40,84,5,5,3,137,274
12009,"South Shore--St. Margaret's/South Shore--St. Margaret's"," 53","Simpsons Corner",69,111,10,20,1,211,430
12009,"South Shore--St. Margaret's/South Shore--St. Margaret's"," 54","Stanley Section--Watford",56,88,7,20,1,172,319
12009,"South Shore--St. Margaret's/South Shore--St. Margaret's"," 55","Upper Northfield",64,127,17,25,0,233,395
12009,"South Shore--St. Margaret's/South Shore--St. Margaret's"," 56","Lower Northfield",65,95,4,36,3,203,323
12009,"South Shore--St. Margaret's/South Shore--St. Margaret's"," 57","Branch LaHave--New Canada",88,107,6,32,1,234,442
12009,"South Shore--St. Margaret's/South Shore--St. Margaret's"," 58","Hemford--Nineveh",70,126,18,26,2,242,449
12009,"South Shore--St. Margaret's/South Shore--St. Margaret's"," 59","Clearland",41,61,3,19,2,126,240
12009,"South Shore--St. Margaret's/South Shore--St. Margaret's"," 60","Martins River",61,98,6,38,3,206,335
12009,"South Shore--St. Margaret's/South Shore--St. Margaret's"," 61","Indian Point",71,82,5,55,0,213,309
12009,"South Shore--St. Margaret's/South Shore--St. Margaret's"," 62","Mahone Bay",89,71,10,45,2,217,380
12009,"South Shore--St. Margaret's/South Shore--St. Margaret's"," 63","Mahone Bay",108,76,13,57,1,255,474
12009,"South Shore--St. Margaret's/South Shore--St. Margaret's"," 64","Maders Cove",79,70,11,41,1,202,352
12009,"South Shore--St. Margaret's/South Shore--St. Margaret's"," 65","Blockhouse--Farmville",57,90,13,32,0,192,312
12009,"South Shore--St. Margaret's/South Shore--St. Margaret's"," 66","Fauxburg",92,126,10,29,1,258,481
12009,"South Shore--St. Margaret's/South Shore--St. Margaret's"," 67","Maitland",70,109,19,36,1,235,410
12009,"South Shore--St. Margaret's/South Shore--St. Margaret's"," 68","West Northfield--Cookville",36,55,7,29,1,128,242
12009,"South Shore--St. Margaret's/South Shore--St. Margaret's"," 69","Pine Grove",88,137,9,43,2,279,509
12009,"South Shore--St. Margaret's/South Shore--St. Margaret's"," 70","Oak Hill",87,115,13,33,1,249,467
12009,"South Shore--St. Margaret's/South Shore--St. Margaret's"," 71","Lillydale--Northwest",32,66,6,17,1,122,202
12009,"South Shore--St. Margaret's/South Shore--St. Margaret's"," 72","First/Second Peninsula",55,57,3,14,2,131,217
12009,"South Shore--St. Margaret's/South Shore--St. Margaret's"," 73","Garden Lots--Heckmans Island",95,82,3,17,0,197,352
12009,"South Shore--St. Margaret's/South Shore--St. Margaret's"," 74","Blue Rock",72,64,4,11,0,151,297
12009,"South Shore--St. Margaret's/South Shore--St. Margaret's"," 75","Centre",86,109,11,32,0,238,435
