Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Paulina Ayala,Jean-Paul Bédard,Gaëtan Bérard,Valery Chevrefils-Latulippe,Gérard Labelle,Martin Laroche,Pablo Rodriguez,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
24022,"Honoré-Mercier/Honoré-Mercier"," 16","Montréal",74,0,2,1,25,24,84,4,214,465
24022,"Honoré-Mercier/Honoré-Mercier"," 17","Montréal",87,3,5,1,32,31,102,0,261,565
24022,"Honoré-Mercier/Honoré-Mercier"," 18","Montréal",79,0,3,2,26,29,63,4,206,418
24022,"Honoré-Mercier/Honoré-Mercier"," 19","Montréal",86,1,7,0,23,44,53,4,218,551
24022,"Honoré-Mercier/Honoré-Mercier"," 20","Montréal",100,0,3,1,16,45,92,1,258,549
24022,"Honoré-Mercier/Honoré-Mercier"," 21","Montréal",57,0,3,1,26,13,54,3,157,287
24022,"Honoré-Mercier/Honoré-Mercier"," 22","Montréal",103,1,1,0,38,34,76,6,259,558
24022,"Honoré-Mercier/Honoré-Mercier"," 23","Montréal",79,1,7,1,32,26,78,3,227,532
24022,"Honoré-Mercier/Honoré-Mercier"," 24","Montréal",83,0,4,2,33,17,60,0,199,422
24022,"Honoré-Mercier/Honoré-Mercier"," 25","Montréal",58,0,3,2,32,2,80,1,178,298
24022,"Honoré-Mercier/Honoré-Mercier"," 26","Montréal",54,0,3,0,32,15,81,3,188,404
24022,"Honoré-Mercier/Honoré-Mercier"," 27","Montréal",49,0,4,0,20,17,50,1,141,324
24022,"Honoré-Mercier/Honoré-Mercier"," 28","Montréal",40,0,1,1,23,1,53,0,119,259
24022,"Honoré-Mercier/Honoré-Mercier"," 29","Montréal",63,2,5,2,27,8,101,3,211,449
24022,"Honoré-Mercier/Honoré-Mercier"," 30","Montréal",45,0,2,1,12,6,31,5,102,239
24022,"Honoré-Mercier/Honoré-Mercier"," 31","Montréal",51,0,2,0,27,14,79,3,176,486
24022,"Honoré-Mercier/Honoré-Mercier"," 32","Montréal",46,0,4,0,35,6,77,0,168,378
24022,"Honoré-Mercier/Honoré-Mercier"," 33","Montréal",87,0,3,0,35,32,75,7,239,533
24022,"Honoré-Mercier/Honoré-Mercier"," 34","Montréal",59,1,6,0,37,15,89,2,209,390
24022,"Honoré-Mercier/Honoré-Mercier"," 34-1","Montréal",78,0,2,0,49,22,91,1,243,532
24022,"Honoré-Mercier/Honoré-Mercier"," 35","Montréal",79,0,9,1,37,29,86,1,242,419
24022,"Honoré-Mercier/Honoré-Mercier"," 36","Montréal",38,1,1,0,15,18,35,0,108,221
24022,"Honoré-Mercier/Honoré-Mercier"," 37","Montréal",37,1,6,1,28,22,36,1,132,211
24022,"Honoré-Mercier/Honoré-Mercier"," 38","Montréal",44,1,5,2,16,16,91,2,177,345
24022,"Honoré-Mercier/Honoré-Mercier"," 39","Montréal",56,1,3,1,24,27,48,1,161,308
24022,"Honoré-Mercier/Honoré-Mercier"," 40","Montréal",94,0,5,1,16,41,34,2,193,517
24022,"Honoré-Mercier/Honoré-Mercier"," 41","Montréal",34,2,2,0,38,2,56,3,137,305
24022,"Honoré-Mercier/Honoré-Mercier"," 42","Montréal",38,0,3,2,48,2,76,2,171,326
24022,"Honoré-Mercier/Honoré-Mercier"," 43","Montréal",57,0,1,0,29,9,63,0,159,412
24022,"Honoré-Mercier/Honoré-Mercier"," 44","Montréal",20,0,1,1,33,4,92,3,154,288
24022,"Honoré-Mercier/Honoré-Mercier"," 45","Montréal",40,1,5,0,32,2,102,0,182,408
