Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Norbert Kratchmer,Jordan LaPlante,Gerry Ritz,Glenn Tait,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
47001,"Battlefords--Lloydminster/Battlefords--Lloydminster"," 55","North Battleford",Void/Supprimé,,,,,,
47001,"Battlefords--Lloydminster/Battlefords--Lloydminster"," 56","North Battleford",2,5,118,70,0,195,351
47001,"Battlefords--Lloydminster/Battlefords--Lloydminster"," 57","Northminster",6,1,152,21,0,180,304
47001,"Battlefords--Lloydminster/Battlefords--Lloydminster"," 58","Hillmond",10,3,149,25,0,187,340
47001,"Battlefords--Lloydminster/Battlefords--Lloydminster"," 59","Lloydminster",6,0,160,21,0,187,322
47001,"Battlefords--Lloydminster/Battlefords--Lloydminster"," 60","Maidstone",6,1,208,39,0,254,442
47001,"Battlefords--Lloydminster/Battlefords--Lloydminster"," 61","Maidstone",2,4,100,26,1,133,248
47001,"Battlefords--Lloydminster/Battlefords--Lloydminster"," 62","Maidstone",4,0,65,17,0,86,187
47001,"Battlefords--Lloydminster/Battlefords--Lloydminster"," 63","Maidstone",6,4,128,25,0,163,366
47001,"Battlefords--Lloydminster/Battlefords--Lloydminster"," 64","Lloydminster",5,4,95,38,2,144,504
47001,"Battlefords--Lloydminster/Battlefords--Lloydminster"," 65","Lloydminster",5,8,129,43,0,185,511
47001,"Battlefords--Lloydminster/Battlefords--Lloydminster"," 66","Lloydminster",4,5,79,23,1,112,479
47001,"Battlefords--Lloydminster/Battlefords--Lloydminster"," 67","Lloydminster",3,5,104,29,1,142,400
47001,"Battlefords--Lloydminster/Battlefords--Lloydminster"," 68","Lloydminster",6,8,153,34,0,201,496
47001,"Battlefords--Lloydminster/Battlefords--Lloydminster"," 69","Lloydminster",0,0,65,24,0,89,323
47001,"Battlefords--Lloydminster/Battlefords--Lloydminster"," 70","Lloydminster",3,6,94,38,0,141,391
47001,"Battlefords--Lloydminster/Battlefords--Lloydminster"," 71","Lloydminster",6,5,113,51,2,177,577
47001,"Battlefords--Lloydminster/Battlefords--Lloydminster"," 72","Lloydminster",7,4,110,31,1,153,388
47001,"Battlefords--Lloydminster/Battlefords--Lloydminster"," 73","Lloydminster",11,5,149,47,1,213,600
47001,"Battlefords--Lloydminster/Battlefords--Lloydminster"," 74","Lloydminster",3,1,132,28,0,164,423
47001,"Battlefords--Lloydminster/Battlefords--Lloydminster"," 75","Lloydminster",5,0,79,17,0,101,308
47001,"Battlefords--Lloydminster/Battlefords--Lloydminster"," 75-1","Lloydminster",9,6,262,48,1,326,935
47001,"Battlefords--Lloydminster/Battlefords--Lloydminster"," 76","Lloydminster",7,5,121,39,1,173,275
47001,"Battlefords--Lloydminster/Battlefords--Lloydminster"," 77","Marshall",4,1,99,29,0,133,169
47001,"Battlefords--Lloydminster/Battlefords--Lloydminster"," 78","Marshall",11,11,132,36,1,191,432
47001,"Battlefords--Lloydminster/Battlefords--Lloydminster"," 79","Lashburn",2,1,87,12,1,103,156
47001,"Battlefords--Lloydminster/Battlefords--Lloydminster"," 80","Lone Rock",6,1,119,25,0,151,237
