RO Name/Nom du DS,Occupation/Profession,Electoral District Name/Nom de circonscription,Electoral District Number/Numéro de circonscription,Province,Residence/Résidence
Dennis Brown,Retired/Retraité,Avalon,10001,Newfoundland and Labrador/Terre-Neuve-et-Labrador,Bay Roberts
Winnie Roebothan,Retired/Retraitée,Bonavista--Gander--Grand Falls--Windsor,10002,Newfoundland and Labrador/Terre-Neuve-et-Labrador,Gander
Betty Waterman,Retired/Retraitée,Humber--St. Barbe--Baie Verte,10003,Newfoundland and Labrador/Terre-Neuve-et-Labrador,Corner Brook
Andrea Northcott,Network Administrator/Bookkeeper/Administratrice de réseau/comptable,Labrador,10004,Newfoundland and Labrador/Terre-Neuve-et-Labrador,Labrador City
Irene Joy Hodder,Accounting Clerk/Commis comptable,Random--Burin--St. George's,10005,Newfoundland and Labrador/Terre-Neuve-et-Labrador,Marystown
David Wesley Stone,Retired/Retraité,St. John's East/St. John's-Est,10006,Newfoundland and Labrador/Terre-Neuve-et-Labrador,St. John's
Max Harvey,Reitred Naval Officer/Officier de marine retraité,St. John's South--Mount Pearl/St. John's-Sud--Mount Pearl,10007,Newfoundland and Labrador/Terre-Neuve-et-Labrador,Mount Pearl
Mary Elizabeth Dyck,Retired/Retraitée,Cardigan,11001,Prince Edward Island/Île-du-Prince-Édouard,Montague
Kay Atkinson,Retired/Retraitée,Charlottetown,11002,Prince Edward Island/Île-du-Prince-Édouard,Charlottetown
Karen Gallant,Staffing Officer/Agente de dotation,Egmont,11003,Prince Edward Island/Île-du-Prince-Édouard,Wellington
Ernie Stavert,Retired/Retraité,Malpeque,11004,Prince Edward Island/Île-du-Prince-Édouard,Cornwall
Norman Carmichael,Retired/Retraité,Cape Breton--Canso,12001,Nova Scotia/Nouvelle-Écosse,Glace Bay
Lottie Jean Stewart,Travel Counsellor/Conseillère en voyage,Central Nova/Nova-Centre,12002,Nova Scotia/Nouvelle-Écosse,Westville
Darlene MacKay,Administrative Assistant/Adjointe administrative,Cumberland--Colchester--Musquodoboit Valley,12007,Nova Scotia/Nouvelle-Écosse,Truro
G. William Crawford,Retired/Retraité,Dartmouth--Cole Harbour,12003,Nova Scotia/Nouvelle-Écosse,Dartmouth
Catherine T. Nunn,Adult Educator/Éducatrice des adultes,Halifax,12004,Nova Scotia/Nouvelle-Écosse,Halifax
John S. Loch,Consultant,Halifax West/Halifax-Ouest,12005,Nova Scotia/Nouvelle-Écosse,Bedford
Alfred McPherson,Retired/Retraité,Kings--Hants,12006,Nova Scotia/Nouvelle-Écosse,Kentville
Stephen Allen Craig,Retired/Retraité,Sackville--Eastern Shore,12008,Nova Scotia/Nouvelle-Écosse,Lower Sackville
Karen L. Logan,Administration,South Shore--St. Margaret's,12009,Nova Scotia/Nouvelle-Écosse,Bridgewater
Peter Bernard Mombourquette,Retired/Retraité,Sydney--Victoria,12010,Nova Scotia/Nouvelle-Écosse,Sydney
Rose-Aline Gawn,Bookkeeper/Comptable,West Nova/Nova-Ouest,12011,Nova Scotia/Nouvelle-Écosse,Meteghan
Réjean Arseneault,Retired Teacher/Enseignant retraité,Acadie--Bathurst,13001,New Brunswick/Nouveau-Brunswick,Saint-Isidore
Louis Bourgeois,Retired/Retraité,Beauséjour,13002,New Brunswick/Nouveau-Brunswick,Grande-Digue
C. David Desjardins,Executive Director/Directeur général,Fredericton,13003,New Brunswick/Nouveau-Brunswick,New Maryland
Joanne Marie Nice,Retired/Retraitée,Fundy Royal,13004,New Brunswick/Nouveau-Brunswick,Quispamsis
Albert W. Martin,Retired/Retraité,Madawaska--Restigouche,13005,New Brunswick/Nouveau-Brunswick,Saint-Basile
Norman W. Brown,Semi-retired Administrative Manager/Gestionnaire administratif semi-retraité,Miramichi,13006,New Brunswick/Nouveau-Brunswick,Miramichi
Ghislaine Ringuette Crawford,Teacher/Enseignante,Moncton--Riverview--Dieppe,13007,New Brunswick/Nouveau-Brunswick,Moncton
W. Robert Brown,Retired/Retraité,New Brunswick Southwest/Nouveau-Brunswick-Sud-Ouest,13008,New Brunswick/Nouveau-Brunswick,St. Stephen
Fred Fuller,Social Worker/Travailleur social,Saint John,13009,New Brunswick/Nouveau-Brunswick,Saint John
J. Kevin Branswell,Teacher/Enseignant,Tobique--Mactaquac,13010,New Brunswick/Nouveau-Brunswick,Upper Brighton
Terry Hawryluk,I.T. Consultant/Consultant en technologie de l'information,Abitibi--Baie-James--Nunavik--Eeyou,24046,Quebec/Québec,Val-d'Or
Bertrand Trépanier,Consultant,Abitibi--Témiscamingue,24001,Quebec/Québec,Rouyn-Noranda
Jean-Guy Théorêt,Government/Fonctionnaire,Ahuntsic,24002,Quebec/Québec,Montréal
Paul Breton,Communication Consultant/Consultant en communications,Alfred-Pellan,24003,Quebec/Québec,Laval
Lisette Lévesque,Retired/Retraitée,Argenteuil--Papineau--Mirabel,24004,Quebec/Québec,Lachute
Michel Longval,Finance/Finances,Bas-Richelieu--Nicolet--Bécancour,24054,Quebec/Québec,Bécancour
