Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Lewis Cardinal,Laurie Hawn,Mary MacDonald,Peggy Morton,David James Parker,Mikkel Paulson,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
48012,"Edmonton Centre/Edmonton-Centre"," 1","Edmonton",49,126,31,0,4,0,0,210,376
48012,"Edmonton Centre/Edmonton-Centre"," 2","Edmonton",48,64,26,0,3,0,2,143,330
48012,"Edmonton Centre/Edmonton-Centre"," 3","Edmonton",51,54,16,0,1,1,0,123,365
48012,"Edmonton Centre/Edmonton-Centre"," 4","Edmonton",69,143,27,0,11,2,0,252,446
48012,"Edmonton Centre/Edmonton-Centre"," 5","Edmonton",55,103,18,0,6,2,1,185,320
48012,"Edmonton Centre/Edmonton-Centre"," 6","Edmonton",65,118,19,2,5,3,2,214,377
48012,"Edmonton Centre/Edmonton-Centre"," 7","Edmonton",65,155,27,0,6,1,1,255,450
48012,"Edmonton Centre/Edmonton-Centre"," 8","Edmonton",64,131,31,1,9,2,0,238,398
48012,"Edmonton Centre/Edmonton-Centre"," 9","Edmonton",Void/Supprimé,,,,,,,,
48012,"Edmonton Centre/Edmonton-Centre"," 10","Edmonton",59,90,29,0,6,1,0,185,446
48012,"Edmonton Centre/Edmonton-Centre"," 11","Edmonton",50,113,18,1,11,1,0,194,359
48012,"Edmonton Centre/Edmonton-Centre"," 12","Edmonton",39,84,19,0,6,0,0,148,296
48012,"Edmonton Centre/Edmonton-Centre"," 13","Edmonton",50,55,8,0,7,2,1,123,278
48012,"Edmonton Centre/Edmonton-Centre"," 14","Edmonton",59,54,16,0,11,1,2,143,399
48012,"Edmonton Centre/Edmonton-Centre"," 15","Edmonton",90,118,23,0,5,4,1,241,471
48012,"Edmonton Centre/Edmonton-Centre"," 16","Edmonton",63,77,26,0,4,0,1,171,374
