Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Betty Aitchison,Brent Bush,Bill Green,Mark Shmigelsky,David Wilks,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
59012,"Kootenay--Columbia/Kootenay--Columbia"," 1","Revelstoke",8,2,14,79,72,0,175,372
59012,"Kootenay--Columbia/Kootenay--Columbia"," 2","Revelstoke",6,4,19,104,113,2,248,511
59012,"Kootenay--Columbia/Kootenay--Columbia"," 3","Revelstoke",8,3,11,102,99,0,223,477
59012,"Kootenay--Columbia/Kootenay--Columbia"," 4","Revelstoke",20,4,16,93,88,1,222,461
59012,"Kootenay--Columbia/Kootenay--Columbia"," 5","Revelstoke",Void/Supprimé,,,,,,,
59012,"Kootenay--Columbia/Kootenay--Columbia"," 6","Revelstoke",9,1,14,87,50,0,161,284
59012,"Kootenay--Columbia/Kootenay--Columbia"," 7","Revelstoke",4,4,17,58,52,1,136,295
59012,"Kootenay--Columbia/Kootenay--Columbia"," 8","Revelstoke",13,6,24,102,84,0,229,480
59012,"Kootenay--Columbia/Kootenay--Columbia"," 9","Revelstoke",6,3,22,90,73,0,194,445
59012,"Kootenay--Columbia/Kootenay--Columbia"," 10","Revelstoke",8,2,14,83,102,2,211,408
59012,"Kootenay--Columbia/Kootenay--Columbia"," 11","Revelstoke",26,1,25,111,102,4,269,545
59012,"Kootenay--Columbia/Kootenay--Columbia"," 12","Revelstoke",7,3,18,84,66,0,178,421
59012,"Kootenay--Columbia/Kootenay--Columbia"," 13","Revelstoke",14,3,12,73,82,0,184,365
59012,"Kootenay--Columbia/Kootenay--Columbia"," 14","Revelstoke",12,2,23,75,106,1,219,416
59012,"Kootenay--Columbia/Kootenay--Columbia"," 15","Revelstoke",20,3,13,77,97,0,210,372
59012,"Kootenay--Columbia/Kootenay--Columbia"," 16","Donald",1,4,22,85,90,1,203,384
59012,"Kootenay--Columbia/Kootenay--Columbia"," 17","McMurdo",4,1,12,81,73,0,171,319
