Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Julian Fantino,Mario Ferri,Mark Pratt,Claudia Rodriguez-Larrain,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35096,"Vaughan/Vaughan"," 1","Vaughan",210,59,14,20,1,304,550
35096,"Vaughan/Vaughan"," 2","Vaughan",208,77,19,9,0,313,592
35096,"Vaughan/Vaughan"," 3","Vaughan",108,20,11,5,0,144,291
35096,"Vaughan/Vaughan"," 4","Vaughan",126,38,17,5,2,188,419
35096,"Vaughan/Vaughan"," 5","Vaughan",158,48,12,8,1,227,529
35096,"Vaughan/Vaughan"," 6","Vaughan",134,64,21,9,2,230,488
35096,"Vaughan/Vaughan"," 7","Vaughan",150,56,20,3,5,234,573
35096,"Vaughan/Vaughan"," 8","Vaughan",151,74,53,2,4,284,714
35096,"Vaughan/Vaughan"," 9","Vaughan",140,55,31,4,0,230,523
35096,"Vaughan/Vaughan"," 10","Vaughan",123,73,36,7,1,240,705
35096,"Vaughan/Vaughan"," 11A","Vaughan",137,44,30,2,0,213,433
35096,"Vaughan/Vaughan"," 11B","Vaughan",135,52,22,4,0,213,471
35096,"Vaughan/Vaughan"," 11C","Vaughan",149,57,34,4,1,245,475
35096,"Vaughan/Vaughan"," 12A","Vaughan",133,32,17,3,0,185,411
35096,"Vaughan/Vaughan"," 12B","Vaughan",151,27,32,0,0,210,415
35096,"Vaughan/Vaughan"," 13A","Vaughan",134,40,20,3,0,197,432
35096,"Vaughan/Vaughan"," 13B","Vaughan",147,60,29,5,2,243,504
35096,"Vaughan/Vaughan"," 14","Vaughan",87,54,23,3,2,169,524
35096,"Vaughan/Vaughan"," 15","Vaughan",107,55,42,6,4,214,605
35096,"Vaughan/Vaughan"," 16","Vaughan",124,61,31,9,1,226,468
35096,"Vaughan/Vaughan"," 17","Vaughan",168,63,35,4,0,270,542
35096,"Vaughan/Vaughan"," 18","Vaughan",90,56,37,2,1,186,391
35096,"Vaughan/Vaughan"," 19","Vaughan",98,49,28,9,1,185,414
35096,"Vaughan/Vaughan"," 20","Vaughan",192,51,23,7,1,274,549
35096,"Vaughan/Vaughan"," 21","Vaughan",193,76,33,12,1,315,546
35096,"Vaughan/Vaughan"," 22","Vaughan",142,115,31,10,0,298,518
35096,"Vaughan/Vaughan"," 23","Vaughan",80,58,43,5,2,188,382
35096,"Vaughan/Vaughan"," 24","Vaughan",86,68,52,5,0,211,480
35096,"Vaughan/Vaughan"," 25","Vaughan",78,68,36,6,1,189,462
35096,"Vaughan/Vaughan"," 26","Vaughan",89,50,32,7,3,181,427
35096,"Vaughan/Vaughan"," 27","Vaughan",70,49,25,4,2,150,330
35096,"Vaughan/Vaughan"," 28","Vaughan",102,104,22,5,0,233,486
35096,"Vaughan/Vaughan"," 29","Vaughan",124,75,15,3,0,217,444
35096,"Vaughan/Vaughan"," 30","Vaughan",125,44,35,4,1,209,471
35096,"Vaughan/Vaughan"," 31","Vaughan",171,92,22,13,3,301,557
35096,"Vaughan/Vaughan"," 32","Vaughan",84,55,38,10,1,188,390
35096,"Vaughan/Vaughan"," 33","Vaughan",97,57,29,11,2,196,423
35096,"Vaughan/Vaughan"," 34","Vaughan",108,92,51,8,1,260,498
35096,"Vaughan/Vaughan"," 35","Vaughan",141,92,39,3,3,278,480
35096,"Vaughan/Vaughan"," 36","Vaughan",151,100,13,8,5,277,471
35096,"Vaughan/Vaughan"," 37","Vaughan",142,77,55,11,0,285,565
35096,"Vaughan/Vaughan"," 38","Vaughan",109,88,28,8,0,233,454
35096,"Vaughan/Vaughan"," 39","Vaughan",146,71,12,7,0,236,393
35096,"Vaughan/Vaughan"," 40","Vaughan",123,24,14,1,1,163,462
35096,"Vaughan/Vaughan"," 41","Vaughan",157,41,21,3,1,223,607
35096,"Vaughan/Vaughan"," 42","Vaughan",98,47,19,2,5,171,349
35096,"Vaughan/Vaughan"," 43","Vaughan",87,61,33,6,2,189,407
35096,"Vaughan/Vaughan"," 44","Vaughan",103,60,50,10,4,227,576
35096,"Vaughan/Vaughan"," 45","Vaughan",99,72,49,4,2,226,484
35096,"Vaughan/Vaughan"," 46","Vaughan",74,71,31,6,2,184,396
35096,"Vaughan/Vaughan"," 47","Vaughan",105,56,42,6,2,211,477
35096,"Vaughan/Vaughan"," 48","Vaughan",94,65,32,5,1,197,461
35096,"Vaughan/Vaughan"," 49","Vaughan",105,61,54,7,4,231,534
35096,"Vaughan/Vaughan"," 50","Vaughan",101,54,38,2,1,196,381
35096,"Vaughan/Vaughan"," 51","Vaughan",103,69,68,10,1,251,552
35096,"Vaughan/Vaughan"," 52","Vaughan",98,42,41,5,0,186,459
35096,"Vaughan/Vaughan"," 53","Vaughan",118,50,36,4,1,209,522
35096,"Vaughan/Vaughan"," 54","Vaughan",101,59,42,1,1,204,506
35096,"Vaughan/Vaughan"," 55","Vaughan",96,64,68,9,1,238,645
35096,"Vaughan/Vaughan"," 56","Vaughan",81,57,38,5,0,181,461
35096,"Vaughan/Vaughan"," 57","Vaughan",184,100,75,7,3,369,860
35096,"Vaughan/Vaughan"," 58A","Vaughan",150,82,28,3,1,264,534
35096,"Vaughan/Vaughan"," 58B","Vaughan",171,105,27,4,2,309,659
35096,"Vaughan/Vaughan"," 58C","Vaughan",212,102,33,7,2,356,793
35096,"Vaughan/Vaughan"," 58D","Vaughan",164,107,50,2,0,323,697
35096,"Vaughan/Vaughan"," 59","Vaughan",174,59,20,12,1,266,451
35096,"Vaughan/Vaughan"," 60","Vaughan",93,85,20,6,1,205,313
35096,"Vaughan/Vaughan"," 61","Vaughan",183,51,6,2,0,242,418
35096,"Vaughan/Vaughan"," 62","Vaughan",219,33,6,5,0,263,437
35096,"Vaughan/Vaughan"," 63","Vaughan",103,40,9,4,1,157,290
35096,"Vaughan/Vaughan"," 64","Vaughan",68,30,8,6,0,112,256
35096,"Vaughan/Vaughan"," 65","Vaughan",101,51,15,2,2,171,404
35096,"Vaughan/Vaughan"," 66","Vaughan",159,45,13,6,0,223,509
35096,"Vaughan/Vaughan"," 67","Vaughan",148,69,17,4,0,238,508
35096,"Vaughan/Vaughan"," 68","Vaughan",141,85,24,7,1,258,565
35096,"Vaughan/Vaughan"," 69","Vaughan",116,54,24,0,0,194,388
35096,"Vaughan/Vaughan"," 70","Vaughan",168,64,19,2,3,256,459
35096,"Vaughan/Vaughan"," 71","Vaughan",146,78,33,4,1,262,498
35096,"Vaughan/Vaughan"," 72","Vaughan",123,98,35,4,0,260,524
35096,"Vaughan/Vaughan"," 73","Vaughan",137,51,33,3,2,226,597
35096,"Vaughan/Vaughan"," 74","Vaughan",134,58,16,3,3,214,444
35096,"Vaughan/Vaughan"," 75","Vaughan",153,65,42,4,1,265,533
35096,"Vaughan/Vaughan"," 76","Vaughan",123,67,37,8,0,235,483
35096,"Vaughan/Vaughan"," 77","Vaughan",128,45,26,3,2,204,435
35096,"Vaughan/Vaughan"," 78","Vaughan",124,58,25,1,1,209,445
35096,"Vaughan/Vaughan"," 79","Vaughan",131,70,11,5,2,219,439
35096,"Vaughan/Vaughan"," 80","Vaughan",159,68,28,5,3,263,554
35096,"Vaughan/Vaughan"," 81","Vaughan",142,65,37,1,2,247,509
35096,"Vaughan/Vaughan"," 82","Vaughan",135,78,21,3,1,238,455
35096,"Vaughan/Vaughan"," 83","Vaughan",91,66,29,2,1,189,467
35096,"Vaughan/Vaughan"," 84A","Vaughan",152,42,11,4,1,210,438
35096,"Vaughan/Vaughan"," 84B","Vaughan",119,42,9,5,1,176,396
35096,"Vaughan/Vaughan"," 85","Vaughan",209,100,34,4,4,351,692
35096,"Vaughan/Vaughan"," 86","Vaughan",135,79,49,4,0,267,668
35096,"Vaughan/Vaughan"," 87","Vaughan",95,61,24,2,2,184,351
35096,"Vaughan/Vaughan"," 88","Vaughan",91,52,37,3,0,183,382
35096,"Vaughan/Vaughan"," 89","Vaughan",129,88,35,5,2,259,545
35096,"Vaughan/Vaughan"," 90","Vaughan",140,74,34,5,1,254,575
35096,"Vaughan/Vaughan"," 91","Vaughan",126,46,38,3,2,215,478
35096,"Vaughan/Vaughan"," 92","Vaughan",68,44,29,7,3,151,333
35096,"Vaughan/Vaughan"," 93","Vaughan",95,84,68,13,0,260,622
35096,"Vaughan/Vaughan"," 94","Vaughan",75,30,36,5,0,146,353
35096,"Vaughan/Vaughan"," 95","Vaughan",102,59,37,3,1,202,444
35096,"Vaughan/Vaughan"," 96","Vaughan",121,70,37,4,1,233,579
35096,"Vaughan/Vaughan"," 97","Vaughan",134,81,26,6,1,248,524
35096,"Vaughan/Vaughan"," 98","Vaughan",96,49,13,4,0,162,429
35096,"Vaughan/Vaughan"," 99","Vaughan",126,100,40,11,2,279,560
35096,"Vaughan/Vaughan"," 100","Vaughan",92,43,34,3,0,172,401
35096,"Vaughan/Vaughan"," 101","Vaughan",139,96,43,8,6,292,547
35096,"Vaughan/Vaughan"," 102","Vaughan",76,63,34,1,0,174,475
35096,"Vaughan/Vaughan"," 103","Vaughan",87,20,34,4,1,146,394
