Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Rebecca Blaikie,John Harvie,Frank Komarniski,Kevin Lamoureux,Ann Matejicka,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
46012,"Winnipeg North/Winnipeg-Nord"," 1","Winnipeg",66,2,0,139,61,0,268,612
46012,"Winnipeg North/Winnipeg-Nord"," 2","Winnipeg",39,2,0,72,49,2,164,376
46012,"Winnipeg North/Winnipeg-Nord"," 3","Winnipeg",67,4,0,89,33,0,193,359
46012,"Winnipeg North/Winnipeg-Nord"," 4","Winnipeg",48,2,1,143,71,0,265,473
46012,"Winnipeg North/Winnipeg-Nord"," 5","Winnipeg",39,1,0,91,41,2,174,358
46012,"Winnipeg North/Winnipeg-Nord"," 6","Winnipeg",51,0,0,91,79,0,221,414
46012,"Winnipeg North/Winnipeg-Nord"," 7","Winnipeg",38,0,1,99,40,0,178,467
46012,"Winnipeg North/Winnipeg-Nord"," 8","Winnipeg",52,1,0,114,29,1,197,432
46012,"Winnipeg North/Winnipeg-Nord"," 9","Winnipeg",63,1,0,50,23,1,138,381
46012,"Winnipeg North/Winnipeg-Nord"," 10","Winnipeg",46,3,0,87,51,0,187,443
46012,"Winnipeg North/Winnipeg-Nord"," 11","Winnipeg",44,3,0,118,69,0,234,472
46012,"Winnipeg North/Winnipeg-Nord"," 12","Winnipeg",37,4,1,106,57,2,207,449
46012,"Winnipeg North/Winnipeg-Nord"," 13","Winnipeg",21,3,0,137,53,0,214,477
46012,"Winnipeg North/Winnipeg-Nord"," 14","Winnipeg",40,4,0,126,51,1,222,456
46012,"Winnipeg North/Winnipeg-Nord"," 15","Winnipeg",37,2,0,134,30,3,206,408
46012,"Winnipeg North/Winnipeg-Nord"," 16","Winnipeg",52,1,0,129,61,1,244,526
46012,"Winnipeg North/Winnipeg-Nord"," 17","Winnipeg",42,3,1,91,53,1,191,409
46012,"Winnipeg North/Winnipeg-Nord"," 18","Winnipeg",33,1,0,96,33,0,163,410
46012,"Winnipeg North/Winnipeg-Nord"," 19","Winnipeg",50,2,0,81,42,1,176,420
46012,"Winnipeg North/Winnipeg-Nord"," 20","Winnipeg",45,2,0,82,42,1,172,379
46012,"Winnipeg North/Winnipeg-Nord"," 21","Winnipeg",47,2,1,70,58,1,179,412
46012,"Winnipeg North/Winnipeg-Nord"," 22","Winnipeg",32,2,1,73,46,0,154,418
46012,"Winnipeg North/Winnipeg-Nord"," 23","Winnipeg",24,0,1,45,22,0,92,294
46012,"Winnipeg North/Winnipeg-Nord"," 24","Winnipeg",39,0,0,112,51,2,204,419
46012,"Winnipeg North/Winnipeg-Nord"," 25","Winnipeg",40,1,2,89,47,0,179,384
46012,"Winnipeg North/Winnipeg-Nord"," 26","Winnipeg",30,0,0,39,26,0,95,217
46012,"Winnipeg North/Winnipeg-Nord"," 27","Winnipeg",54,3,0,60,59,0,176,402
46012,"Winnipeg North/Winnipeg-Nord"," 28","Winnipeg",65,7,0,51,50,1,174,359
46012,"Winnipeg North/Winnipeg-Nord"," 29","Winnipeg",58,2,0,43,40,1,144,311
46012,"Winnipeg North/Winnipeg-Nord"," 30","Winnipeg",49,0,0,20,5,0,74,273
46012,"Winnipeg North/Winnipeg-Nord"," 31","Winnipeg",51,2,1,71,44,0,169,378
46012,"Winnipeg North/Winnipeg-Nord"," 32","Winnipeg",54,2,0,54,34,1,145,336
46012,"Winnipeg North/Winnipeg-Nord"," 33","Winnipeg",62,1,0,33,38,3,137,320
46012,"Winnipeg North/Winnipeg-Nord"," 34","Winnipeg",42,3,1,59,51,3,159,333
46012,"Winnipeg North/Winnipeg-Nord"," 35","Winnipeg",53,2,1,52,37,0,145,322
46012,"Winnipeg North/Winnipeg-Nord"," 36","Winnipeg",24,1,0,29,15,1,70,186
46012,"Winnipeg North/Winnipeg-Nord"," 37","Winnipeg",55,1,4,63,46,0,169,355
46012,"Winnipeg North/Winnipeg-Nord"," 38","Winnipeg",37,1,0,32,42,1,113,247
46012,"Winnipeg North/Winnipeg-Nord"," 39","Winnipeg",55,0,0,46,31,0,132,287
46012,"Winnipeg North/Winnipeg-Nord"," 40","Winnipeg",44,1,0,43,60,0,148,325
46012,"Winnipeg North/Winnipeg-Nord"," 41","Winnipeg",61,6,1,69,69,0,206,436
46012,"Winnipeg North/Winnipeg-Nord"," 42","Winnipeg",59,2,0,26,54,0,141,299
46012,"Winnipeg North/Winnipeg-Nord"," 43","Winnipeg",85,3,1,133,57,0,279,516
46012,"Winnipeg North/Winnipeg-Nord"," 44","Winnipeg",57,0,0,115,65,0,237,435
46012,"Winnipeg North/Winnipeg-Nord"," 45A","Winnipeg",32,3,0,115,25,0,175,373
46012,"Winnipeg North/Winnipeg-Nord"," 45B","Winnipeg",31,1,1,121,31,0,185,398
46012,"Winnipeg North/Winnipeg-Nord"," 46","Winnipeg",54,2,0,69,61,1,187,390
46012,"Winnipeg North/Winnipeg-Nord"," 47","Winnipeg",67,3,0,76,76,0,222,484
46012,"Winnipeg North/Winnipeg-Nord"," 48","Winnipeg",41,0,1,94,49,0,185,421
46012,"Winnipeg North/Winnipeg-Nord"," 49","Winnipeg",46,2,0,99,49,2,198,394
46012,"Winnipeg North/Winnipeg-Nord"," 50","Winnipeg",49,2,0,92,43,0,186,400
46012,"Winnipeg North/Winnipeg-Nord"," 51","Winnipeg",55,2,0,68,51,0,176,441
46012,"Winnipeg North/Winnipeg-Nord"," 52","Winnipeg",36,2,1,35,37,1,112,345
46012,"Winnipeg North/Winnipeg-Nord"," 53","Winnipeg",65,3,0,65,73,1,207,402
46012,"Winnipeg North/Winnipeg-Nord"," 54","Winnipeg",63,3,1,43,73,0,183,408
46012,"Winnipeg North/Winnipeg-Nord"," 55","Winnipeg",47,0,2,40,50,1,140,310
46012,"Winnipeg North/Winnipeg-Nord"," 56","Winnipeg",74,7,1,68,55,1,206,409
46012,"Winnipeg North/Winnipeg-Nord"," 57","Winnipeg",42,1,0,54,41,1,139,322
46012,"Winnipeg North/Winnipeg-Nord"," 58","Winnipeg",43,4,0,32,39,0,118,410
46012,"Winnipeg North/Winnipeg-Nord"," 59","Winnipeg",55,3,1,49,50,0,158,381
46012,"Winnipeg North/Winnipeg-Nord"," 60","Winnipeg",32,3,1,52,17,1,106,402
46012,"Winnipeg North/Winnipeg-Nord"," 61","Winnipeg",41,3,1,56,40,0,141,390
46012,"Winnipeg North/Winnipeg-Nord"," 62","Winnipeg",65,3,0,107,66,1,242,474
46012,"Winnipeg North/Winnipeg-Nord"," 63","Winnipeg",79,1,2,70,59,0,211,423
46012,"Winnipeg North/Winnipeg-Nord"," 64","Winnipeg",62,2,0,46,81,0,191,429
46012,"Winnipeg North/Winnipeg-Nord"," 65","Winnipeg",48,2,0,66,29,2,147,342
46012,"Winnipeg North/Winnipeg-Nord"," 66","Winnipeg",60,0,0,39,47,1,147,343
46012,"Winnipeg North/Winnipeg-Nord"," 67","Winnipeg",57,6,1,69,56,0,189,407
46012,"Winnipeg North/Winnipeg-Nord"," 68","Winnipeg",31,0,0,46,24,0,101,230
46012,"Winnipeg North/Winnipeg-Nord"," 69","Winnipeg",22,3,0,24,23,2,74,248
46012,"Winnipeg North/Winnipeg-Nord"," 70","Winnipeg",53,1,1,48,45,0,148,321
46012,"Winnipeg North/Winnipeg-Nord"," 71","Winnipeg",35,1,0,64,32,0,132,281
46012,"Winnipeg North/Winnipeg-Nord"," 72","Winnipeg",52,2,1,44,81,0,180,357
46012,"Winnipeg North/Winnipeg-Nord"," 73","Winnipeg",51,5,0,98,106,2,262,523
46012,"Winnipeg North/Winnipeg-Nord"," 74","Winnipeg",55,2,1,38,55,0,151,438
46012,"Winnipeg North/Winnipeg-Nord"," 75","Winnipeg",48,1,0,50,68,0,167,374
46012,"Winnipeg North/Winnipeg-Nord"," 76","Winnipeg",40,2,0,31,30,0,103,325
46012,"Winnipeg North/Winnipeg-Nord"," 77","Winnipeg",50,2,0,24,32,0,108,318
46012,"Winnipeg North/Winnipeg-Nord"," 78","Winnipeg",67,1,1,16,43,0,128,304
46012,"Winnipeg North/Winnipeg-Nord"," 79","Winnipeg",73,2,2,17,57,1,152,377
46012,"Winnipeg North/Winnipeg-Nord"," 80","Winnipeg",87,5,4,33,41,0,170,411
46012,"Winnipeg North/Winnipeg-Nord"," 81","Winnipeg",61,2,0,13,29,0,105,264
46012,"Winnipeg North/Winnipeg-Nord"," 82","Winnipeg",69,5,3,28,52,0,157,435
46012,"Winnipeg North/Winnipeg-Nord"," 83","Winnipeg",80,3,0,17,23,0,123,360
46012,"Winnipeg North/Winnipeg-Nord"," 84","Winnipeg",90,5,1,28,36,0,160,389
46012,"Winnipeg North/Winnipeg-Nord"," 85","Winnipeg",83,2,1,11,32,1,130,355
46012,"Winnipeg North/Winnipeg-Nord"," 86","Winnipeg",62,1,3,15,40,0,121,373
46012,"Winnipeg North/Winnipeg-Nord"," 87","Winnipeg",74,6,3,28,45,0,156,252
46012,"Winnipeg North/Winnipeg-Nord"," 88","Winnipeg",103,7,0,29,61,0,200,390
46012,"Winnipeg North/Winnipeg-Nord"," 89","Winnipeg",62,1,1,18,47,0,129,277
46012,"Winnipeg North/Winnipeg-Nord"," 90","Winnipeg",99,7,2,23,50,1,182,378
46012,"Winnipeg North/Winnipeg-Nord"," 91","Winnipeg",130,12,2,24,44,1,213,382
46012,"Winnipeg North/Winnipeg-Nord"," 92","Winnipeg",92,3,0,30,46,1,172,356
46012,"Winnipeg North/Winnipeg-Nord"," 93","Winnipeg",85,7,1,26,31,0,150,315
46012,"Winnipeg North/Winnipeg-Nord"," 94","Winnipeg",71,1,0,42,59,0,173,404
46012,"Winnipeg North/Winnipeg-Nord"," 95","Winnipeg",61,0,0,62,41,0,164,355
46012,"Winnipeg North/Winnipeg-Nord"," 96","Winnipeg",57,5,0,28,42,1,133,348
