Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Joe Hill,Mike Janssens,Jim Johnston,Bev Shipley,Gayle Stucke,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35046,"Lambton--Kent--Middlesex/Lambton--Kent--Middlesex"," 1","Grand Bend",54,0,7,121,27,1,210,384
35046,"Lambton--Kent--Middlesex/Lambton--Kent--Middlesex"," 2","Grand Bend",55,0,6,115,20,0,196,314
35046,"Lambton--Kent--Middlesex/Lambton--Kent--Middlesex"," 3","Bosanquet",48,0,8,114,35,1,206,305
35046,"Lambton--Kent--Middlesex/Lambton--Kent--Middlesex"," 4","Bosanquet",44,0,3,129,45,0,221,355
35046,"Lambton--Kent--Middlesex/Lambton--Kent--Middlesex"," 5","Bosanquet",54,0,8,177,54,2,295,520
35046,"Lambton--Kent--Middlesex/Lambton--Kent--Middlesex"," 6","Bosanquet",99,3,3,160,36,1,302,546
35046,"Lambton--Kent--Middlesex/Lambton--Kent--Middlesex"," 7","Bosanquet",77,2,8,129,21,0,237,572
35046,"Lambton--Kent--Middlesex/Lambton--Kent--Middlesex"," 8","Bosanquet",66,0,9,163,32,0,270,497
35046,"Lambton--Kent--Middlesex/Lambton--Kent--Middlesex"," 9","Bosanquet",60,0,12,114,24,1,211,363
35046,"Lambton--Kent--Middlesex/Lambton--Kent--Middlesex"," 10","Bosanquet",61,1,9,134,29,1,235,463
35046,"Lambton--Kent--Middlesex/Lambton--Kent--Middlesex"," 11","Kettle Point 44",69,0,3,74,31,0,177,307
35046,"Lambton--Kent--Middlesex/Lambton--Kent--Middlesex"," 12","Kettle Point 44",82,0,3,22,16,1,124,352
35046,"Lambton--Kent--Middlesex/Lambton--Kent--Middlesex"," 13","Bosanquet",57,1,8,136,36,1,239,477
35046,"Lambton--Kent--Middlesex/Lambton--Kent--Middlesex"," 14","Forest",63,0,14,116,20,2,215,413
35046,"Lambton--Kent--Middlesex/Lambton--Kent--Middlesex"," 15","Forest",59,3,8,103,10,0,183,361
35046,"Lambton--Kent--Middlesex/Lambton--Kent--Middlesex"," 16","Lambton Shores",47,2,5,111,20,1,186,399
35046,"Lambton--Kent--Middlesex/Lambton--Kent--Middlesex"," 16-1","Lambton Shores",30,1,1,93,16,0,141,298
35046,"Lambton--Kent--Middlesex/Lambton--Kent--Middlesex"," 17","Forest",45,1,2,94,42,1,185,414
35046,"Lambton--Kent--Middlesex/Lambton--Kent--Middlesex"," 18","Forest",63,3,1,112,36,4,219,399
35046,"Lambton--Kent--Middlesex/Lambton--Kent--Middlesex"," 19","Bosanquet",56,1,5,90,24,2,178,324
35046,"Lambton--Kent--Middlesex/Lambton--Kent--Middlesex"," 20","Bosanquet",59,3,8,199,32,0,301,502
35046,"Lambton--Kent--Middlesex/Lambton--Kent--Middlesex"," 21","Thedford",46,1,2,89,20,0,158,282
35046,"Lambton--Kent--Middlesex/Lambton--Kent--Middlesex"," 22","Thedford",58,1,7,103,21,3,193,346
35046,"Lambton--Kent--Middlesex/Lambton--Kent--Middlesex"," 23","Lambton Shores",50,1,3,211,21,1,287,428
35046,"Lambton--Kent--Middlesex/Lambton--Kent--Middlesex"," 24","Arkona",Void/Supprimé,,,,,,,
35046,"Lambton--Kent--Middlesex/Lambton--Kent--Middlesex"," 25","North Middlesex",35,1,6,150,25,1,218,358
35046,"Lambton--Kent--Middlesex/Lambton--Kent--Middlesex"," 26","North Middlesex",30,0,5,123,25,2,185,273
35046,"Lambton--Kent--Middlesex/Lambton--Kent--Middlesex"," 27","Parkhill",59,1,6,117,25,0,208,391
35046,"Lambton--Kent--Middlesex/Lambton--Kent--Middlesex"," 28","Parkhill",30,0,1,84,19,1,135,240
35046,"Lambton--Kent--Middlesex/Lambton--Kent--Middlesex"," 29","Parkhill",39,0,11,99,15,2,166,304
35046,"Lambton--Kent--Middlesex/Lambton--Kent--Middlesex"," 30","Parkhill",23,0,3,69,19,1,115,224
35046,"Lambton--Kent--Middlesex/Lambton--Kent--Middlesex"," 31","North Middlesex",31,1,5,123,10,0,170,311
35046,"Lambton--Kent--Middlesex/Lambton--Kent--Middlesex"," 32","McGillivray",23,2,6,105,9,0,145,272
35046,"Lambton--Kent--Middlesex/Lambton--Kent--Middlesex"," 33","McGillivray",17,3,5,141,26,1,193,294
35046,"Lambton--Kent--Middlesex/Lambton--Kent--Middlesex"," 34","Mooresville",59,0,8,114,17,0,198,361
35046,"Lambton--Kent--Middlesex/Lambton--Kent--Middlesex"," 35","Elginfield",64,0,15,118,38,2,237,434
35046,"Lambton--Kent--Middlesex/Lambton--Kent--Middlesex"," 36","Granton",65,1,19,147,26,3,261,414
35046,"Lambton--Kent--Middlesex/Lambton--Kent--Middlesex"," 37","Lucan",71,1,13,184,26,0,295,546
35046,"Lambton--Kent--Middlesex/Lambton--Kent--Middlesex"," 38","Lucan",24,0,2,97,11,0,134,214
35046,"Lambton--Kent--Middlesex/Lambton--Kent--Middlesex"," 39","Lucan",38,0,11,98,14,0,161,350
35046,"Lambton--Kent--Middlesex/Lambton--Kent--Middlesex"," 40","Lucan",58,3,13,199,30,1,304,527
35046,"Lambton--Kent--Middlesex/Lambton--Kent--Middlesex"," 41","Clandeboye",48,0,9,155,25,0,237,394
35046,"Lambton--Kent--Middlesex/Lambton--Kent--Middlesex"," 42","North Middlesex",23,4,15,134,26,0,202,317
35046,"Lambton--Kent--Middlesex/Lambton--Kent--Middlesex"," 43","Ailsa Craig",29,1,1,117,22,0,170,256
35046,"Lambton--Kent--Middlesex/Lambton--Kent--Middlesex"," 44","Ailsa Craig",65,1,10,192,27,5,300,469
35046,"Lambton--Kent--Middlesex/Lambton--Kent--Middlesex"," 45","North Middlesex",67,10,8,165,28,3,281,452
35046,"Lambton--Kent--Middlesex/Lambton--Kent--Middlesex"," 46","North Middlesex",9,1,3,74,10,0,97,161
35046,"Lambton--Kent--Middlesex/Lambton--Kent--Middlesex"," 47","North Middlesex",32,0,11,115,33,0,191,317
35046,"Lambton--Kent--Middlesex/Lambton--Kent--Middlesex"," 48","Denfield",53,0,15,170,27,1,266,449
35046,"Lambton--Kent--Middlesex/Lambton--Kent--Middlesex"," 49","Bryanston",61,0,15,167,23,0,266,404
35046,"Lambton--Kent--Middlesex/Lambton--Kent--Middlesex"," 50","Bryanston",50,1,8,197,40,2,298,473
