Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Yves Dufour,Jason Fuoco,Roger Gaudet,Marianne Girard,Manon Perreault,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
24043,"Montcalm/Montcalm"," 1","Saint-Calixte",7,3,66,6,78,0,160,417
24043,"Montcalm/Montcalm"," 2","Saint-Calixte",7,10,54,7,70,1,149,384
24043,"Montcalm/Montcalm"," 3","Saint-Calixte",11,15,56,0,112,7,201,434
24043,"Montcalm/Montcalm"," 4","Saint-Calixte",11,14,52,5,89,1,172,470
24043,"Montcalm/Montcalm"," 5","Sainte-Julienne",0,18,73,8,99,4,202,496
24043,"Montcalm/Montcalm"," 6","Sainte-Julienne",2,12,72,12,108,3,209,453
24043,"Montcalm/Montcalm"," 6-1","Sainte-Julienne",3,14,48,5,75,2,147,412
24043,"Montcalm/Montcalm"," 7","Sainte-Julienne",7,13,78,8,111,4,221,425
24043,"Montcalm/Montcalm"," 8","Sainte-Julienne",5,12,50,3,102,2,174,379
24043,"Montcalm/Montcalm"," 9","Sainte-Julienne",3,15,54,1,70,3,146,369
24043,"Montcalm/Montcalm"," 9-1","Sainte-Julienne",5,16,53,7,82,2,165,410
24043,"Montcalm/Montcalm"," 10","Sainte-Julienne",3,15,75,3,95,0,191,482
24043,"Montcalm/Montcalm"," 11","Sainte-Julienne",4,17,63,6,96,5,191,443
24043,"Montcalm/Montcalm"," 11-1","Sainte-Julienne",7,20,63,6,144,3,243,530
24043,"Montcalm/Montcalm"," 12","Sainte-Julienne",10,14,106,12,156,4,302,650
24043,"Montcalm/Montcalm"," 13","Sainte-Julienne",12,6,49,5,64,5,141,425
24043,"Montcalm/Montcalm"," 14","Sainte-Julienne",6,7,36,3,74,1,127,385
24043,"Montcalm/Montcalm"," 15","Sainte-Julienne",12,6,71,4,123,3,219,493
24043,"Montcalm/Montcalm"," 16","Sainte-Julienne",7,9,86,10,69,9,190,409
24043,"Montcalm/Montcalm"," 17","Saint-Calixte",6,14,75,3,93,5,196,441
24043,"Montcalm/Montcalm"," 18","Saint-Calixte",5,15,73,2,86,4,185,456
24043,"Montcalm/Montcalm"," 19","Saint-Calixte",2,9,72,2,84,2,171,457
24043,"Montcalm/Montcalm"," 20","Saint-Calixte",3,25,44,7,91,3,173,464
