Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Giulio Manfrini,George Okoth Otura,Judy Sgro,Arthur Smitherman,Unblind Kheper Keseb Efekh Tibbin,Audrey Walters,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35106,"York West/York-Ouest"," 1","North York",50,3,98,1,4,53,2,211,412
35106,"York West/York-Ouest"," 2","North York",31,0,153,2,5,29,2,222,439
35106,"York West/York-Ouest"," 3","North York",35,0,88,0,0,27,0,150,335
35106,"York West/York-Ouest"," 4A","North York",21,3,68,1,1,30,1,125,313
35106,"York West/York-Ouest"," 4B","North York",48,1,54,0,0,18,1,122,272
35106,"York West/York-Ouest"," 5","North York",27,0,97,1,4,40,1,170,307
35106,"York West/York-Ouest"," 6","North York",34,1,97,0,5,72,0,209,327
35106,"York West/York-Ouest"," 7","North York",47,1,89,0,4,47,3,191,362
35106,"York West/York-Ouest"," 8","North York",39,1,65,2,2,56,0,165,350
35106,"York West/York-Ouest"," 9","North York",26,3,91,0,3,36,2,161,361
35106,"York West/York-Ouest"," 10","North York",49,4,100,2,1,26,1,183,320
35106,"York West/York-Ouest"," 11","North York",64,1,130,0,6,41,1,243,496
35106,"York West/York-Ouest"," 12A","North York",42,0,60,0,2,17,0,121,253
35106,"York West/York-Ouest"," 12B","North York",52,3,59,0,1,36,0,151,280
35106,"York West/York-Ouest"," 13","North York",13,0,93,1,0,22,5,134,269
35106,"York West/York-Ouest"," 14","North York",25,1,56,1,1,37,0,121,243
35106,"York West/York-Ouest"," 15","North York",Void/Supprimé,,,,,,,,
35106,"York West/York-Ouest"," 16","North York",41,0,95,0,1,38,3,178,407
35106,"York West/York-Ouest"," 17","North York",20,1,62,0,2,17,1,103,316
35106,"York West/York-Ouest"," 17-1","North York",29,0,68,0,3,33,1,134,287
35106,"York West/York-Ouest"," 18","North York",57,0,74,1,2,24,1,159,460
35106,"York West/York-Ouest"," 18-1","North York",Void/Supprimé,,,,,,,,
35106,"York West/York-Ouest"," 19","North York",Void/Supprimé,,,,,,,,
35106,"York West/York-Ouest"," 20","North York",34,2,77,0,1,29,1,144,227
35106,"York West/York-Ouest"," 21","North York",21,1,31,1,0,24,0,78,297
35106,"York West/York-Ouest"," 22","North York",37,1,34,0,0,19,0,91,381
35106,"York West/York-Ouest"," 23","North York",57,1,79,2,1,47,1,188,522
35106,"York West/York-Ouest"," 24","North York",56,2,35,0,1,32,0,126,458
35106,"York West/York-Ouest"," 25","North York",30,3,93,0,2,28,3,159,293
35106,"York West/York-Ouest"," 26","North York",48,1,143,3,0,63,8,266,435
35106,"York West/York-Ouest"," 27","North York",50,3,95,1,3,61,1,214,413
35106,"York West/York-Ouest"," 28","North York",41,2,35,2,2,37,2,121,385
35106,"York West/York-Ouest"," 29","North York",43,3,130,3,3,37,7,226,456
35106,"York West/York-Ouest"," 30","North York",73,2,92,0,0,19,4,190,464
35106,"York West/York-Ouest"," 31","North York",51,0,49,0,3,29,1,133,435
35106,"York West/York-Ouest"," 32","North York",42,1,73,2,3,26,0,147,462
35106,"York West/York-Ouest"," 33","North York",55,1,73,2,3,27,1,162,426
35106,"York West/York-Ouest"," 34","North York",35,0,49,1,2,40,0,127,291
35106,"York West/York-Ouest"," 35","North York",50,7,66,5,4,49,4,185,388
35106,"York West/York-Ouest"," 36","North York",44,5,60,4,2,38,1,154,357
35106,"York West/York-Ouest"," 37","North York",33,0,68,0,0,20,0,121,259
35106,"York West/York-Ouest"," 38","North York",43,2,65,2,1,38,3,154,300
35106,"York West/York-Ouest"," 39","North York",32,1,46,1,3,27,1,111,353
35106,"York West/York-Ouest"," 40","North York",18,1,46,0,2,13,1,81,267
35106,"York West/York-Ouest"," 41","North York",47,0,93,2,4,33,1,180,384
35106,"York West/York-Ouest"," 42","North York",38,0,58,1,2,24,0,123,331
35106,"York West/York-Ouest"," 43","North York",Void/Supprimé,,,,,,,,
35106,"York West/York-Ouest"," 44","North York",Void/Supprimé,,,,,,,,
35106,"York West/York-Ouest"," 45","North York",73,0,61,2,3,35,2,176,473
35106,"York West/York-Ouest"," 46","North York",9,0,5,0,2,0,0,16,219
35106,"York West/York-Ouest"," 47","North York",Void/Supprimé,,,,,,,,
35106,"York West/York-Ouest"," 48","North York",Void/Supprimé,,,,,,,,
35106,"York West/York-Ouest"," 48-1","North York",39,0,21,0,3,16,0,79,219
35106,"York West/York-Ouest"," 48-2","North York",121,0,72,1,8,46,0,248,659
35106,"York West/York-Ouest"," 48-3","North York",54,0,22,0,3,14,0,93,192
35106,"York West/York-Ouest"," 49","North York",33,0,19,0,5,11,0,68,181
35106,"York West/York-Ouest"," 49-1","North York",89,2,42,0,6,40,2,181,455
35106,"York West/York-Ouest"," 50","North York",Void/Supprimé,,,,,,,,
35106,"York West/York-Ouest"," 51","North York",33,1,34,1,1,24,0,94,334
35106,"York West/York-Ouest"," 52","North York",60,0,41,0,1,32,3,137,329
35106,"York West/York-Ouest"," 52-1","North York",Void/Supprimé,,,,,,,,
35106,"York West/York-Ouest"," 53","North York",69,0,57,0,3,51,3,183,460
35106,"York West/York-Ouest"," 54","North York",34,1,46,3,1,28,1,114,329
35106,"York West/York-Ouest"," 55","North York",50,0,56,1,1,30,6,144,291
35106,"York West/York-Ouest"," 55-1","North York",50,2,49,1,2,22,0,126,270
35106,"York West/York-Ouest"," 55-2","North York",66,1,51,1,2,37,1,159,362
35106,"York West/York-Ouest"," 56","North York",35,4,49,1,2,31,4,126,250
35106,"York West/York-Ouest"," 57","North York",18,0,65,0,2,36,3,124,262
35106,"York West/York-Ouest"," 58","North York",59,2,79,1,1,55,0,197,381
35106,"York West/York-Ouest"," 59","North York",26,0,48,1,3,28,0,106,263
35106,"York West/York-Ouest"," 60","North York",58,0,78,0,1,37,0,174,417
35106,"York West/York-Ouest"," 61","North York",34,3,53,0,2,66,0,158,292
35106,"York West/York-Ouest"," 62","North York",52,0,69,1,2,40,0,164,365
35106,"York West/York-Ouest"," 63","North York",33,2,82,0,4,46,1,168,343
35106,"York West/York-Ouest"," 64","North York",50,0,93,0,3,40,1,187,381
35106,"York West/York-Ouest"," 65","North York",43,0,65,0,4,41,2,155,380
35106,"York West/York-Ouest"," 66","North York",20,2,48,0,1,16,2,89,287
35106,"York West/York-Ouest"," 67A","North York",31,0,24,0,1,22,0,78,270
35106,"York West/York-Ouest"," 67B","North York",26,0,32,0,1,17,0,76,302
35106,"York West/York-Ouest"," 68","North York",69,1,75,2,6,48,4,205,441
35106,"York West/York-Ouest"," 69","North York",48,3,57,2,1,45,2,158,323
35106,"York West/York-Ouest"," 70","North York",39,0,80,1,0,38,4,162,317
35106,"York West/York-Ouest"," 71","North York",60,5,95,2,5,37,1,205,456
35106,"York West/York-Ouest"," 72","North York",43,4,62,1,4,5,0,119,284
35106,"York West/York-Ouest"," 73","North York",44,3,43,3,2,32,1,128,339
35106,"York West/York-Ouest"," 74","North York",29,0,34,2,6,22,1,94,284
35106,"York West/York-Ouest"," 75A","North York",31,1,53,0,3,33,0,121,238
35106,"York West/York-Ouest"," 75B","North York",25,0,51,1,1,28,1,107,263
35106,"York West/York-Ouest"," 76","North York",44,3,94,3,1,47,5,197,369
35106,"York West/York-Ouest"," 77","North York",24,1,55,1,0,33,0,114,252
35106,"York West/York-Ouest"," 78","North York",48,1,81,2,0,49,0,181,359
35106,"York West/York-Ouest"," 79","North York",38,1,90,0,1,44,3,177,352
35106,"York West/York-Ouest"," 80","North York",50,1,89,2,1,43,4,190,322
35106,"York West/York-Ouest"," 81","North York",32,3,60,1,2,26,2,126,279
35106,"York West/York-Ouest"," 82","North York",56,0,97,1,1,22,1,178,336
35106,"York West/York-Ouest"," 83","North York",37,2,82,3,2,25,3,154,233
35106,"York West/York-Ouest"," 83-1","North York",59,4,75,2,2,28,4,174,345
35106,"York West/York-Ouest"," 84","North York",23,2,58,0,2,22,0,107,212
35106,"York West/York-Ouest"," 85","North York",35,2,106,3,4,33,0,183,401
35106,"York West/York-Ouest"," 86","North York",44,2,110,0,4,50,0,210,420
35106,"York West/York-Ouest"," 87","North York",65,3,82,1,4,41,1,197,487
35106,"York West/York-Ouest"," 88","North York",49,1,89,1,5,46,1,192,440
35106,"York West/York-Ouest"," 89","North York",55,1,49,2,0,18,0,125,348
35106,"York West/York-Ouest"," 90","North York",29,0,71,0,5,19,4,128,269
35106,"York West/York-Ouest"," 91","North York",68,2,62,2,2,50,1,187,383
35106,"York West/York-Ouest"," 92","North York",55,1,51,1,3,32,5,148,366
35106,"York West/York-Ouest"," 93A","North York",33,2,30,2,0,11,0,78,264
35106,"York West/York-Ouest"," 93B","North York",36,0,44,1,0,19,4,104,239
35106,"York West/York-Ouest"," 94","North York",38,0,62,0,1,16,2,119,350
35106,"York West/York-Ouest"," 95","North York",30,3,77,2,2,13,0,127,365
35106,"York West/York-Ouest"," 96","North York",65,1,85,0,0,25,1,177,448
35106,"York West/York-Ouest"," 97","North York",Void/Supprimé,,,,,,,,
35106,"York West/York-Ouest"," 98","North York",32,2,49,0,1,14,1,99,279
35106,"York West/York-Ouest"," 98-1","North York",21,2,44,0,3,5,1,76,278
35106,"York West/York-Ouest"," 99","North York",Void/Supprimé,,,,,,,,
35106,"York West/York-Ouest"," 100","North York",57,0,84,1,9,50,0,201,471
35106,"York West/York-Ouest"," 101","North York",46,1,81,0,1,35,5,169,315
35106,"York West/York-Ouest"," 102","North York",25,4,70,0,0,37,1,137,279
35106,"York West/York-Ouest"," 103","North York",27,0,88,2,2,36,0,155,316
35106,"York West/York-Ouest"," 104","North York",42,2,86,0,1,33,2,166,335
35106,"York West/York-Ouest"," 105","North York",37,4,44,3,0,27,1,116,329
35106,"York West/York-Ouest"," 106","North York",41,0,108,1,1,38,3,192,420
35106,"York West/York-Ouest"," 107","North York",49,6,99,4,2,49,2,211,365
35106,"York West/York-Ouest"," 108","North York",63,3,89,1,2,49,1,208,521
35106,"York West/York-Ouest"," 109","North York",Void/Supprimé,,,,,,,,
35106,"York West/York-Ouest"," 110A","North York",27,2,31,0,2,18,3,83,246
35106,"York West/York-Ouest"," 110B","North York",26,0,41,0,1,13,0,81,243
35106,"York West/York-Ouest"," 110-1","North York",19,1,78,2,2,33,0,135,254
35106,"York West/York-Ouest"," 111","North York",50,2,89,0,0,30,0,171,364
35106,"York West/York-Ouest"," 112","North York",35,1,63,0,0,29,1,129,239
35106,"York West/York-Ouest"," 113","North York",48,3,80,1,0,49,0,181,348
35106,"York West/York-Ouest"," 114A","North York",29,0,28,0,3,29,1,90,244
35106,"York West/York-Ouest"," 114B","North York",20,0,49,1,1,20,1,92,271
35106,"York West/York-Ouest"," 115","North York",60,0,80,0,5,32,2,179,411
35106,"York West/York-Ouest"," 116","North York",59,0,50,0,1,15,0,125,390
35106,"York West/York-Ouest"," 116-1","North York",34,1,57,0,2,25,1,120,268
35106,"York West/York-Ouest"," 117","North York",Void/Supprimé,,,,,,,,
35106,"York West/York-Ouest"," 118","North York",35,3,93,0,6,50,1,188,389
35106,"York West/York-Ouest"," 119","North York",21,1,14,0,1,33,0,70,218
35106,"York West/York-Ouest"," 120","North York",42,3,60,1,2,36,0,144,388
35106,"York West/York-Ouest"," 121","North York",31,3,60,1,5,23,3,126,280
35106,"York West/York-Ouest"," 121-1","North York",Void/Supprimé,,,,,,,,
35106,"York West/York-Ouest"," 122","North York",56,0,84,3,4,30,3,180,382
35106,"York West/York-Ouest"," 123","North York",42,1,74,2,5,41,1,166,342
35106,"York West/York-Ouest"," 124","North York",29,1,58,1,3,56,0,148,338
35106,"York West/York-Ouest"," 125","North York",47,0,79,1,6,40,0,173,327
35106,"York West/York-Ouest"," 126","North York",25,2,76,1,2,57,0,163,279
35106,"York West/York-Ouest"," 127","North York",67,1,86,1,6,37,1,199,385
35106,"York West/York-Ouest"," 128","North York",41,0,108,2,2,50,2,205,410
35106,"York West/York-Ouest"," 129","North York",Void/Supprimé,,,,,,,,
35106,"York West/York-Ouest"," 130","North York",32,0,50,0,4,53,0,139,290
35106,"York West/York-Ouest"," 131","North York",25,0,50,0,3,32,3,113,239
35106,"York West/York-Ouest"," 132","North York",19,1,61,0,2,38,0,121,265
35106,"York West/York-Ouest"," 133","North York",29,1,83,0,3,50,3,169,342
35106,"York West/York-Ouest"," 134","North York",26,3,73,0,4,64,3,173,314
35106,"York West/York-Ouest"," 135","North York",Void/Supprimé,,,,,,,,
35106,"York West/York-Ouest"," 136","North York",33,0,45,0,4,26,1,109,218
35106,"York West/York-Ouest"," 136-1","North York",44,0,61,1,2,54,0,162,393
35106,"York West/York-Ouest"," 136-2","North York",31,0,36,0,3,32,0,102,183
35106,"York West/York-Ouest"," 136-3","North York",Merged with No. 136-2/Fusionné avec le nº 136-2,,,,,,,,69
35106,"York West/York-Ouest"," 137","North York",40,0,69,1,1,26,2,139,285
