Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Dan Albas,Dan Bouchard,David Finnis,John Kidder,Sean Upshaw,Dietrich Wittel,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
59020,"Okanagan--Coquihalla/Okanagan--Coquihalla"," 1","Logan Lake",138,11,68,14,0,1,2,234,389
59020,"Okanagan--Coquihalla/Okanagan--Coquihalla"," 2A","Logan Lake",64,4,47,5,1,0,0,121,227
59020,"Okanagan--Coquihalla/Okanagan--Coquihalla"," 2B","Logan Lake",93,13,46,15,3,0,0,170,274
59020,"Okanagan--Coquihalla/Okanagan--Coquihalla"," 3A","Logan Lake",111,5,41,8,1,0,0,166,250
59020,"Okanagan--Coquihalla/Okanagan--Coquihalla"," 3B","Logan Lake",96,3,57,12,0,0,0,168,263
59020,"Okanagan--Coquihalla/Okanagan--Coquihalla"," 4","Logan Lake",125,4,53,19,0,1,0,202,355
59020,"Okanagan--Coquihalla/Okanagan--Coquihalla"," 5","Lower Nicola",13,1,4,3,0,0,0,21,42
59020,"Okanagan--Coquihalla/Okanagan--Coquihalla"," 6","Lower Nicola",134,19,58,15,3,2,0,231,373
59020,"Okanagan--Coquihalla/Okanagan--Coquihalla"," 7","Lower Nicola",124,12,43,24,2,1,0,206,335
59020,"Okanagan--Coquihalla/Okanagan--Coquihalla"," 8A","Lower Nicola",71,12,37,9,3,0,1,133,306
59020,"Okanagan--Coquihalla/Okanagan--Coquihalla"," 8B","Lower Nicola",75,10,46,10,3,1,0,145,310
59020,"Okanagan--Coquihalla/Okanagan--Coquihalla"," 9","Coldwater 1",Void/Supprimé,,,,,,,,
59020,"Okanagan--Coquihalla/Okanagan--Coquihalla"," 10","Aspen Grove",Void/Supprimé,,,,,,,,
59020,"Okanagan--Coquihalla/Okanagan--Coquihalla"," 11A","Merritt",131,10,67,10,1,0,1,220,431
59020,"Okanagan--Coquihalla/Okanagan--Coquihalla"," 11B","Merritt",120,10,58,11,4,1,0,204,439
59020,"Okanagan--Coquihalla/Okanagan--Coquihalla"," 12","Lower Nicola",67,18,69,10,4,0,1,169,435
59020,"Okanagan--Coquihalla/Okanagan--Coquihalla"," 13","Quilchena",58,4,36,22,2,0,0,122,251
59020,"Okanagan--Coquihalla/Okanagan--Coquihalla"," 14","Douglas Lake",Void/Supprimé,,,,,,,,
59020,"Okanagan--Coquihalla/Okanagan--Coquihalla"," 15","Merritt",141,10,39,37,3,1,2,233,469
59020,"Okanagan--Coquihalla/Okanagan--Coquihalla"," 16","Merritt",152,20,55,36,4,0,0,267,471
59020,"Okanagan--Coquihalla/Okanagan--Coquihalla"," 17A","Merritt",73,5,14,14,0,0,0,106,232
59020,"Okanagan--Coquihalla/Okanagan--Coquihalla"," 17B","Merritt",97,6,32,28,1,0,1,165,280
59020,"Okanagan--Coquihalla/Okanagan--Coquihalla"," 18","Merritt",104,19,59,16,4,0,1,203,412
59020,"Okanagan--Coquihalla/Okanagan--Coquihalla"," 19A","Merritt",46,13,35,6,0,0,1,101,294
59020,"Okanagan--Coquihalla/Okanagan--Coquihalla"," 19B","Merritt",53,5,36,13,3,0,0,110,312
59020,"Okanagan--Coquihalla/Okanagan--Coquihalla"," 20","Merritt",97,21,64,16,1,0,1,200,427
59020,"Okanagan--Coquihalla/Okanagan--Coquihalla"," 21","Merritt",87,13,55,16,1,0,0,172,390
59020,"Okanagan--Coquihalla/Okanagan--Coquihalla"," 22","Merritt",70,12,51,10,2,1,2,148,393
59020,"Okanagan--Coquihalla/Okanagan--Coquihalla"," 23","Merritt",67,7,43,10,3,0,0,130,336
59020,"Okanagan--Coquihalla/Okanagan--Coquihalla"," 24","Merritt",69,6,26,21,0,0,0,122,229
59020,"Okanagan--Coquihalla/Okanagan--Coquihalla"," 24-1","Merritt",67,20,33,10,3,0,0,133,327
59020,"Okanagan--Coquihalla/Okanagan--Coquihalla"," 25","Merritt",94,13,64,20,3,0,1,195,451
59020,"Okanagan--Coquihalla/Okanagan--Coquihalla"," 26A","Killiney Beach",84,19,38,6,0,0,1,148,257
59020,"Okanagan--Coquihalla/Okanagan--Coquihalla"," 26B","Killiney Beach",65,19,64,11,4,1,1,165,292
59020,"Okanagan--Coquihalla/Okanagan--Coquihalla"," 27","Fintry",99,21,81,9,1,1,1,213,395
59020,"Okanagan--Coquihalla/Okanagan--Coquihalla"," 28A","Wilson Landing",65,11,29,17,0,0,0,122,246
59020,"Okanagan--Coquihalla/Okanagan--Coquihalla"," 28B","Wilson Landing",71,9,28,17,3,0,1,129,259
59020,"Okanagan--Coquihalla/Okanagan--Coquihalla"," 29A","Glenrosa",73,13,33,13,2,0,1,135,242
59020,"Okanagan--Coquihalla/Okanagan--Coquihalla"," 29B","Glenrosa",98,14,32,13,2,1,0,160,277
59020,"Okanagan--Coquihalla/Okanagan--Coquihalla"," 30","Glenrosa",123,14,44,15,3,0,0,199,382
59020,"Okanagan--Coquihalla/Okanagan--Coquihalla"," 30-1","Glenrosa",111,10,34,11,3,1,0,170,375
59020,"Okanagan--Coquihalla/Okanagan--Coquihalla"," 31","Peachland",109,13,50,23,1,0,1,197,359
59020,"Okanagan--Coquihalla/Okanagan--Coquihalla"," 31-1","Peachland",127,13,41,14,3,3,1,202,395
59020,"Okanagan--Coquihalla/Okanagan--Coquihalla"," 32","Peachland",144,17,45,12,4,2,0,224,395
59020,"Okanagan--Coquihalla/Okanagan--Coquihalla"," 33A","Peachland",57,13,24,12,4,0,0,110,224
59020,"Okanagan--Coquihalla/Okanagan--Coquihalla"," 33B","Peachland",81,9,27,16,2,0,0,135,256
59020,"Okanagan--Coquihalla/Okanagan--Coquihalla"," 34A","Peachland",75,15,41,15,2,0,0,148,285
59020,"Okanagan--Coquihalla/Okanagan--Coquihalla"," 34B","Peachland",86,18,27,18,2,2,1,154,298
59020,"Okanagan--Coquihalla/Okanagan--Coquihalla"," 35A","Peachland",70,9,32,10,5,0,2,128,238
59020,"Okanagan--Coquihalla/Okanagan--Coquihalla"," 35B","Peachland",62,16,32,12,2,0,0,124,248
59020,"Okanagan--Coquihalla/Okanagan--Coquihalla"," 36A","Peachland",69,6,32,16,1,1,0,125,222
59020,"Okanagan--Coquihalla/Okanagan--Coquihalla"," 36B","Peachland",59,11,38,4,3,2,0,117,235
59020,"Okanagan--Coquihalla/Okanagan--Coquihalla"," 37A","Peachland",52,11,40,17,3,0,1,124,233
59020,"Okanagan--Coquihalla/Okanagan--Coquihalla"," 37B","Peachland",88,11,22,12,0,1,0,134,245
59020,"Okanagan--Coquihalla/Okanagan--Coquihalla"," 38","Peachland",83,14,41,12,1,0,0,151,282
59020,"Okanagan--Coquihalla/Okanagan--Coquihalla"," 39","Peachland",96,25,35,15,6,2,0,179,350
59020,"Okanagan--Coquihalla/Okanagan--Coquihalla"," 40A","Glenrosa",59,9,38,7,3,2,0,118,225
59020,"Okanagan--Coquihalla/Okanagan--Coquihalla"," 40B","Glenrosa",66,10,25,15,5,0,0,121,241
59020,"Okanagan--Coquihalla/Okanagan--Coquihalla"," 41A","Glenrosa",53,11,42,16,1,0,0,123,243
59020,"Okanagan--Coquihalla/Okanagan--Coquihalla"," 41B","Glenrosa",67,11,30,7,3,0,0,118,256
59020,"Okanagan--Coquihalla/Okanagan--Coquihalla"," 42","Glenrosa",97,19,55,15,2,2,2,192,394
59020,"Okanagan--Coquihalla/Okanagan--Coquihalla"," 43","Glenrosa",85,24,32,17,1,0,2,161,380
