Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Jim Maloway,Ilona Niemczyk,Lawrence Toet,Ellen Young,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
46005,"Elmwood--Transcona/Elmwood--Transcona"," 93","Winnipeg",98,12,60,8,0,178,375
46005,"Elmwood--Transcona/Elmwood--Transcona"," 94","Winnipeg",84,12,75,4,0,175,399
46005,"Elmwood--Transcona/Elmwood--Transcona"," 95","Winnipeg",81,8,72,2,0,163,293
46005,"Elmwood--Transcona/Elmwood--Transcona"," 96","Winnipeg",53,5,73,7,0,138,260
46005,"Elmwood--Transcona/Elmwood--Transcona"," 97","Winnipeg",62,6,22,2,0,92,331
46005,"Elmwood--Transcona/Elmwood--Transcona"," 98","Winnipeg",42,12,29,3,1,87,374
46005,"Elmwood--Transcona/Elmwood--Transcona"," 99","Winnipeg",65,3,25,2,0,95,320
46005,"Elmwood--Transcona/Elmwood--Transcona"," 100","Winnipeg",72,8,51,4,1,136,405
46005,"Elmwood--Transcona/Elmwood--Transcona"," 101","Winnipeg",42,9,44,6,0,101,207
46005,"Elmwood--Transcona/Elmwood--Transcona"," 102","Winnipeg",74,15,61,8,3,161,414
46005,"Elmwood--Transcona/Elmwood--Transcona"," 103","Winnipeg",75,12,73,5,1,166,375
46005,"Elmwood--Transcona/Elmwood--Transcona"," 104","Winnipeg",120,8,141,1,0,270,464
46005,"Elmwood--Transcona/Elmwood--Transcona"," 105A","Winnipeg",60,13,66,4,0,143,246
46005,"Elmwood--Transcona/Elmwood--Transcona"," 105B","Winnipeg",65,15,89,3,0,172,267
46005,"Elmwood--Transcona/Elmwood--Transcona"," 105-1","Winnipeg",45,1,63,2,0,111,236
46005,"Elmwood--Transcona/Elmwood--Transcona"," 106A","Winnipeg",44,5,67,0,0,116,235
46005,"Elmwood--Transcona/Elmwood--Transcona"," 106B","Winnipeg",90,6,87,3,1,187,294
46005,"Elmwood--Transcona/Elmwood--Transcona"," 107A","Winnipeg",65,6,78,4,0,153,260
46005,"Elmwood--Transcona/Elmwood--Transcona"," 107B","Winnipeg",69,10,92,1,0,172,283
46005,"Elmwood--Transcona/Elmwood--Transcona"," 108A","Winnipeg",73,4,81,4,0,162,286
46005,"Elmwood--Transcona/Elmwood--Transcona"," 108B","Winnipeg",46,2,42,3,1,94,284
46005,"Elmwood--Transcona/Elmwood--Transcona"," 109","Winnipeg",59,5,55,5,0,124,205
46005,"Elmwood--Transcona/Elmwood--Transcona"," 110","Winnipeg",47,5,90,1,2,145,262
46005,"Elmwood--Transcona/Elmwood--Transcona"," 111","Winnipeg",50,1,62,6,0,119,249
46005,"Elmwood--Transcona/Elmwood--Transcona"," 112","Winnipeg",81,7,67,2,0,157,296
46005,"Elmwood--Transcona/Elmwood--Transcona"," 113","Winnipeg",64,7,59,4,0,134,257
46005,"Elmwood--Transcona/Elmwood--Transcona"," 114","Winnipeg",52,8,55,8,0,123,275
46005,"Elmwood--Transcona/Elmwood--Transcona"," 115","Winnipeg",62,2,62,10,0,136,343
46005,"Elmwood--Transcona/Elmwood--Transcona"," 116","Winnipeg",65,12,53,4,0,134,289
46005,"Elmwood--Transcona/Elmwood--Transcona"," 117","Winnipeg",74,8,102,3,0,187,297
46005,"Elmwood--Transcona/Elmwood--Transcona"," 118","Winnipeg",74,5,68,8,0,155,305
46005,"Elmwood--Transcona/Elmwood--Transcona"," 119","Winnipeg",95,2,73,7,0,177,387
46005,"Elmwood--Transcona/Elmwood--Transcona"," 120","Winnipeg",69,7,74,1,0,151,365
46005,"Elmwood--Transcona/Elmwood--Transcona"," 121","Winnipeg",78,12,68,6,0,164,378
46005,"Elmwood--Transcona/Elmwood--Transcona"," 122","Winnipeg",79,5,108,2,0,194,384
46005,"Elmwood--Transcona/Elmwood--Transcona"," 123","Winnipeg",82,9,143,5,1,240,467
46005,"Elmwood--Transcona/Elmwood--Transcona"," 124","Winnipeg",66,7,144,9,0,226,426
46005,"Elmwood--Transcona/Elmwood--Transcona"," 125A","Winnipeg",46,4,82,2,0,134,226
46005,"Elmwood--Transcona/Elmwood--Transcona"," 125B","Winnipeg",56,4,69,2,0,131,225
46005,"Elmwood--Transcona/Elmwood--Transcona"," 126","Winnipeg",52,7,76,3,1,139,234
46005,"Elmwood--Transcona/Elmwood--Transcona"," 127","Winnipeg",77,12,137,4,0,230,378
46005,"Elmwood--Transcona/Elmwood--Transcona"," 128","Winnipeg",102,7,93,11,0,213,394
46005,"Elmwood--Transcona/Elmwood--Transcona"," 129","Winnipeg",78,6,97,5,0,186,374
46005,"Elmwood--Transcona/Elmwood--Transcona"," 130","Winnipeg",71,7,118,7,0,203,355
46005,"Elmwood--Transcona/Elmwood--Transcona"," 131","Winnipeg",84,8,115,8,1,216,423
46005,"Elmwood--Transcona/Elmwood--Transcona"," 132","Winnipeg",85,6,95,6,0,192,404
46005,"Elmwood--Transcona/Elmwood--Transcona"," 133","Winnipeg",122,6,103,3,2,236,443
46005,"Elmwood--Transcona/Elmwood--Transcona"," 134","Winnipeg",76,6,106,4,1,193,389
46005,"Elmwood--Transcona/Elmwood--Transcona"," 135","Winnipeg",94,4,96,6,2,202,374
46005,"Elmwood--Transcona/Elmwood--Transcona"," 136","Winnipeg",56,3,79,4,0,142,299
46005,"Elmwood--Transcona/Elmwood--Transcona"," 137","Winnipeg",57,9,65,4,1,136,276
46005,"Elmwood--Transcona/Elmwood--Transcona"," 138","Winnipeg",100,1,69,1,0,171,319
46005,"Elmwood--Transcona/Elmwood--Transcona"," 139","Winnipeg",95,8,98,8,1,210,379
46005,"Elmwood--Transcona/Elmwood--Transcona"," 140","Winnipeg",106,10,91,4,0,211,346
46005,"Elmwood--Transcona/Elmwood--Transcona"," 141","Winnipeg",76,8,74,1,0,159,318
46005,"Elmwood--Transcona/Elmwood--Transcona"," 142","Winnipeg",57,9,95,4,0,165,282
46005,"Elmwood--Transcona/Elmwood--Transcona"," 143","Winnipeg",81,4,75,5,2,167,398
46005,"Elmwood--Transcona/Elmwood--Transcona"," 144","Winnipeg",89,5,85,8,0,187,391
46005,"Elmwood--Transcona/Elmwood--Transcona"," 145","Winnipeg",99,3,97,8,1,208,404
46005,"Elmwood--Transcona/Elmwood--Transcona"," 146","Winnipeg",95,3,107,4,1,210,406
46005,"Elmwood--Transcona/Elmwood--Transcona"," 147","Winnipeg",70,12,109,2,0,193,375
46005,"Elmwood--Transcona/Elmwood--Transcona"," 148","Winnipeg",103,6,81,7,1,198,361
46005,"Elmwood--Transcona/Elmwood--Transcona"," 149","Winnipeg",69,5,40,4,0,118,245
46005,"Elmwood--Transcona/Elmwood--Transcona"," 150","Winnipeg",76,4,99,3,0,182,357
