Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Andrew Cash,Miguel Figueroa,Simon Luisi,Theresa Rodrigues,Wayne Scott,Mario Silva,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35015,"Davenport/Davenport"," 1","Toronto",49,0,1,43,1,55,0,149,261
35015,"Davenport/Davenport"," 1-1","Toronto",36,0,1,17,1,37,0,92,293
35015,"Davenport/Davenport"," 1-2","Toronto",27,1,0,21,1,44,0,94,235
35015,"Davenport/Davenport"," 2","Toronto",82,0,1,44,11,47,0,185,379
35015,"Davenport/Davenport"," 3","Toronto",43,0,1,27,2,37,1,111,291
35015,"Davenport/Davenport"," 4","Toronto",55,0,1,46,4,47,0,153,337
35015,"Davenport/Davenport"," 5","Toronto",77,0,0,30,4,52,3,166,357
35015,"Davenport/Davenport"," 6","Toronto",64,0,0,47,1,64,0,176,302
35015,"Davenport/Davenport"," 7","Toronto",78,3,2,52,6,73,1,215,415
35015,"Davenport/Davenport"," 8","Toronto",63,1,1,55,5,66,2,193,397
35015,"Davenport/Davenport"," 9","Toronto",59,2,0,43,6,59,1,170,371
35015,"Davenport/Davenport"," 10","Toronto",52,0,0,46,2,55,0,155,377
35015,"Davenport/Davenport"," 11","Toronto",89,0,1,45,3,36,0,174,345
35015,"Davenport/Davenport"," 12","Toronto",63,0,0,31,1,59,1,155,353
35015,"Davenport/Davenport"," 13","Toronto",40,1,0,42,2,72,1,158,353
35015,"Davenport/Davenport"," 14","Toronto",47,2,0,39,3,90,1,182,422
35015,"Davenport/Davenport"," 15","Toronto",96,1,1,43,5,62,0,208,461
35015,"Davenport/Davenport"," 16","Toronto",86,0,2,29,7,59,0,183,475
35015,"Davenport/Davenport"," 17","Toronto",75,1,1,27,5,55,0,164,347
35015,"Davenport/Davenport"," 18","Toronto",45,0,1,20,2,48,2,118,342
35015,"Davenport/Davenport"," 18-1","Toronto",88,0,0,24,6,64,2,184,436
35015,"Davenport/Davenport"," 18-2","Toronto",46,1,2,35,2,22,0,108,301
35015,"Davenport/Davenport"," 19","Toronto",74,0,0,25,5,45,1,150,323
35015,"Davenport/Davenport"," 19-1","Toronto",65,0,1,20,2,49,1,138,318
35015,"Davenport/Davenport"," 20","Toronto",36,1,0,20,2,63,3,125,310
35015,"Davenport/Davenport"," 21","Toronto",45,0,1,47,6,94,0,193,398
35015,"Davenport/Davenport"," 22","Toronto",64,0,2,21,0,56,1,144,342
35015,"Davenport/Davenport"," 23","Toronto",72,1,0,31,4,75,1,184,391
35015,"Davenport/Davenport"," 24","Toronto",108,2,1,35,5,81,0,232,456
35015,"Davenport/Davenport"," 25","Toronto",62,0,0,53,5,82,1,203,407
35015,"Davenport/Davenport"," 26","Toronto",76,1,2,47,6,75,3,210,446
35015,"Davenport/Davenport"," 27","Toronto",82,0,1,36,4,63,2,188,404
35015,"Davenport/Davenport"," 28","Toronto",51,0,0,23,3,52,1,130,356
