Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Michael Bates,Michael Bell,Dean Del Mastro,Betsy McGregor,Dave Nickle,Gordon Scott,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35071,"Peterborough/Peterborough"," 1","Jack Lake",0,1,17,3,9,0,0,30,38
35071,"Peterborough/Peterborough"," 1-1","Oak Lake",0,8,49,6,15,1,0,79,167
35071,"Peterborough/Peterborough"," 1-2","Nephton",0,0,18,4,5,0,0,27,52
35071,"Peterborough/Peterborough"," 2","Cordova Mines",1,9,112,14,61,0,1,198,323
35071,"Peterborough/Peterborough"," 3","Round Lake",1,15,141,16,76,3,1,253,480
35071,"Peterborough/Peterborough"," 4","Blairton",0,4,165,19,62,0,0,250,516
35071,"Peterborough/Peterborough"," 5","Havelock-Belmont-Methuen",0,13,71,9,45,0,0,138,252
35071,"Peterborough/Peterborough"," 6","Havelock-Belmont-Methuen",1,6,112,10,43,1,0,173,321
35071,"Peterborough/Peterborough"," 7","Havelock",0,5,78,4,28,0,0,115,283
35071,"Peterborough/Peterborough"," 8","Havelock",0,6,89,19,41,2,0,157,357
35071,"Peterborough/Peterborough"," 9","Havelock",1,3,126,26,39,0,1,196,455
35071,"Peterborough/Peterborough"," 10","Havelock-Belmont-Methuen",0,4,82,10,42,0,1,139,287
35071,"Peterborough/Peterborough"," 11","Wesley",0,6,141,42,67,2,0,258,653
35071,"Peterborough/Peterborough"," 12","Curve Lake First Nation",0,5,57,32,87,2,0,183,334
35071,"Peterborough/Peterborough"," 13","Curve Lake First Nation",1,4,52,36,116,0,0,209,404
35071,"Peterborough/Peterborough"," 14","Selwyn",1,4,187,50,61,1,1,305,626
35071,"Peterborough/Peterborough"," 15","Youngs Point",0,12,97,11,24,1,0,145,251
35071,"Peterborough/Peterborough"," 16","Youngs Point",0,20,126,44,54,3,0,247,471
35071,"Peterborough/Peterborough"," 17","Smith-Ennismore-Lakefield",0,14,118,59,55,0,0,246,504
35071,"Peterborough/Peterborough"," 18","Lakefield",3,12,173,74,79,1,0,342,724
35071,"Peterborough/Peterborough"," 19","Lakefield",1,11,100,54,67,1,0,234,399
35071,"Peterborough/Peterborough"," 20","Lakefield",1,6,131,66,65,1,1,271,482
35071,"Peterborough/Peterborough"," 21","Lakefield",0,13,74,30,50,3,0,170,302
35071,"Peterborough/Peterborough"," 22","Lakefield",0,7,95,41,85,4,0,232,442
35071,"Peterborough/Peterborough"," 23","Smith-Ennismore-Lakefield",0,7,97,31,46,0,1,182,364
35071,"Peterborough/Peterborough"," 24","Peterborough",1,8,153,30,39,0,1,232,422
35071,"Peterborough/Peterborough"," 25","Peterborough",0,14,184,64,96,2,1,361,694
