Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,André Arthur,Richard Côté,Claudine Delorme,Élaine Michaud,Réjean Thériault,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
24051,"Portneuf--Jacques-Cartier/Portneuf--Jacques-Cartier"," 19","Sainte-Brigitte-de-Laval",67,33,12,129,2,4,247,517
24051,"Portneuf--Jacques-Cartier/Portneuf--Jacques-Cartier"," 20A","Sainte-Brigitte-de-Laval",66,42,9,107,6,4,234,489
24051,"Portneuf--Jacques-Cartier/Portneuf--Jacques-Cartier"," 20B","Sainte-Brigitte-de-Laval",71,39,5,119,6,7,247,493
24051,"Portneuf--Jacques-Cartier/Portneuf--Jacques-Cartier"," 21","Lac-Beauport",64,41,4,150,18,5,282,526
24051,"Portneuf--Jacques-Cartier/Portneuf--Jacques-Cartier"," 22","Lac-Beauport",82,48,9,122,18,7,286,534
24051,"Portneuf--Jacques-Cartier/Portneuf--Jacques-Cartier"," 23","Lac-Beauport",58,88,5,192,32,9,384,660
24051,"Portneuf--Jacques-Cartier/Portneuf--Jacques-Cartier"," 24","Lac-Beauport",66,68,7,149,34,4,328,521
24051,"Portneuf--Jacques-Cartier/Portneuf--Jacques-Cartier"," 25","Lac-Beauport",78,46,4,117,22,7,274,420
24051,"Portneuf--Jacques-Cartier/Portneuf--Jacques-Cartier"," 26","Lac-Beauport",58,51,14,139,24,8,294,535
24051,"Portneuf--Jacques-Cartier/Portneuf--Jacques-Cartier"," 27","Lac-Beauport",41,68,7,140,19,2,277,493
24051,"Portneuf--Jacques-Cartier/Portneuf--Jacques-Cartier"," 28","Lac-Beauport",86,68,10,185,38,9,396,613
24051,"Portneuf--Jacques-Cartier/Portneuf--Jacques-Cartier"," 29","Lac-Beauport",73,55,9,147,21,4,309,481
24051,"Portneuf--Jacques-Cartier/Portneuf--Jacques-Cartier"," 30","Lac-Beauport",94,49,9,143,35,6,336,562
24051,"Portneuf--Jacques-Cartier/Portneuf--Jacques-Cartier"," 31","Rivière-à-Pierre",62,32,2,61,12,0,169,272
24051,"Portneuf--Jacques-Cartier/Portneuf--Jacques-Cartier"," 32","Saint-Raymond",82,32,8,112,16,6,256,543
24051,"Portneuf--Jacques-Cartier/Portneuf--Jacques-Cartier"," 33","Saint-Raymond",91,33,7,112,8,2,253,415
24051,"Portneuf--Jacques-Cartier/Portneuf--Jacques-Cartier"," 34","Saint-Raymond",79,50,5,103,16,5,258,470
24051,"Portneuf--Jacques-Cartier/Portneuf--Jacques-Cartier"," 35","Saint-Raymond",94,40,4,140,7,5,290,571
24051,"Portneuf--Jacques-Cartier/Portneuf--Jacques-Cartier"," 36","Lac-Sergent",52,51,5,87,10,1,206,339
24051,"Portneuf--Jacques-Cartier/Portneuf--Jacques-Cartier"," 36-1","Saint-Raymond",59,23,2,73,6,3,166,317
24051,"Portneuf--Jacques-Cartier/Portneuf--Jacques-Cartier"," 37","Saint-Raymond",77,31,5,98,7,8,226,584
