Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,André Arthur,Richard Côté,Claudine Delorme,Élaine Michaud,Réjean Thériault,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
24051,"Portneuf--Jacques-Cartier/Portneuf--Jacques-Cartier"," 74","Saint-Augustin-de-Desmaures",107,65,9,172,34,0,387,713
24051,"Portneuf--Jacques-Cartier/Portneuf--Jacques-Cartier"," 75","Saint-Augustin-de-Desmaures",66,67,2,127,20,4,286,457
24051,"Portneuf--Jacques-Cartier/Portneuf--Jacques-Cartier"," 76","Saint-Augustin-de-Desmaures",58,50,8,111,14,5,246,418
24051,"Portneuf--Jacques-Cartier/Portneuf--Jacques-Cartier"," 77","Saint-Augustin-de-Desmaures",23,17,1,63,8,3,115,257
24051,"Portneuf--Jacques-Cartier/Portneuf--Jacques-Cartier"," 77-1","Saint-Augustin-de-Desmaures",51,26,5,111,12,3,208,371
24051,"Portneuf--Jacques-Cartier/Portneuf--Jacques-Cartier"," 78","Saint-Augustin-de-Desmaures",64,52,4,106,14,6,246,415
24051,"Portneuf--Jacques-Cartier/Portneuf--Jacques-Cartier"," 79","Saint-Augustin-de-Desmaures",47,35,6,118,14,5,225,383
24051,"Portneuf--Jacques-Cartier/Portneuf--Jacques-Cartier"," 80","Saint-Augustin-de-Desmaures",41,54,2,90,15,8,210,364
24051,"Portneuf--Jacques-Cartier/Portneuf--Jacques-Cartier"," 81","Saint-Augustin-de-Desmaures",68,65,3,109,12,4,261,441
24051,"Portneuf--Jacques-Cartier/Portneuf--Jacques-Cartier"," 82","Saint-Augustin-de-Desmaures",50,59,11,111,19,6,256,396
24051,"Portneuf--Jacques-Cartier/Portneuf--Jacques-Cartier"," 83","Saint-Augustin-de-Desmaures",102,82,14,161,29,5,393,677
24051,"Portneuf--Jacques-Cartier/Portneuf--Jacques-Cartier"," 83-1","Saint-Augustin-de-Desmaures",25,35,2,75,17,0,154,303
24051,"Portneuf--Jacques-Cartier/Portneuf--Jacques-Cartier"," 84","Saint-Augustin-de-Desmaures",68,27,3,83,14,2,197,418
24051,"Portneuf--Jacques-Cartier/Portneuf--Jacques-Cartier"," 85","Saint-Augustin-de-Desmaures",80,32,4,88,7,6,217,438
24051,"Portneuf--Jacques-Cartier/Portneuf--Jacques-Cartier"," 86","Saint-Augustin-de-Desmaures",49,34,9,109,12,5,218,478
24051,"Portneuf--Jacques-Cartier/Portneuf--Jacques-Cartier"," 87","Saint-Augustin-de-Desmaures",53,65,5,171,28,9,331,534
24051,"Portneuf--Jacques-Cartier/Portneuf--Jacques-Cartier"," 88","Saint-Augustin-de-Desmaures",59,57,13,148,22,4,303,508
24051,"Portneuf--Jacques-Cartier/Portneuf--Jacques-Cartier"," 89","Saint-Augustin-de-Desmaures",28,33,5,68,9,4,147,293
