Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,George C.R. Barrett,Jacob Larkin,Peter Penashue,Todd Russell,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
10004,"Labrador/Labrador"," 1","Nain",2,44,74,47,1,168,331
10004,"Labrador/Labrador"," 2","Nain",4,72,76,63,1,216,453
10004,"Labrador/Labrador"," 3","Natuashish",1,5,97,8,0,111,400
10004,"Labrador/Labrador"," 4","Hopedale",2,8,105,60,1,176,409
10004,"Labrador/Labrador"," 5","Postville",2,8,29,42,1,82,152
10004,"Labrador/Labrador"," 6","Makkovik",1,18,32,104,0,155,276
10004,"Labrador/Labrador"," 7","Wabush",1,61,51,46,3,162,359
10004,"Labrador/Labrador"," 8","Labrador City",4,64,51,49,0,168,309
10004,"Labrador/Labrador"," 9","Labrador City",3,59,39,45,0,146,338
10004,"Labrador/Labrador"," 10","Labrador City",1,58,68,39,0,166,391
10004,"Labrador/Labrador"," 11","Labrador City",1,61,31,40,0,133,268
10004,"Labrador/Labrador"," 12","Labrador City",1,50,58,40,0,149,307
10004,"Labrador/Labrador"," 13A","Labrador City",2,39,25,39,0,105,260
10004,"Labrador/Labrador"," 13B","Labrador City",2,45,24,41,0,112,287
10004,"Labrador/Labrador"," 14","Labrador City",0,59,37,29,1,126,284
10004,"Labrador/Labrador"," 15","Labrador City",3,57,36,38,0,134,295
10004,"Labrador/Labrador"," 16","Labrador City",5,54,50,40,2,151,291
10004,"Labrador/Labrador"," 17","Labrador City",1,42,50,42,0,135,275
10004,"Labrador/Labrador"," 18","Labrador City",2,45,45,30,0,122,295
10004,"Labrador/Labrador"," 19","Labrador City",2,49,41,46,0,138,304
10004,"Labrador/Labrador"," 20","Labrador City",3,63,38,42,0,146,312
10004,"Labrador/Labrador"," 21A","Labrador City",1,30,20,30,0,81,251
10004,"Labrador/Labrador"," 21B","Labrador City",1,31,22,31,1,86,264
10004,"Labrador/Labrador"," 22","Labrador City",1,55,32,29,0,117,224
10004,"Labrador/Labrador"," 23","Labrador City",0,48,37,22,0,107,229
10004,"Labrador/Labrador"," 24","Labrador City",3,57,46,61,2,169,460
10004,"Labrador/Labrador"," 25","Wabush",0,59,52,36,2,149,305
10004,"Labrador/Labrador"," 26","Wabush",2,48,51,42,0,143,295
10004,"Labrador/Labrador"," 27","Wabush",2,84,63,55,2,206,444
10004,"Labrador/Labrador"," 28","Churchill Falls",0,17,74,17,1,109,209
10004,"Labrador/Labrador"," 29","Churchill Falls",0,23,43,43,0,109,235
10004,"Labrador/Labrador"," 30","Rigolet",1,6,30,77,1,115,216
10004,"Labrador/Labrador"," 31","North West River",4,32,80,122,1,239,460
10004,"Labrador/Labrador"," 32A","Sheshatsheits",0,1,79,12,0,92,318
10004,"Labrador/Labrador"," 32B","Sheshatsheits",1,5,132,8,1,147,437
10004,"Labrador/Labrador"," 33","Mud Lake",0,3,16,13,0,32,34
10004,"Labrador/Labrador"," 34","Happy Valley-Goose Bay",5,32,65,38,2,142,313
10004,"Labrador/Labrador"," 35","Happy Valley-Goose Bay",11,18,55,50,2,136,234
10004,"Labrador/Labrador"," 36","Happy Valley-Goose Bay",2,35,130,61,1,229,417
10004,"Labrador/Labrador"," 37A","Happy Valley-Goose Bay",1,28,106,66,0,201,352
10004,"Labrador/Labrador"," 37B","Happy Valley-Goose Bay",3,20,96,70,0,189,317
10004,"Labrador/Labrador"," 38","Happy Valley-Goose Bay",6,38,93,75,1,213,434
10004,"Labrador/Labrador"," 39A","Happy Valley-Goose Bay",5,13,63,49,0,130,274
10004,"Labrador/Labrador"," 39B","Happy Valley-Goose Bay",1,25,61,64,2,153,272
10004,"Labrador/Labrador"," 40","Happy Valley-Goose Bay",5,22,105,98,0,230,420
10004,"Labrador/Labrador"," 41","Happy Valley-Goose Bay",4,19,77,63,0,163,283
10004,"Labrador/Labrador"," 42","Happy Valley-Goose Bay",2,26,70,59,1,158,330
10004,"Labrador/Labrador"," 43","Happy Valley-Goose Bay",1,35,62,75,1,174,444
10004,"Labrador/Labrador"," 44","Happy Valley-Goose Bay",0,24,45,41,1,111,350
10004,"Labrador/Labrador"," 45","Happy Valley-Goose Bay",0,16,64,71,0,151,356
10004,"Labrador/Labrador"," 46","Happy Valley-Goose Bay",1,28,134,65,0,228,404
10004,"Labrador/Labrador"," 47","Happy Valley-Goose Bay",4,35,64,64,1,168,332
10004,"Labrador/Labrador"," 48","Happy Valley-Goose Bay",3,20,69,72,0,164,307
10004,"Labrador/Labrador"," 49","Cartwright",3,22,24,190,2,241,443
10004,"Labrador/Labrador"," 50","Paradise River",Void/Supprimé,,,,,,
10004,"Labrador/Labrador"," 51","Black Tickle",2,2,23,41,2,70,145
10004,"Labrador/Labrador"," 52","Norman's Bay",0,5,2,9,0,16,25
10004,"Labrador/Labrador"," 53","Charlottetown",1,4,13,100,1,119,268
10004,"Labrador/Labrador"," 54","Pinsent Arm",Merged with No. 56/Fusionné avec le nº 56,,,,,,31
10004,"Labrador/Labrador"," 55","Williams Harbour",Merged with No. 56/Fusionné avec le nº 56,,,,,,29
10004,"Labrador/Labrador"," 56","St. Lewis",0,8,12,100,2,122,167
10004,"Labrador/Labrador"," 57","Port Hope Simpson",2,7,15,131,0,155,345
10004,"Labrador/Labrador"," 58","Mary's Harbour",1,17,5,109,0,132,302
10004,"Labrador/Labrador"," 59","Lodge Bay",0,5,5,25,0,35,67
10004,"Labrador/Labrador"," 60","Red Bay",0,10,38,52,0,100,176
10004,"Labrador/Labrador"," 61","Pinware",0,3,5,22,0,30,69
10004,"Labrador/Labrador"," 62","West St. Modeste",0,4,35,36,3,78,161
10004,"Labrador/Labrador"," 63","L'Anse-au-Loup",0,21,75,77,1,174,473
10004,"Labrador/Labrador"," 64","Forteau",0,18,46,78,0,142,320
10004,"Labrador/Labrador"," 65","L'Anse-au-Clair",0,5,21,62,0,88,158
10004,"Labrador/Labrador"," 500","Mobile poll/Bureau itinérant",2,3,9,15,3,32,48
10004,"Labrador/Labrador"," 501","Mobile poll/Bureau itinérant",1,0,3,25,0,29,40
10004,"Labrador/Labrador"," 600","Nain",0,5,4,4,1,14,
10004,"Labrador/Labrador"," 601","Natuashish",0,1,63,0,0,64,
10004,"Labrador/Labrador"," 602","Hopedale",0,1,3,1,0,5,
10004,"Labrador/Labrador"," 603","Postville",0,0,1,6,0,7,
10004,"Labrador/Labrador"," 604","Makkovik",0,0,4,2,0,6,
10004,"Labrador/Labrador"," 605","Rigolet",0,1,3,4,0,8,
10004,"Labrador/Labrador"," 606","Labrador City",0,27,46,67,0,140,
10004,"Labrador/Labrador"," 607","Churchill Falls",0,2,6,5,0,13,
10004,"Labrador/Labrador"," 608","Happy Valley-Goose Bay",6,18,94,114,0,232,
10004,"Labrador/Labrador"," 609","Cartwright",0,1,3,17,0,21,
10004,"Labrador/Labrador"," 610","Black Tickle",0,0,3,22,1,26,
10004,"Labrador/Labrador"," 611","Norman Bay",0,1,0,5,0,6,
10004,"Labrador/Labrador"," 612","Charlottetown",0,1,3,21,0,25,
